INSEGNA;CLASSIFICAZIONE;INDIRIZZO;MUNICIPIO;TIPOLOGIA;SINGOLE;DOPPIE;TRIPLE;QUADRUPLE;QUINTUPLE;SESTUPLE;UNITA_ABITATIVE;POSTI_LETTO_UNITA_ABITATIVE
"""GUEST HOUSE O AFFITTACAMERE HUB SPAGNA""";Categoria 2;VIA DI CAPO LE CASE, 56;Municipio I (ex Mun I);Guest House o Affittacamere;0;0;1;1;0;0;0;0
"""GUEST HOUSE O AFFITTACAMERE"" ROOM 94 SPAGNA";Categoria 3;VIA DEL CLEMENTINO, 94;Municipio I (ex Mun I);Guest House o Affittacamere;0;3;0;0;0;0;0;0
"""GUEST HOUSE o AFFITTACAMERE"" LAVROTTI";Categoria 1;VIA PRINCIPE AMEDEO, 86;Municipio I (ex Mun I);Guest House o Affittacamere;2;1;0;0;0;0;0;0
"""Guest House o Affittacamere"" La Residenza Suites";Categoria 2;VIA MILAZZO, 42;Municipio I (ex Mun I);Guest House o Affittacamere;0;2;1;0;0;0;0;0
"""Guest House o Affittacamere"" Tamara's Suite";Categoria 2;PIAZZA DI S. COSIMATO, 40;Municipio I (ex Mun I);Guest House o Affittacamere;2;2;2;0;0;0;0;0
"""H 2000 NEW"" guest house o affittacamere";Categoria 3;VIA DELLE QUATTRO FONTANE, 16;Municipio I (ex Mun I);Guest House o Affittacamere;0;6;0;0;0;0;0;0
"""HOME SWETT HOME TRASTEVERE"" casa e appartamento per vacanza";Categoria 2;VIA DELLA SCALA, 9;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);1;1;0;0;0;0;0;0
"""HOTEL VIRGILIO""";3 Stelle;VIA PALERMO, 30;Municipio I (ex Mun I);Albergo;22;19;1;0;0;0;0;0
"""La dolce vita Roma"" Guest House o Affittacamere";Categoria 2;VIA SICILIA, 141;Municipio I (ex Mun I);Guest House o Affittacamere;1;2;1;0;0;0;0;0
"""La terrazza di Evelina"" Guest House o Affittacamere";Categoria 2;VIA EMANUELE FILIBERTO, 66;Municipio I (ex Mun I);Guest House o Affittacamere;1;2;1;0;0;0;0;0
"""Mansion Elizabeth Unique Hotel""";4 Stelle;VIA DELLE COLONNETTE, 22;Municipio I (ex Mun I);Albergo;0;7;0;0;0;0;0;0
"""NobileCasa"" casa e appartamento per vacanze";Categoria 2;VIA MILAZZO, 22;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;0;0
"""PANISPERNA 2"" - CASA E APPARTAMENTO PER VACANZE";Categoria 2;VIA PANISPERNA, 66;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);1;4;0;0;0;0;0;0
"""PANISPERNA 4"" - CASA E APPARTAMENTO PER VACANZE";Categoria 1;VIA PANISPERNA, 66;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);0;3;0;0;0;0;0;0
"""PRESIDENTIAL PENTHAUSE NAVONA""";Categoria 2;PIAZZA NAVONA, 43;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);1;4;0;0;0;0;0;0
"""TESTACCIO RIVERSIDE""  Guest House o Affittacamere";Categoria 3;VIA ANTONIO CECCHI, 1;Municipio I (ex Mun I);Guest House o Affittacamere;2;2;1;0;0;0;0;0
"""TRASTEVERE ROYAL SUITE"" GUEST HOUSE O AFFITTACAMERE";Categoria 3;VIALE DI TRASTEVERE, 75;Municipio I (ex Mun I);Guest House o Affittacamere;0;3;1;1;0;0;0;0
' guest house o affittacamere' MILLINA SUITES IN NAVONA;Categoria 3;VIA DI TOR MILLINA, 35;Municipio I (ex Mun I);Guest House o Affittacamere;0;2;2;0;0;0;0;0
'Bed & Breakfast'  DOMUS PIAZZA DEL POPOLO;Unica;VIA DEL VANTAGGIO, 43;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;0;2;0;0;0;0;0;0
'Bed & Breakfast' CHARME & CHIC;Unica;VIA DEL LEONCINO, 36;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;0;3;0;0;0;0;0;0
'Guest House o Affittacamere RUMARIYA ROOMS';Categoria 3;VIA RATTAZZI, 57;Municipio I (ex Mun I);Guest House o Affittacamere;0;3;0;0;0;0;0;0
'Guest House o Affittacamere'  ARIANA LUXURY GUEST HOUSE;Categoria 2;VIA SICILIA, 141;Municipio I (ex Mun I);Guest House o Affittacamere;1;2;1;0;0;0;0;0
'Guest House o Affittacamere'  black suite colosseo;Categoria 3;VIA LABICANA, 80;Municipio I (ex Mun I);Guest House o Affittacamere;2;3;0;0;0;0;0;0
'Guest House o Affittacamere' HM GUEST HOUSE;Categoria 3;VIA MILAZZO, 22;Municipio I (ex Mun I);Guest House o Affittacamere;0;1;0;0;0;0;0;0
'Guest House o Affittacamere' I.G. SUITES;Categoria 3;VIA LEONINA, 16;Municipio I (ex Mun I);Guest House o Affittacamere;0;5;0;0;0;0;0;0
'Guest House o Affittacamere' LA TORRE;Categoria 3;VIA GIOVANNI LANZA, 99;Municipio I (ex Mun I);Guest House o Affittacamere;2;2;0;0;0;0;0;0
'Guest House o Affittacamere' MY MAISON 70;Categoria 3;PIAZZA VITTORIO EMANUELE II, 70;Municipio I (ex Mun I);Guest House o Affittacamere;0;2;2;0;0;0;0;0
'Guest House o Affittacamere' Ombelico del Mondo di Gargiulo Micaela;Categoria 3;VIA DEL VIMINALE, 66;Municipio I (ex Mun I);Guest House o Affittacamere;0;2;0;0;0;0;0;0
'Guest House o Affittacamere' VITTORIANO LUXURY SUITES;Categoria 1;CORSO VITTORIO EMANUELE II, 21;Municipio I (ex Mun I);Guest House o Affittacamere;0;3;0;3;0;0;0;0
'Guest House o Affittacamere' my maison 109;Categoria 3;VIA EMANUELE FILIBERTO, 109;Municipio I (ex Mun I);Guest House o Affittacamere;2;4;0;0;0;0;0;0
'Guest House o Affittacamere' planet 29;Categoria 3;VIA GAETA, 29;Municipio I (ex Mun I);Guest House o Affittacamere;2;3;1;0;0;0;0;0
'Guest House o affittacamere' al Conservatorio;Categoria 2;VIA DEL CONSERVATORIO, 55;Municipio I (ex Mun I);Guest House o Affittacamere;0;6;0;0;0;0;0;0
*Guest house o Affittacamere Aquarium Termini;Categoria 3;PIAZZA MANFREDO FANTI, 10;Municipio I (ex Mun I);Guest House o Affittacamere;0;4;0;2;0;0;0;0
00184 DOMUS VALENTINA;Categoria 2;VIA LUDOVICO MURATORI, 15;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;2;1;0;0;0;0;0
100 METRI DAL COLOSSEO;Categoria 2;VIA MARCO AURELIO, 15;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);1;2;0;0;0;0;0;0
149 GUEST HOUSE;Categoria 2;VIA MARMORATA, 149;Municipio I (ex Mun I);Guest House o Affittacamere;1;3;0;0;0;0;0;0
184 CAVOUR;Categoria 2;VIA CAVOUR, 184;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;2;0;0;0;0;0;0
1880 ATYPICAL ROOMS;Categoria 2;VIA NAZIONALE, 66;Municipio I (ex Mun I);Guest House o Affittacamere;0;3;3;0;0;0;0;0
19 STEPS TREVI GUEST HOUSE O AFFITTACAMERE;Categoria 3;VIA DEI CROCIFERI, 26;Municipio I (ex Mun I);Guest House o Affittacamere;1;2;0;0;0;0;0;0
2 PASSI AL COLOSSEO;Unica;VIA CAVOUR, 325;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;0;0;0;0;0;0;0;0
2000 ROMA INN B&B;Unica;VIA AGOSTINO DEPRETIS, 65;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;0;0;0;0;0;0;0;0
20STEP2 SAN SABA C.A.V.;Categoria 1;PIAZZALE ARDEATINO, 6;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);1;3;1;0;0;0;0;0
3 INN RIPETTA;Categoria 2;VIA DI RIPETTA, 35;Municipio I (ex Mun I);Guest House o Affittacamere;0;2;1;0;0;0;0;0
3 LATI DI PITAGORA;Unica;VIA MILAZZO, 23;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;0;0;0;0;0;0;0;0
34 AL CONTE VERDE;Non Classificata;VIA CONTE VERDE, 34;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;0;0;0;0;0;0;0
39 STEPS TREVI;Categoria 3;VIA DEI CROCIFERI, 26;Municipio I (ex Mun I);Guest House o Affittacamere;1;2;0;0;0;0;0;0
4 FONTANE BARBERINI - non abilitata;Categoria 3;VIA DELLE QUATTRO FONTANE, 5;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);1;1;0;0;0;0;0;0
5 STAR GUEST HOUSE O AFFITTACAMERE;Categoria 2;VIA ENRICO CIALDINI, 13;Municipio I (ex Mun I);Guest House o Affittacamere;0;2;3;0;0;0;0;0
504 CORSO SUITES ROMA;Categoria 3;VIA DEL CORSO, 504;Municipio I (ex Mun I);Guest House o Affittacamere;0;0;2;1;3;0;0;0
59 STEPS TREVI SUITE CASA E APPARTAMENTO PER VACANZE;Categoria 2;VIA DEI CROCIFERI, 26/E;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);0;0;0;0;0;0;1;1
59 steps trevi;Categoria 3;VIA DEI CROCIFERI, 26;Municipio I (ex Mun I);Guest House o Affittacamere;2;0;0;1;0;0;0;0
64 SUITE APART 1-2-3-5-7;Categoria 3;VIA DELLA VITE, 64;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);0;0;0;0;0;0;5;0
66 IMPERIAL INN;Categoria 1;VIA DEL VIMINALE, 66;Municipio I (ex Mun I);Guest House o Affittacamere;0;3;2;0;0;0;0;0
69 MANIN STREET guest house o affittacamere;Categoria 2;VIA DANIELE MANIN, 69;Municipio I (ex Mun I);Guest House o Affittacamere;0;5;0;0;0;0;0;0
9 HOTEL CESARI;3 Stelle;VIA DI PIETRA, 89/A;Municipio I (ex Mun I);Albergo;6;37;5;0;0;0;0;0
900 LIBERTY guest house o affittacamere;Categoria 2;CORSO VITTORIO EMANUELE II, 294;Municipio I (ex Mun I);Guest House o Affittacamere;1;2;1;1;0;0;0;0
939 HOTEL;3 Stelle;VIA DEL CLEMENTINO, 94;Municipio I (ex Mun I);Albergo;10;4;2;0;0;0;0;0
A 2 PASSI DA ST.PETER CHURCH;Categoria 2;VIA PAOLA, 46;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);1;1;0;0;0;0;0;0
