INSEGNA;CLASSIFICAZIONE;INDIRIZZO;MUNICIPIO;TIPOLOGIA;SINGOLE;DOPPIE;TRIPLE;QUADRUPLE;QUINTUPLE;SESTUPLE;UNITA_ABITATIVE;POSTI_LETTO_UNITA_ABITATIVE
Alloggio per uso turistico 5321;Unica;VIA DELLA REGINELLA, 6;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5325;Unica;VIA AMERIGO VESPUCCI, 24;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5327;Unica;VIA DELLA PALOMBELLA, 38;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5329;Unica;VIA DI MONTE GIORDANO, 13;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5332;Unica;VIA DI CAPO LE CASE, 56;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5335;Unica;VIA FERRUCCIO, 30;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5336;Unica;VIA DI S. NICOLA DA TOLENTINO, 45;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5340;Unica;VICOLO DE' CINQUE, 43;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5341;Unica;VIA CONTE VERDE, 50;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5343;Unica;VIA DEI QUERCETI, 24;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5347;Unica;VIA URBANA, 24;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5348;Unica;VIA CAPO D'AFRICA, 48;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 535;Unica;VIA DEGLI IBERNESI, 11;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5352;Unica;VIA D'AZEGLIO, 44;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5355;Unica;VIA DELLA SCALA, 42/A;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5357;Unica;VIA VICENZA, 17;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 536;Unica;PIAZZA DI S. COSIMATO, 56;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5360;Unica;VIA DELLA PACE, 2;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5362;Unica;VIA DELLA LUNGARA, 40;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5364;Unica;VIA DEL GESU', 62;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5367;Unica;VIA DEI MARESCOTTI, 7;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5369;Unica;VIA CALABRIA, 25;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 537;Unica;VIA DEL CIRCO MASSIMO, 9;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5370;Unica;VIA DEGLI IBERNESI, 9;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5371;Unica;VIA DELLA PANETTERIA, 50;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5372;Unica;VIA EMANUELE FILIBERTO, 287;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5376;Unica;VIA DEI CAPPELLARI, 10;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5377;Unica;VIA SARDEGNA, 29;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5378;Unica;VIA DI S. CROCE IN GERUSALEMME, 67;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5382;Unica;VIA DELLA MINERVA, 5;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5383;Unica;VICOLO DEL BOLOGNA, 73;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5387;Unica;VIA DEL PORTICO D'OTTAVIA, 9;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5388;Unica;LUNGOTEVERE TESTACCIO, 11;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5391;Unica;VIA GIOVANNI GIOLITTI, 196;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5392;Unica;VICOLO DEL LEOPARDO, 2;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5393;Unica;VIA DEI SERPENTI, 170;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5394;Unica;VIA NATALE DEL GRANDE, 8;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5396;Unica;VIA ORAZIO ANTINORI, 1;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 54;Unica;VIA MONTERONE, 82;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5400;Unica;VIA DEGLI AVIGNONESI, 26;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5401;Unica;VIA TOSCANA, 30;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5405;Unica;PIAZZA VITTORIO EMANUELE II, 135;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5410;Unica;VIA MARGUTTA, 48;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5411;Unica;PIAZZA DI S. COSIMATO, 36;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5412;Unica;VIA CAVOUR, 124;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5416;Unica;VICOLO DEL BOLOGNA, 81;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5418;Unica;VIA FOSCOLO, 8;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5423;Unica;VIA LABICANA, 31;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5424;Unica;VIA MARIO DE FIORI, 57;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5426;Unica;VIA DI S. FRANCESCO A RIPA, 59;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5428;Unica;VIA DEL MORTARO, 27;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 543;Unica;VIA ALDO MANUZIO, 50;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5430;Unica;LARGO LEOPARDI, 12;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5431;Unica;PIAZZA POLLAROLA, 33;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5432;Unica;VIA DEI CORONARI, 226;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5434;Unica;VICOLO DEL PIEDE, 24;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5435;Unica;VIA FRANGIPANE, 21;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5436;Unica;VIA DELLA FREZZA, 44;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5437;Unica;VIA AGOSTINO BERTANI, 8;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5439;Unica;VIA CARDINALE MARMAGGI, 10;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 544;Unica;PASSEGGIATA DI RIPETTA, 22;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5440;Unica;VIA CAIROLI, 101;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5441;Unica;VIA MATTEO BOIARDO, 12;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5444;Unica;VIA DEL COLOSSEO, 13;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5449;Unica;VIA DEI CAPPELLARI, 115;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5450;Unica;VIA DELLA POLVERIERA, 44;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5451;Unica;VIA DELL'ORSO, 74;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5452;Unica;VIA DEL CORSO, 43;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5453;Unica;VIA LUCA DELLA ROBBIA, 80;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5455;Unica;VIA BACCINA, 28;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5463;Unica;PIAZZA ALBANIA, 6;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5470;Unica;VICOLO DE' CINQUE, 32;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5471;Unica;VIA AGOSTINO BERTANI, 20;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5475;Unica;VIA FILIPPO TURATI, 86;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5477;Unica;VIA GIOVANNI GIOLITTI, 213;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5480;Unica;VIA DEL CONSERVATORIO, 68;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5481;Unica;VIA PAOLA, 39;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5486;Unica;VIA FILIPPO CASINI, 5;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5487;Unica;VIA LUIGI VANVITELLI, 6;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 549;Unica;VIA DEI BANCHI NUOVI, 15;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5492;Unica;VIA DEI PORTOGHESI, 18;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5493;Unica;VIA AURORA, 31;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5498;Unica;VIA GIOVANNI GIOLITTI, 239;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5499;Unica;VIA DEL GOVERNO VECCHIO, 84;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 55;Unica;VIA FRANCESCO CRISPI, 20;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 550;Unica;VIA RASELLA, 6;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5504;Unica;VIA DEL GAMBERO, 30;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5507;Unica;VIA DELLA PELLICCIA, 11;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5509;Unica;PIAZZA DI PIETRA, 63;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5510;Unica;CORSO DEL RINASCIMENTO, 69;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5511;Unica;PIAZZA DI S. CROCE IN GERUSALEMME, 4;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5512;Unica;VIA GIOVANNI LANZA, 120;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5514;Unica;VIA DELLA CROCE, 44;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5517;Unica;VIA GARIBALDI, 7;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5519;Unica;VIA DEL CORSO, 504;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5521;Unica;VIA PIAVE, 52;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5526;Unica;VIA DELL'AMBA ARADAM, 28;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5531;Unica;VIA DEI SERPENTI, 74;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5535;Unica;VIA DI S. ANGELO IN PESCHERIA, 28;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5538;Unica;VIA DELLA PENNA, 91;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 554;Unica;VIA DEI BANCHI VECCHI, 25;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5544;Unica;VIA DEL CORSO, 43;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5554;Unica;PIAZZA VITTORIO EMANUELE II, 93;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5556;Unica;VIA PRINCIPE AMEDEO, 128;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5557;Unica;VIA DEL TRITONE, 91;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5559;Unica;VIA ANGELO POLIZIANO, 71;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5563;Unica;VIA GIULIA, 171;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5565;Unica;VIA DEL TEATRO PACE, 15;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5568;Unica;PIAZZA DI S. APOLLONIA, 14;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5571;Unica;VIA ANTONIO SALANDRA, 6;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5572;Unica;PIAZZA VITTORIO EMANUELE II, 252;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5576;Unica;VIA DEI CAPPELLARI, 114;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5577;Unica;VIA DEL CORSO, 36;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 558;Unica;VIA LABICANA, 42;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5580;Unica;VIA PIETRO PERETTI, 30;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5583;Unica;VIA NAPOLI, 21/A;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5586;Unica;VIA SISTINA, 30;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5589;Unica;VIA CARLO TAVOLACCI, 5;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5590;Unica;VIA DEI GIUBBONARI, 23;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5593;Unica;VIA NICOLA ZABAGLIA, 11;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5594;Unica;VIA NAZIONALE, 249;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5597;Unica;PIAZZA DEL PARLAMENTO, 3;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 560;Unica;VIA ANGELO POLIZIANO, 78;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5602;Unica;VIA MARCO AURELIO, 42;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5604;Unica;VICOLO DI S. MARGHERITA, 4;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5607;Unica;VIA CAPO D'AFRICA, 35;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5609;Unica;VICOLO DELLE ORSOLINE, 31;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 561;Unica;VIA RASELLA, 131;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5611;Unica;VIA GIOVANNI GIOLITTI, 180;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5614;Unica;VIA ANGELO POLIZIANO, 8;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5615;Unica;VIA DEL PANTHEON, 57;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5616;Unica;VIA DEL BOSCHETTO, 36;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5618;Unica;VIA CERNAIA, 23;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 562;Unica;VIA MACHIAVELLI, 50;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5621;Unica;VIA DEGLI AVIGNONESI, 20/B;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5625;Unica;VICOLO DEL BOLOGNA, 59;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5626;Unica;VIA FRATTINA, 41;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5628;Unica;PIAZZA DI S. GIOVANNI IN LATERANO, 40;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 563;Unica;VIA BACCINA, 95;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5631;Unica;VICOLO DEL BOLOGNA, 37;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5636;Unica;VIA RATTAZZI, 63;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5638;Unica;VIA DEI SERPENTI, 164;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5639;Unica;VIA DEL PELLEGRINO, 113;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5641;Unica;VIA CAVOUR, 228/B;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5642;Unica;VIA GIOVANNI MIANI, 14;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5645;Unica;VICOLO DE' CINQUE, 43;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5649;Unica;VIA MARGUTTA, 48;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5650;Unica;VIA DEI GIUBBONARI, 47;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5653;Unica;VIA DI MONTE FIORE, 11;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5654;Unica;VIA VARESE, 7;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5655;Unica;VIA VOLTURNO, 27;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5665;Unica;VIA GOITO, 46;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5666;Unica;VIA PANISPERNA, 240;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5667;Unica;VIA DI S. TEODORO, 34;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5670;Unica;VIA CLAUDIA, 13;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5675;Unica;VIA D'ASCANIO, 26;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5676;Unica;VIA STATILIA, 1/A;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5678;Unica;VIA GOFFREDO MAMELI, 40;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5681;Unica;VIA VARESE, 7;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5685;Unica;VIA ALDO MANUZIO, 50;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5689;Unica;VICOLO DELLA CAMPANELLA, 43;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5691;Unica;VICOLO DELLE GROTTE, 4;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5693;Unica;VIA RATTAZZI, 63;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5699;Unica;VIA CALATAFIMI, 18;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5706;Unica;VIA QUINTINO SELLA, 49;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5709;Unica;VIA CAPO D'AFRICA, 38;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 572;Unica;VIA DI PORTA MAGGIORE, 41;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5726;Unica;VIA DEL PELLEGRINO, 86;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5727;Unica;VIA GIOVANNI LANZA, 120;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5728;Unica;VIA DELLE QUATTRO FONTANE, 33;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5729;Unica;VIA DELLA MERCEDE, 52;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5735;Unica;VIA DELLA SCROFA, 51/A;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5746;Unica;VIA EMANUELE FILIBERTO, 50;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5748;Unica;VIA DELL'ARCO DELLA CIAMBELLA, 6;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5754;Unica;VIA PRINCIPE UMBERTO, 77;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5758;Unica;VIA DEL PORTICO D'OTTAVIA, 7;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5761;Unica;VIA DEL GOVERNO VECCHIO, 62;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
