URL;Date
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/65c59a72-b119-4887-9f12-46cf400dc752/download/20200717.csv;17/07/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/3ffd74a6-cfb3-418e-9b64-665a777dc743/download/20200718.csv;18/07/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/be4b399f-4c05-4181-ae5e-c49a358cd2d8/download/20200719.csv;19/07/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/897492ba-b2d0-4f12-9c74-385da4d8207a/download/20200720.csv;20/07/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/bfc6f318-e5aa-4e13-afb8-f02a4c4ca0f4/download/20200721.csv;21/07/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/947b1ea3-dc09-40cc-8803-e43ad8ab6165/download/20200722.csv;22/07/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/be8e3fe3-279a-46f6-b7f3-92e2899a5e99/download/20200723.csv;23/07/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/c2fded4d-7cbc-4447-bf15-6c4d598a0165/download/20200724.csv;24/07/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/10a16493-647e-4213-bdf9-f0c1eff757d0/download/20200725.csv;25/07/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/c2cfedb2-b1ff-4710-ba94-fcdba665ac94/download/20200726.csv;26/07/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/31b3b4e9-ef05-414e-8c3f-f532dc2cd012/download/20200727.csv;27/07/2020
