INSEGNA;CLASSIFICAZIONE;INDIRIZZO;MUNICIPIO;TIPOLOGIA;SINGOLE;DOPPIE;TRIPLE;QUADRUPLE;QUINTUPLE;SESTUPLE;UNITA_ABITATIVE;POSTI_LETTO_UNITA_ABITATIVE;latitude;longitude
""PANISPERNA 4"" - CASA E APPARTAMENTO PER VACANZE";Categoria 1;VIA PANISPERNA, 66;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);0;3;0;0;0;0;0;0;41.89658;12.4914
""PRESIDENTIAL PENTHAUSE NAVONA""";Categoria 2;PIAZZA NAVONA, 43;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);1;4;0;0;0;0;0;0;41.89994;12.47271
"""TESTACCIO RIVERSIDE""  Guest House o Affittacamere";Categoria 3;VIA ANTONIO CECCHI, 1;Municipio I (ex Mun I);Guest House o Affittacamere;2;2;1;0;0;0;0;0;41.88202;12.47522
"""TRASTEVERE ROYAL SUITE"" GUEST HOUSE O AFFITTACAMERE";Categoria 3;VIALE DI TRASTEVERE, 75;Municipio I (ex Mun I);Guest House o Affittacamere;0;3;1;1;0;0;0;0;41.888;12.47349
' guest house o affittacamere' MILLINA SUITES IN NAVONA;Categoria 3;VIA DI TOR MILLINA, 35;Municipio I (ex Mun I);Guest House o Affittacamere;0;2;2;0;0;0;0;0;41.8992;12.47129
'Bed & Breakfast'  DOMUS PIAZZA DEL POPOLO;Unica;VIA DEL VANTAGGIO, 43;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;0;2;0;0;0;0;0;0;41.90857;12.47638
'Bed & Breakfast' CHARME & CHIC;Unica;VIA DEL LEONCINO, 36;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;0;3;0;0;0;0;0;0;41.90487;12.47819
'Guest House o Affittacamere RUMARIYA ROOMS';Categoria 3;VIA RATTAZZI, 57;Municipio I (ex Mun I);Guest House o Affittacamere;0;3;0;0;0;0;0;0;41.89795;12.50367
'Guest House o Affittacamere'  ARIANA LUXURY GUEST HOUSE;Categoria 2;VIA SICILIA, 141;Municipio I (ex Mun I);Guest House o Affittacamere;1;2;1;0;0;0;0;0;41.9093;12.49381
'Guest House o Affittacamere'  black suite colosseo;Categoria 3;VIA LABICANA, 80;Municipio I (ex Mun I);Guest House o Affittacamere;2;3;0;0;0;0;0;0;41.88958;12.50003
'Guest House o Affittacamere' HM GUEST HOUSE;Categoria 3;VIA MILAZZO, 22;Municipio I (ex Mun I);Guest House o Affittacamere;0;1;0;0;0;0;0;0;41.90228;12.50474
'Guest House o Affittacamere' I.G. SUITES;Categoria 3;VIA LEONINA, 16;Municipio I (ex Mun I);Guest House o Affittacamere;0;5;0;0;0;0;0;0;41.89485;12.49189
'Guest House o Affittacamere' LA TORRE;Categoria 3;VIA GIOVANNI LANZA, 99;Municipio I (ex Mun I);Guest House o Affittacamere;2;2;0;0;0;0;0;0;41.89512;12.49871
'Guest House o Affittacamere' MY MAISON 70;Categoria 3;PIAZZA VITTORIO EMANUELE II, 70;Municipio I (ex Mun I);Guest House o Affittacamere;0;2;2;0;0;0;0;0;41.89401;12.506
Guest House o Affittacamere' Ombelico del Mondo di Gargiulo Micaela;Categoria 3;VIA DEL VIMINALE, 66;Municipio I (ex Mun I);Guest House o Affittacamere;0;2;0;0;0;0;0;0;41.89985;12.49526
