INSEGNA;CLASSIFICAZIONE;INDIRIZZO;MUNICIPIO;TIPOLOGIA;SINGOLE;DOPPIE;TRIPLE;QUADRUPLE;QUINTUPLE;SESTUPLE;UNITA_ABITATIVE;POSTI_LETTO_UNITA_ABITATIVE;latitude;longitude
Casa e appartamento per vacanze EMO-OTTAVIA HOUSE;Categoria 2;VIA DELLA MASCHERA D'ORO, 9;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);0;1;0;0;0;0;0;0;41.90081;12.47098
Casa e appartamento per vacanze FORI IMPERIALI YOUR APARTMENT OVER THE RUINS;Categoria 1;VICOLO DELLE CARRETTE, 8;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);1;1;0;0;0;0;0;0;41.89366;12.48846
Casa e appartamento per vacanze L.R.A Fori Imperiali 1;Categoria 1;VIA TOR DE' CONTI, 10;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);0;1;1;0;0;0;0;0;41.89443;12.48727
Casa e appartamento per vacanze LEONITA SUITES - BOLLO;Categoria 2;VICOLO DEL BOLLO, 14;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);0;2;0;0;0;0;0;0;41.89657;12.47
asa e appartamento per vacanze LEONITA SUITES - BUFALO;Categoria 2;VIA DEL BUFALO, 138/A;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);0;1;0;1;0;0;0;0;41.90256;12.48288
Casa e appartamento per vacanze LRA Fori Imperiali 2;Categoria 2;VIA TOR DE' CONTI, 10;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);0;0;1;0;0;0;0;0;41.89443;12.48727
Casa e appartamento per vacanze LUX SPAGNA LOULY;Categoria 1;VIA BOCCA DI LEONE, 50;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);1;2;1;0;0;0;0;0;41.90617;12.48001
Casa e appartamento per vacanze La Casa del Fauno;Categoria 2;VIA DELLA FONTE DI FAUNO, 31;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);0;1;0;0;0;0;0;0;41.88355;12.48644
Casa e appartamento per vacanze MAISON MONTI;Categoria 2;VIA DEI SERPENTI, 29;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);1;0;1;0;0;0;0;0;41.89589;12.49026
Casa e appartamento per vacanze Marylin's Holiday House;Categoria 1;VIA BACCINA, 85;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);0;1;0;0;0;0;0;0;41.8944;12.48804
Casa e appartamento per vacanze Pantheon apartment 116;Categoria 1;VIA DEL SEMINARIO, 116;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);0;2;0;0;0;0;0;0;41.8991;12.47851
Casa e appartamento per vacanze RHEA SILVIA NAVONA 2;Categoria 2;CORSIA AGONALE, 10;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);1;3;1;0;0;0;0;0;41.89913;12.47371
Casa e appartamento per vacanze ROME YOUR HOME COLOSSEO DELUXE;Categoria 2;VIA DEL COLOSSEO, 1;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);1;1;1;0;0;0;0;0;41.89334;12.48865
Casa e appartamento per vacanze ROME YOUR HOME TERMINI;Categoria 2;VIA BIXIO, 41;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);0;1;1;0;0;0;0;0;41.89403;12.50897
Casa e appartamento per vacanze Roma D'Amore;Categoria 2;VIA MARCO AURELIO, 23;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);0;1;0;0;0;0;0;0;41.88828;12.49473
Casa e appartamento per vacanze Roma Resort Colosseum ps S01;Categoria 2;VIA EMANUELE FILIBERTO, 10;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);0;2;0;0;0;0;0;0;41.89297;12.50553
Casa e appartamento per vacanze Roma Resort Colosseum ps S03;Categoria 2;VIA EMANUELE FILIBERTO, 100;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);0;0;2;0;0;0;0;0;41.89068;12.50671
Casa e appartamento per vacanze Roma Resort Colosseum ps S05;Categoria 2;VIA EMANUELE FILIBERTO, 100;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);0;1;0;0;0;0;0;0;41.89068;12.50671
Casa e appartamento per vacanze Roma Resort Colosseum ps S06;Categoria 2;VIA EMANUELE FILIBERTO, 100;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);0;0;1;0;0;0;0;0;41.89068;12.50671
Casa e appartamento per vacanze Romance al Colosseo;Categoria 2;VIA DEL MONTE OPPIO, 12;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);2;1;0;0;0;0;0;0;41.89182;12.49285
Casa e appartamento per vacanze Rome Suite Home;Categoria 2;VIA FARINI, 62;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);1;2;0;0;0;0;0;0;41.89838;12.49967
Casa e appartamento per vacanze Romexperience Colosseot;Categoria 2;VIA URBANA, 8;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);0;1;0;0;0;0;0;0;41.89709;12.49488
Casa e appartamento per vacanze Shabby Chic Flats Vatican Museums;Categoria 2;VIALE VATICANO, 49;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);0;1;0;0;0;0;0;0;41.90342;12.44761
Casa e appartamento per vacanze Sole e Musica;Categoria 2;VIA DI GESU' E MARIA, 20;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);0;1;0;1;0;0;0;0;41.90834;12.47833
Casa e appartamento per vacanze Spagna;Categoria 1;PIAZZA DI SPAGNA, 35;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);0;1;0;0;0;0;0;0;41.90539;12.48267
Casa e appartamento per vacanze Spanish Steps Delight;Categoria 1;VIA GREGORIANA, 50;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;0;0;41.9045;12.48503
Casa e appartamento per vacanze The Finest - At Spanish Steps;Categoria 1;VIA BOCCA DI LEONE, 36;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);0;0;1;0;0;0;0;0;41.90604;12.48
a e appartamento per vacanze Via Veneto Penthouse;Categoria 2;VIA DI S. NICOLA DA TOLENTINO, 50;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);0;2;1;0;0;0;0;0;41.90442;12.48983
Casa e appartamento per vacanze Vite Apartment 2.5;Categoria 2;VIA DELLA VITE, 27;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);1;1;0;0;0;0;0;0;41.90356;12.48
asa e appartamento per vacanze Vite Apartment 4.13;Categoria 2;VIA DELLA VITE, 27;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);1;1;0;0;0;0;0;0;41.90356;12.48
asa e appartamento per vacanze White Chic Flats Coliseum 3;Categoria 2;VIA LEONINA, 7;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);0;1;0;0;0;0;0;0;41.8947;12.491
asa e appartamento per vacanze White Chic Flats Coliseum 4;Categoria 2;VIA LEONINA, 7;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);0;0;0;0;0;0;1;1;41.8947;12.4913
Casa e appartamento per vacanze in forma imprenditoriale ""Rasella Suites";Categoria 2;VIA RASELLA, 47;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);0;1;0;0;0;0;0;0;41.90236;12.4871
Casa e appartamento per vacanze in forma imprenditoriale ""Rasella Suites""";Categoria 2;VIA RASELLA, 47;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);0;1;0;0;0;0;0;0;41.90236;12.4871
Casa e appartamento per vacanze in forma imprenditoriale ""Rasella Suites""";Categoria 2;VIA RASELLA, 47;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);0;1;0;0;0;0;0;0;41.90236;12.4871
Casa e appartamento per vacanze in forma imprenditoriale ""Rasella Suites""";Categoria 2;VIA RASELLA, 47;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);0;1;0;0;0;0;0;0;41.90236;12.487
asa e appartamento per vacanze the place at the roman forum;Categoria 2;VIA DEGLI IBERNESI, 32;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);0;2;0;0;0;0;0;0;41.89455;12.48775
Casa e appartamento per vacanze_ Attico Gianicolo con Terrazza - Daplace Collection;Categoria 2;VIA NICOLA FABRIZI, 1;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);0;1;0;0;0;0;0;0;41.88736;12.466
sa per Ferie Collegio SS. Concezione;Unica;VIA DI S. VITO, 10;Municipio I (ex Mun I);Casa per ferie;31;13;1;0;0;0;0;0;41.89588;12.50071
Casa per Ferie Nostra Signora di Lourdes;Unica;VIA SISTINA, 113;Municipio I (ex Mun I);Casa per ferie;13;2;1;1;0;0;0;0;41.90454;12.48626
Casa per Ferie Suore Carmelitane Teresiane;Unica;VIA TASSO, 157;Municipio I (ex Mun I);Casa per ferie;11;6;0;0;0;0;0;0;41.88806;12.50662
Casa per ferie -Villa Irlanda gestita da Associazione Amici del pontificio Collegio Irlandese;Unica;VIA DEI SS. QUATTRO, 7;Municipio I (ex Mun I);Casa per ferie;3;8;0;1;0;0;0;0;41.8878;12.50026
Casa per ferie DOMUS LATERANENSIS;Unica;VIA GIUSTI, 5;Municipio I (ex Mun I);Casa per ferie;22;8;0;0;0;0;0;0;41.89279;12.50202
Casae appartamento per Vacanze Casa Miriam;Categoria 2;VIA PIETRO VERRI, 13;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);1;2;0;0;0;0;0;0;41.88964;12.50114
Case e apartamenti per vacanze Domus Forus;Categoria 1;VIA CAVOUR, 194;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);0;1;0;0;0;0;0;0;41.89606;12.49479
Case e appartamenti per vacanze BLACK LUXURY SUITE;Categoria 2;VIA AURORA, 31;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);0;2;0;0;0;0;0;0;41.90713;12.48782
Case e appartamenti per vacanze WHITE LUXURY SUITE;Categoria 2;VIA AURORA, 31;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);0;2;0;0;0;0;0;0;41.90713;12.48782
Cattaneo Accomodation Guest house o Affittacamere;Categoria 3;VIA CARLO CATTANEO, 21;Municipio I (ex Mun I);Guest House o Affittacamere;0;2;1;0;0;0;0;0;41.89759;12.50155
Cavour Urban Rooms Guest House o Affittacamere;Categoria 3;VIA CAVOUR, 124;Municipio I (ex Mun I);Guest House o Affittacamere;0;3;0;0;0;0;0;0;41.89694;12.495
elimontana Suites Bed & Breakfast;Unica;VIA DI S. ERASMO, 14;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;0;2;0;1;0;0;0;0;41.88405;12.49952
Charming Navona;Categoria 2;VICOLO DELLE VACCHE, 3;Municipio I (ex Mun I);Guest House o Affittacamere;1;2;1;0;0;0;0;0;41.89983;12.47026
Cibelee Bed & Breakfast;Unica;VIA LEONINA, 80;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;0;0;2;0;0;0;0;0;41.89468;12.49144
Citt… Eterna;Categoria 3;VIALE MANZONI, 81;Municipio I (ex Mun I);Guest House o Affittacamere;2;2;0;0;0;0;0;0;41.89352;12.51031
Coconuts guest house o affittacamere;Categoria 3;VIA GIOVANNI GIOLITTI, 137;Municipio I (ex Mun I);Guest House o Affittacamere;0;3;0;1;0;0;0;0;41.89915;12.502
oliseum View Holiday Home casa e appartamento per vacanze;Categoria 2;VIA LABICANA, 29;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);1;0;0;0;0;0;0;0;41.88922;12.50061
Colosseo Friendly Suite & Rooms - Guest House o Affittacamere;Categoria 2;VIA DI S. GIOVANNI IN LATERANO, 250;Municipio I (ex Mun I);Guest House o Affittacamere;0;2;0;0;1;0;0;0;41.8877;12.50188
Colosseo Guest House o Affittacamere;Categoria 3;VIA DI S. GIOVANNI IN LATERANO, 60;Municipio I (ex Mun I);Guest House o Affittacamere;0;3;1;0;0;0;0;0;41.88955;12.49593
Colosseo accomodation room guest house o affittacamere;Categoria 3;VIA LABICANA, 72;Municipio I (ex Mun I);Guest House o Affittacamere;0;3;0;0;0;0;0;0;41.88952;12.50037
Condotti Gold Edition Apartment Casa e Appartamento per vacanze;Categoria 2;VIA BOCCA DI LEONE, 36;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;2;0;0;0;0;0;0;41.90604;12.48
onam;Categoria 1;VIA DEI CORONARI, 101;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;2;0;0;0;0;0;0;41.90052;12.468
oronari 216;Categoria 2;VIA DEI CORONARI, 216;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);1;2;0;0;0;0;0;0;41.90053;12.471
oronari 226;Categoria 2;VIA DEI CORONARI, 226;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);3;1;0;0;0;0;0;0;41.90053;12.47168
Coronari Courtyard;Categoria 3;VIA DEI CORONARI, 86;Municipio I (ex Mun I);Guest House o Affittacamere;0;3;1;1;0;0;0;0;41.9005;12.46908
Cozy Corallo;Categoria 2;VIA SORA, 23;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;0;0;41.89813;12.47031
D & T HOTEL;1 Stella;VIA CARLO CATTANEO, 23;Municipio I (ex Mun I);Albergo;1;3;5;9;0;0;0;0;41.89763;12.50159
D&D LUXURY HOUSE;Categoria 3;PIAZZA DELL'INDIPENDENZA, 5;Municipio I (ex Mun I);Guest House o Affittacamere;1;4;0;0;0;0;0;0;41.90503;12.50285
D'ANNEO MARIA GRAZIA;Unica;VIA PIAVE, 15;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;0;0;0;0;0;0;0;0;41.90862;12.49869
D-O-M HOTEL;5 Stelle;VIA GIULIA, 131;Municipio I (ex Mun I);Albergo;2;21;0;0;0;0;0;0;41.89738;12.46714
D.M. LUXURY SUITES;Categoria 2;VIA GIACOMO MEDICI, 1;Municipio I (ex Mun I);Guest House o Affittacamere;0;4;1;0;0;0;0;0;41.88791;12.463
.R. ROME SPANISH LUXURY SUITES;Categoria 3;VIA FRATTINA, 46;Municipio I (ex Mun I);Guest House o Affittacamere;1;3;1;1;0;0;0;0;41.9041;12.48095
DA ME SUITES AFFITTACAMERE;Categoria 3;VIA MARIA ADELAIDE, 12;Municipio I (ex Mun I);Guest House o Affittacamere;0;4;2;0;0;0;0;0;41.91067;12.47415
DA VINCI;Unica;VIA CARLO ALBERTO, 26;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;0;0;0;0;0;0;0;0;41.89586;12.50226
DA VINCI guest house o affittacamere;Categoria 3;VIA CARLO ALBERTO, 26;Municipio I (ex Mun I);Guest House o Affittacamere;1;3;0;0;0;0;0;0;41.89586;12.50226
DAB TREVI;Categoria 3;VIA DI S. MARIA IN VIA, 18;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;0;0;41.90065;12.48174
DADA LOFT;Categoria 2;VICOLO DEL GOVERNO VECCHIO, 8;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;0;0;0;0;0;3;9;41.89815;12.46975
DADDY HOUSE;Categoria 2;VICOLO DEL CEDRO, 6;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;0;0;0;0;0;0;0;41.88976;12.46745
DAGMARINA;Categoria 2;VIA DEGLI ORTI D'ALIBERT, 27;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;0;1;0;0;0;0;0;41.8965;12.46358
DAISY;Categoria 1;VIA ZUCCHELLI, 29;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);0;0;0;0;0;0;12;0;41.90354;12.48668
DAMA;Categoria 2;VIA MILAZZO, 42;Municipio I (ex Mun I);Guest House o Affittacamere;0;3;2;0;0;0;0;0;41.90305;12.50587
DAMA BED ROMA;Categoria 4;VIA DEL PELLEGRINO, 75;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;0;0;41.89689;12.47041
DAMA DI ROMA;Categoria 3;VIA PETRARCA, 22;Municipio I (ex Mun I);Guest House o Affittacamere;1;2;0;0;0;0;0;0;41.89225;12.50528
DAME HOLIDAYS APARTMENT;Categoria 3;PIAZZA DI S. COSIMATO, 63;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;0;0;41.88741;12.47009
DANDOLO;Categoria 3;VIA CAVOUR, 233;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;3;0;0;0;0;0;0;41.89435;12.49163
DANDOLO TRASTEVERE TERRACE;Categoria 2;VIA DANDOLO, 24;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);1;2;0;0;0;0;0;0;41.88521;12.46876
DANIEL'S HOTEL;4 Stelle;VIA FRATTINA, 107;Municipio I (ex Mun I);Albergo;3;11;0;0;0;0;0;0;41.9041;12.48067
DANIKA'S ROOMS;Categoria 3;VIA CARLO CATTANEO, 23;Municipio I (ex Mun I);Guest House o Affittacamere;0;0;1;2;2;0;0;0;41.89763;12.50159
DANTE B&B;Unica;VIA BIXIO, 9;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;0;0;0;0;0;0;0;0;41.89467;12.50961
DANTE COLOSSEUM C.A.V.;Categoria 2;VIA FERRUCCIO, 46;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);1;1;0;0;0;0;0;0;41.89271;12.50417
DANTE'S HELL;Unica;VIA DELLE COPPELLE, 74;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;0;0;0;0;0;0;0;0;41.90055;12.47624
DARE;Categoria 3;VIA GIOVANNI GIOLITTI, 239;Municipio I (ex Mun I);Guest House o Affittacamere;2;0;1;0;0;0;0;0;41.89731;12.50547
DAY SLEEPER B&B;Unica;VIA GIOVANNI GIOLITTI, 375;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;0;0;0;0;0;0;0;0;41.89441;12.51046
DE' MEDICI HOUSE B&b;Unica;VIA PALESTRO, 14;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;0;0;0;0;0;0;0;0;41.90708;12.50174
DEA ROMA B&B;Unica;VIA ANTONIO ROSMINI, 12;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;0;0;0;0;0;0;0;0;41.89945;12.49778
DEI MILLE;2 Stelle;VIA DEI MILLE, 7/B;Municipio I (ex Mun I);Albergo;15;30;5;0;0;0;0;0;41.90371;12.50318
DEL CORSO;3 Stelle;VIA DEL CORSO, 79;Municipio I (ex Mun I);Albergo;11;7;0;0;0;0;0;0;41.90681;12.47805
DELA;Categoria 4;VIA MACHIAVELLI, 59;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;0;0;41.89332;12.50404
DELANO;Categoria 3;VIA DEL CORSO, 81;Municipio I (ex Mun I);Guest House o Affittacamere;1;2;1;0;0;0;0;0;41.90676;12.47808
DELFINO IN;Categoria 4;VIA PRINCIPE UMBERTO, 37;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);1;2;0;0;0;0;0;0;41.89481;12.50878
DELLA CROCE LUXURY HOME GUEST HOUSE O AFFITTACAMERE;Categoria 2;VIA DELLA CROCE, 56;Municipio I (ex Mun I);Guest House o Affittacamere;1;3;0;0;0;0;0;0;41.90598;12.47857
DELLA TORRE ARGENTINA;3 Stelle;CORSO VITTORIO EMANUELE II, 102;Municipio I (ex Mun I);Albergo;10;42;5;2;0;0;0;0;41.8962;12.47591
DELLA VITE DREAM SUITES GUEST HOUSE O AFFITTACAMERE;Categoria 3;VIA DELLA VITE, 54;Municipio I (ex Mun I);Guest House o Affittacamere;1;2;1;1;0;0;0;0;41.90389;12.48165
DELLE GROTTE APARTMENT CASA E APPARTAMENTO PER VACANZE;Categoria 1;VICOLO DELLE GROTTE, 10;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);0;2;0;0;0;0;0;0;41.89479;12.47257
DELLE REGIONI;3 Stelle;VIA ZUCCHELLI, 1;Municipio I (ex Mun I);Albergo;1;10;0;0;0;0;0;0;41.90327;12.48666
DELLE ROSE;1 Stella;VIA PRINCIPE AMEDEO, 62;Municipio I (ex Mun I);Albergo;2;7;0;0;0;0;0;0;41.89916;12.50003
DELSI SUITES;Categoria 3;VIA DELLA VITE, 14;Municipio I (ex Mun I);Guest House o Affittacamere;0;4;0;0;0;0;0;0;41.90332;12.47985
DELSI' SUITES PANTHEON;Unica;SALITA DE' CRESCENZI, 30;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;0;0;0;0;0;0;0;0;41.89905;12.47617
DELUXE TWIN APARTMENT;Categoria 2;VIA DEL GAMBERO, 19;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;3;0;0;0;0;0;0;41.90357;12.48008
DEM GUEST HOUSE 2;Categoria 3;PIAZZA MANFREDO FANTI, 38;Municipio I (ex Mun I);Guest House o Affittacamere;0;4;0;0;0;0;0;0;41.89781;12.50194
DEM HOTEL;2 Stelle;VIA VENEZIA, 15;Municipio I (ex Mun I);Albergo;3;5;0;0;0;0;0;0;41.89997;12.49291
DEMETRA CAPITOLINA;2 Stelle;VIA PRINCIPE AMEDEO, 58;Municipio I (ex Mun I);Albergo;1;12;0;0;0;0;0;0;41.89916;12.49992
DEMONTI COLOSSEO;Categoria 3;VIA PANISPERNA, 261;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);1;2;0;0;0;0;0;0;41.89589;12.48886
DEPANDANCE ARGENTINA RESIDENZA STYLE HOTEL;4 Stelle;VIA DEL SUDARIO, 27;Municipio I (ex Mun I);Dipendenza alberghiera;0;6;0;0;0;0;0;0;41.89596;12.47612
DEPANDANCE BABUCCIO 35;3 Stelle;VICOLO DEL BABUCCIO, 35;Municipio I (ex Mun I);Dipendenza alberghiera;0;1;0;0;0;0;0;0;41.90028;12.48438
DEPANDANCE DEI LUCCHESI 29;3 Stelle;VIA DEI LUCCHESI, 29;Municipio I (ex Mun I);Dipendenza alberghiera;0;1;1;0;0;0;0;0;41.89967;12.484
PANDANCE DEI MODELLI 58;3 Stelle;VICOLO DEI MODELLI, 58;Municipio I (ex Mun I);Dipendenza alberghiera;0;1;0;0;0;0;0;0;41.90063;12.484
EPANDANCE DEI MODELLI 62;3 Stelle;VICOLO DEI MODELLI, 62;Municipio I (ex Mun I);Dipendenza alberghiera;0;1;0;0;0;0;0;0;41.9006;12.48431
DEPANDANCE DEL SOLE;3 Stelle;VIA DELLA DATARIA, 91;Municipio I (ex Mun I);Dipendenza alberghiera;2;2;1;0;0;0;0;0;41.90007;12.48405
DEPANDANCE LUCCHESI 26;3 Stelle;VIA DEI LUCCHESI, 26;Municipio I (ex Mun I);Dipendenza alberghiera;0;1;0;0;0;0;0;0;41.89951;12.48408
DEPANDANCE LUCCHESI 29;3 Stelle;VIA DEI LUCCHESI, 29;Municipio I (ex Mun I);Dipendenza alberghiera;0;1;0;0;0;0;0;0;41.89967;12.484
PANDANCE TREVI 98;3 Stelle;VICOLO SCANDERBEG, 98;Municipio I (ex Mun I);Dipendenza alberghiera;1;6;1;0;0;0;0;0;41.48986;12.61125
DEPENDANCE BRUNETTI;3 Stelle;VIA ANGELO BRUNETTI, 28;Municipio I (ex Mun I);Dipendenza alberghiera;0;0;3;1;0;0;0;0;41.90924;12.47586
DEPENDANCE CONDOTTI CORNER APARTAMENT;3 Stelle;VIA BELSIANA, 29;Municipio I (ex Mun I);Dipendenza alberghiera;1;1;0;0;0;0;0;0;41.90524;12.47956
DEPENDANCE DEI MODELLI;3 Stelle;VICOLO DEI MODELLI, 64;Municipio I (ex Mun I);Dipendenza alberghiera;1;2;0;0;0;0;0;0;41.90057;12.48421
DEPENDANCE H. ESPANA;2 Stelle;VIA LUIGI LUZZATTI, 17;Municipio I (ex Mun I);Dipendenza alberghiera;2;2;3;0;0;0;0;0;41.89179;12.51031
DEPENDANCE HOTEL ITALIA;2 Stelle;VIA VENEZIA, 25;Municipio I (ex Mun I);Dipendenza alberghiera;1;5;2;0;0;0;0;0;41.89981;12.49308
DEPENDANCE MARGUTTA 19 SUITE;5 Stelle;VIA MARGUTTA, 54;Municipio I (ex Mun I);Dipendenza alberghiera;0;1;0;3;0;0;0;0;41.90793;12.48034
DEPENDANCE MODA LUXURY APARTAMENT;4 Stelle;VIA DEL BABUINO, 160;Municipio I (ex Mun I);Dipendenza alberghiera;0;1;0;0;0;0;0;0;41.90869;12.478
EPENDANCE NAVONA ESSENCE;3 Stelle;VIA DEI CAPPELLARI, 24;Municipio I (ex Mun I);Dipendenza alberghiera;0;6;1;0;0;0;0;0;41.8961;12.47093
DES ARTISTES DEPENDANCE MYHOTEL;3 Stelle;VIA VILLAFRANCA, 8;Municipio I (ex Mun I);Dipendenza alberghiera;5;10;0;0;0;0;0;0;41.90546;12.50474
DESEO ELITE guest house o affittacamere;Categoria 3;VIA PALESTRO, 3;Municipio I (ex Mun I);Guest House o Affittacamere;2;2;1;0;0;0;0;0;41.90805;12.5
ESEO EXECUTIVE guest house o affittacamere;Categoria 3;VIA PALESTRO, 3;Municipio I (ex Mun I);Guest House o Affittacamere;0;4;0;0;0;0;0;0;41.90805;12.5
ESEO EXPRESS guest house o affittacamere;Categoria 2;VIA PALESTRO, 3;Municipio I (ex Mun I);Guest House o Affittacamere;3;3;0;0;0;0;0;0;41.90805;12.5
ESEO HOME;Categoria 2;VIA PALESTRO, 3;Municipio I (ex Mun I);Guest House o Affittacamere;1;3;1;0;0;0;0;0;41.90805;12.5
ESEO SUITE;Categoria 2;VIA PALESTRO, 3;Municipio I (ex Mun I);Guest House o Affittacamere;0;4;0;0;0;0;0;0;41.90805;12.5
ESIGN 2 ART PIE';Categoria 3;VIA DI PIE' DI MARMO, 18;Municipio I (ex Mun I);Guest House o Affittacamere;0;3;0;1;0;0;0;0;41.89766;12.47925
DESIGN VIVALDI;Categoria 2;VIA DEL CORSO, 75;Municipio I (ex Mun I);Guest House o Affittacamere;1;4;1;0;0;0;0;0;41.90693;12.47801
DG Prestige Room;Categoria 3;VIA LOMBARDIA, 30;Municipio I (ex Mun I);Guest House o Affittacamere;1;5;0;0;0;0;0;0;41.90779;12.48819
DHALY B&B;Unica;VIA NAPOLEONE III, 6;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;0;0;0;0;0;0;0;0;41.89786;12.50046
DHARMA HOTEL;1 Stella;VIA TORINO, 122;Municipio I (ex Mun I);Albergo;1;9;2;0;0;0;0;0;41.90167;12.49556
DI ALESSIA;Categoria 3;VIA LUDOVICO DI SAVOIA, 12;Municipio I (ex Mun I);Guest House o Affittacamere;0;1;2;0;0;0;0;0;41.88801;12.51059
DI MONTE GIORGIO;Categoria 3;VIA RATTAZZI, 65;Municipio I (ex Mun I);Guest House o Affittacamere;1;2;0;0;0;0;0;0;41.8982;12.50392
DI RIENZO;1 Stella;VIA PRINCIPE AMEDEO, 79;Municipio I (ex Mun I);Albergo;3;11;0;0;0;0;0;0;41.89842;12.50085
DI RIENZO PANTHEON PALACE;Categoria 3;VIA DEI REDENTORISTI, 14;Municipio I (ex Mun I);Guest House o Affittacamere;1;1;1;0;1;0;0;0;38.13452;13.32299
DI RIENZO ROBERTO;Categoria 1;VIA DEI CONDOTTI, 85;Municipio I (ex Mun I);Guest House o Affittacamere;0;6;0;0;0;0;0;0;41.90557;12.48152
DI RIENZO SUITES TREVI  GUEST HOUSE O AFFITTACAMERE;Categoria 2;VIA DEI LUCCHESI, 26;Municipio I (ex Mun I);Guest House o Affittacamere;0;0;0;0;0;2;0;0;41.89951;12.48408
DIAMONDS & RUST;Categoria 2;VICOLO DEL BOLOGNA, 32;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);0;0;0;0;0;0;1;0;41.89134;12.46878
