"STARTDATE";"STARTTIME";"ENDDATE";"ENDTIME";"DURATION";"DOWNLOAD";"UPLOAD";"DOMAIN";"MUNICIPIO";"DUG";"DUF";"CIVICO";"LOCALITA";"SERVICEPROFILE";"DTLN"
"07/07/2020";"22:01:45";"07/07/2020";"23:04:27";"3762";"967203000";"16071564";"REGISTERED";"Municipio V";"Via";"del Pigneto";"22";"Roma";"Biblioteche";"it"
"08/07/2020";"04:19:17";"08/07/2020";"04:26:50";"453";"642770";"8136364";"REGISTERED";"Municipio I";"Via";"della Greca";"5";"Roma";"DigitRomaWiFi";"it"
"08/07/2020";"04:48:02";"08/07/2020";"05:48:13";"3611";"54215252";"9739533";"REGISTERED";"Municipio X";"Via";"Euripide";"15";"Roma";"DigitRomaWiFi";"it"
"08/07/2020";"04:23:19";"08/07/2020";"06:20:12";"7013";"6014537";"1191916";"REGISTERED_H24";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi_H24";"it"
"08/07/2020";"06:02:42";"08/07/2020";"06:37:49";"2107";"1337932100";"45303431";"REGISTERED";"Municipio X";"Via";"del Martin Pescatore";"66";"Roma";"DigitRomaWiFi";"it"
"08/07/2020";"06:00:23";"08/07/2020";"06:41:00";"2437";"52048816";"5721689";"REGISTERED";"Municipio X";"Via";"del Martin Pescatore";"66";"Roma";"DigitRomaWiFi";"it"
"08/07/2020";"06:47:14";"08/07/2020";"06:54:34";"440";"37617958";"1046778";"REGISTERED";"Municipio X";"Via";"Claudio";"1";"Roma";"DigitRomaWiFi";"it"
"08/07/2020";"06:53:53";"08/07/2020";"06:58:03";"250";"13902409";"1144333";"REGISTERED";"Municipio I";"Piazza";"Sant'Egidio";"1/B";"Roma";"DigitRomaWiFi";"it"
"08/07/2020";"06:27:50";"08/07/2020";"07:00:43";"1973";"14102770";"818849";"REGISTERED";"Municipio I";"Via";"della Consolazione";"4";"Roma";"DigitRomaWiFi";"it"
"08/07/2020";"06:44:33";"08/07/2020";"07:05:39";"1266";"30054710";"1090081";"REGISTERED_H24";"Municipio I";"Piazza";"San Pantaleo";"10";"Roma";"DigitRomaWiFi_H24";"it"
"08/07/2020";"07:08:29";"08/07/2020";"07:09:01";"32";"582562";"124695";"REGISTERED";"Municipio I";"Via";"Luigi Petroselli";"45";"Roma";"DigitRomaWiFi";"it"
"08/07/2020";"06:50:27";"08/07/2020";"07:14:09";"1422";"32420217";"1614655";"REGISTERED";"Municipio VIII";"Circonvallazione";"Ostiense";"191";"Roma";"DigitRomaWiFi";"it"
"08/07/2020";"07:10:33";"08/07/2020";"07:19:04";"511";"194344638";"14554620";"REGISTERED";"Municipio I";"Piazza";"Sant'Egidio";"1/B";"Roma";"DigitRomaWiFi";"it"
"08/07/2020";"06:33:44";"08/07/2020";"07:19:59";"2775";"143678808";"3512639";"REGISTERED_H24";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi_H24";"it"
"08/07/2020";"07:21:46";"08/07/2020";"07:35:21";"815";"64009600";"6647665";"REGISTERED";"Municipio XIII";"Via";"Ettore Stampini";"38";"Roma";"DigitRomaWiFi";"it"
"08/07/2020";"07:19:32";"08/07/2020";"07:36:02";"990";"21528038";"3087403";"REGISTERED";"Municipio VII";"Via";"Tommaso Fortifiocca";"71";"Roma";"DigitRomaWiFi";"it"
"08/07/2020";"07:11:52";"08/07/2020";"07:37:48";"1556";"110220010";"3262730";"REGISTERED";"Municipio X";"Via";"Claudio";"1";"Roma";"DigitRomaWiFi";"it"
"08/07/2020";"07:04:16";"08/07/2020";"07:45:13";"2457";"87122048";"4542548";"REGISTERED";"Municipio I";"Piazza";"del Campidoglio";"1";"Roma";"DigitRomaWiFi";"it"
