"STARTDATE";"STARTTIME";"ENDDATE";"ENDTIME";"DURATION";"DOWNLOAD";"UPLOAD";"DOMAIN";"MUNICIPIO";"DUG";"DUF";"CIVICO";"LOCALITA";"SERVICEPROFILE";"DTLN"
"07/07/2020";"03:17:42";"07/07/2020";"03:25:05";"443";"3740121";"406748";"REGISTERED";"Municipio I";"Piazza";"del Campidoglio";"1";"Roma";"DigitRomaWiFi";"it"
"07/07/2020";"00:39:44";"07/07/2020";"04:10:22";"12638";"208458283";"19060388";"REGISTERED";"Municipio I";"Via";"della Consolazione";"4";"Roma";"DigitRomaWiFi";"it"
"07/07/2020";"04:22:57";"07/07/2020";"04:33:31";"634";"29123505";"8026630";"REGISTERED";"Municipio I";"Piazza";"del Campidoglio";"1";"Roma";"DigitRomaWiFi";"it"
"07/07/2020";"01:12:13";"07/07/2020";"04:41:13";"12540";"3306013424";"27315926";"REGISTERED";"Municipio I";"Piazza";"Sant'Egidio";"1/B";"Roma";"DigitRomaWiFi";"it"
"07/07/2020";"04:59:58";"07/07/2020";"05:38:51";"2333";"10736896";"54378713";"REGISTERED_H24";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi_H24";"it"
"07/07/2020";"04:34:22";"07/07/2020";"05:44:52";"4230";"657854126";"25146719";"REGISTERED";"Municipio I";"Via";"delle Tre Pile";"1";"Roma";"Musei_Capitolini";"it"
"07/07/2020";"05:49:30";"07/07/2020";"06:19:22";"1792";"237396659";"10262951";"REGISTERED";"Municipio I";"Piazza";"del Campidoglio";"1";"Roma";"DigitRomaWiFi";"it"
"07/07/2020";"06:12:22";"07/07/2020";"06:24:49";"747";"8462208";"1365566";"REGISTERED";"Municipio XI";"Via";"Domenico Lupatelli";"2";"Roma";"DigitRomaWiFi";"it"
"07/07/2020";"06:53:24";"07/07/2020";"06:53:24";"0";"43790";"7977";"REGISTERED";"Municipio I";"Vicolo";"del Bottino";"1";"Roma";"DigitRomaWiFi";"it"
"07/07/2020";"04:08:14";"07/07/2020";"07:21:09";"11575";"114764394";"3775094";"REGISTERED_H24";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi_H24";"it"
"07/07/2020";"07:32:59";"07/07/2020";"07:33:17";"18";"419516";"57663";"REGISTERED";"Municipio III";"Via";"Flavio Andò";"12";"Roma";"DigitRomaWiFi";"it"
"07/07/2020";"06:40:31";"07/07/2020";"07:50:01";"4170";"723116";"253023";"REGISTERED";"Municipio VII";"Via";"Tommaso Fortifiocca";"71";"Roma";"DigitRomaWiFi";"it"
"07/07/2020";"07:10:40";"07/07/2020";"07:54:33";"2633";"1288078";"428064";"REGISTERED";"Municipio VII";"Piazza";"di Cinecittà";"11";"Roma";"DigitRomaWiFi";"it"
"07/07/2020";"07:01:57";"07/07/2020";"07:57:34";"3337";"39158751";"2244698";"REGISTERED";"Municipio XI";"Via";"Domenico Lupatelli";"2";"Roma";"DigitRomaWiFi";"it"
"07/07/2020";"07:57:50";"07/07/2020";"07:57:51";"1";"40685";"7174";"REGISTERED";"Municipio V";"Via";"Torre Annunziata";"1";"Roma";"DigitRomaWiFi";"it"
"07/07/2020";"07:37:27";"07/07/2020";"08:04:19";"1612";"15087744";"1790791";"REGISTERED_H24";"Municipio I";"Piazza";"San Pantaleo";"10";"Roma";"DigitRomaWiFi_H24";"it"
"07/07/2020";"08:00:56";"07/07/2020";"08:04:48";"232";"1671698";"24384798";"REGISTERED";"Municipio I";"Via";"del Tempio di Giove";"3";"Roma";"DigitRomaWiFi";"it"
"07/07/2020";"07:00:11";"07/07/2020";"08:10:32";"4221";"190284346";"2092054";"REGISTERED";"Municipio X";"Via";"Claudio";"1";"Roma";"DigitRomaWiFi";"it"
"07/07/2020";"04:02:22";"07/07/2020";"08:13:17";"15055";"8663760";"1932408";"REGISTERED_H24";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi_H24";"it"
"07/07/2020";"08:00:03";"07/07/2020";"08:16:56";"1013";"5317678";"366459";"REGISTERED";"Municipio X";"Via";"Claudio";"1";"Roma";"DigitRomaWiFi";"it"
"07/07/2020";"08:09:03";"07/07/2020";"08:17:07";"484";"762605";"195666";"REGISTERED";"Municipio IX";"Viale";"della Previdenza Sociale";"20";"Roma";"Biblioteche";"it"
"07/07/2020";"08:19:38";"07/07/2020";"08:21:01";"83";"411518";"46744";"REGISTERED";"Municipio VIII";"Circonvallazione";"Ostiense";"191";"Roma";"DigitRomaWiFi";"it"
