"STARTDATE";"STARTTIME";"ENDDATE";"ENDTIME";"DURATION";"DOWNLOAD";"UPLOAD";"DOMAIN";"MUNICIPIO";"DUG";"DUF";"CIVICO";"LOCALITA";"SERVICEPROFILE";"DTLN"
"31/07/2020";"00:14:50";"31/07/2020";"00:31:07";"977";"23436643";"4067094";"REGISTERED";"Municipio VI";"Viale";"Duilio Cambellotti";"11";"Roma";"DigitRomaWiFi";"it"
"31/07/2020";"00:01:36";"31/07/2020";"00:47:43";"2767";"220270084";"3443985";"REGISTERED";"Municipio I";"Via";"della Consolazione";"4";"Roma";"DigitRomaWiFi";"it"
"31/07/2020";"00:43:19";"31/07/2020";"01:11:02";"1663";"2653137";"904229";"REGISTERED";"Municipio I";"Piazza";"del Campidoglio";"1";"Roma";"DigitRomaWiFi";"it"
"30/07/2020";"21:34:41";"30/07/2020";"23:49:59";"8118";"1999926095";"33640812";"REGISTERED";"Municipio V";"Via";"del Pigneto";"22";"Roma";"Biblioteche";"it"
"31/07/2020";"01:37:08";"31/07/2020";"01:50:16";"788";"29837471";"2149719";"REGISTERED";"Municipio II";"Via";"Tiburtina Antica";"25";"Roma";"DigitRomaWiFi";"en"
"31/07/2020";"02:40:44";"31/07/2020";"02:48:55";"491";"2004347";"445634";"REGISTERED";"Municipio I";"Piazza";"del Campidoglio";"1";"Roma";"DigitRomaWiFi";"it"
"31/07/2020";"00:02:19";"31/07/2020";"04:02:19";"14400";"321192108";"23086389";"REGISTERED";"Municipio I";"Via";"della Consolazione";"4";"Roma";"DigitRomaWiFi";"it"
"31/07/2020";"06:23:27";"31/07/2020";"06:26:51";"204";"1124755";"128503";"REGISTERED";"Municipio VII";"Via";"Tommaso Fortifiocca";"71";"Roma";"DigitRomaWiFi";"it"
"31/07/2020";"06:20:55";"31/07/2020";"06:27:03";"368";"3320842";"97229293";"REGISTERED";"Municipio VII";"Via";"Tommaso Fortifiocca";"71";"Roma";"DigitRomaWiFi";"it"
"31/07/2020";"06:16:19";"31/07/2020";"06:41:43";"1524";"1166782";"448770";"REGISTERED";"Municipio X";"Via";"del Martin Pescatore";"66";"Roma";"DigitRomaWiFi";"it"
"31/07/2020";"06:44:18";"31/07/2020";"07:00:14";"956";"8602591";"8383974";"REGISTERED";"Municipio VIII";"Circonvallazione";"Ostiense";"191";"Roma";"DigitRomaWiFi";"it"
"31/07/2020";"06:39:10";"31/07/2020";"07:03:03";"1433";"30437183";"1512793";"REGISTERED";"Municipio III";"Via";"Flavio Ando";"12";"Roma";"DigitRomaWiFi";"it"
