"STARTDATE";"STARTTIME";"ENDDATE";"ENDTIME";"DURATION";"DOWNLOAD";"UPLOAD";"DOMAIN";"MUNICIPIO";"DUG";"DUF";"CIVICO";"LOCALITA";"SERVICEPROFILE";"DTLN"
"26/06/2020";"21:51:08";"27/06/2020";"00:38:14";"10026";"1579283850";"21917195";"REGISTERED";"Municipio VIII";"Largo ";"Giovanni da Verrazzano";"7";"Roma";"DigitRomaWiFi";"it"
"26/06/2020";"22:31:59";"27/06/2020";"02:37:12";"14713";"1132950106";"14493077";"REGISTERED";"Municipio IX";"Viale";"della Previdenza Sociale";"20";"Roma";"DigitRomaWiFi";"it"
"27/06/2020";"04:27:48";"27/06/2020";"04:27:48";"0";"19578";"2200";"REGISTERED";"Municipio IX";"Viale";"della Previdenza Sociale";"20";"Roma";"Biblioteche";"it"
"27/06/2020";"04:28:19";"27/06/2020";"05:17:46";"2967";"6041584511";"113736798";"REGISTERED";"Municipio IX";"Viale";"della Previdenza Sociale";"20";"Roma";"Biblioteche";"it"
"27/06/2020";"04:48:57";"27/06/2020";"06:06:46";"4669";"1372133284";"38807235";"REGISTERED";"Municipio I";"Via";"della Consolazione";"4";"Roma";"DigitRomaWiFi";"it"
"27/06/2020";"05:50:22";"27/06/2020";"06:32:46";"2544";"29558613";"2386333";"REGISTERED_H24";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi_H24";"it"
"27/06/2020";"06:11:29";"27/06/2020";"06:42:51";"1882";"688486692";"8172294";"REGISTERED";"Municipio I";"Via";"della Consolazione";"4";"Roma";"DigitRomaWiFi";"it"
"27/06/2020";"03:07:01";"27/06/2020";"06:53:45";"13604";"2141192220";"20168034";"REGISTERED";"Municipio I";"Piazza";"Sant'Egidio";"1/B";"Roma";"DigitRomaWiFi";"it"
"27/06/2020";"06:33:48";"27/06/2020";"06:54:04";"1216";"24240892";"42444889";"REGISTERED_H24";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi_H24";"it"
"27/06/2020";"06:50:51";"27/06/2020";"06:59:57";"546";"2294006";"387202";"REGISTERED";"Municipio I";"Piazza";"del Campidoglio";"1";"Roma";"DigitRomaWiFi";"it"
"27/06/2020";"06:54:59";"27/06/2020";"07:05:12";"613";"42048661";"3202528";"REGISTERED";"Municipio VIII";"Largo ";"Giovanni da Verrazzano";"7";"Roma";"DigitRomaWiFi";"it"
"27/06/2020";"06:59:28";"27/06/2020";"07:08:07";"519";"449209";"59695";"REGISTERED_H24";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi_H24";"it"
