"STARTDATE";"STARTTIME";"ENDDATE";"ENDTIME";"DURATION";"DOWNLOAD";"UPLOAD";"DOMAIN";"MUNICIPIO";"DUG";"DUF";"CIVICO";"LOCALITA";"SERVICEPROFILE";"DTLN"
"13/08/2020";"00:15:14";"13/08/2020";"00:37:48";"1354";"52585824";"6280510";"REGISTERED";"Municipio V";"Viale";"Partenope";"55";"Roma";"DigitRomaWiFi";"it"
"13/08/2020";"00:47:54";"13/08/2020";"00:54:07";"373";"410294";"97917";"REGISTERED";"Municipio I";"Via";"della Greca";"5";"Roma";"DigitRomaWiFi";"it"
"13/08/2020";"01:01:56";"13/08/2020";"01:29:18";"1642";"184357511";"2488670";"REGISTERED";"Municipio I";"Via";"della Greca";"5";"Roma";"DigitRomaWiFi";"it"
"12/08/2020";"20:29:41";"13/08/2020";"00:10:58";"13277";"5810283722";"101053647";"BIBLIO";"Municipio V";"Via";"del Pigneto";"22";"Roma";"Biblioteche";""
"13/08/2020";"00:34:02";"13/08/2020";"02:52:17";"8295";"131982566";"6250641";"REGISTERED";"Municipio I";"Via";"delle Tre Pile";"1";"Roma";"Musei_Capitolini";"it"
"13/08/2020";"04:48:35";"13/08/2020";"04:48:35";"0";"308248";"38301";"REGISTERED_H24";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi_H24";"en"
"13/08/2020";"01:08:09";"13/08/2020";"05:08:09";"14400";"1175027092";"14797431";"REGISTERED";"Municipio I";"Via";"della Greca";"5";"Roma";"DigitRomaWiFi";"it"
"13/08/2020";"05:53:05";"13/08/2020";"06:04:56";"711";"80305412";"1358186";"REGISTERED";"Municipio I";"Via";"della Greca";"5";"Roma";"DigitRomaWiFi";"it"
"13/08/2020";"06:49:19";"13/08/2020";"06:51:56";"157";"474634";"82798";"REGISTERED";"Municipio I";"Via";"della Greca";"5";"Roma";"DigitRomaWiFi";"it"
"13/08/2020";"06:45:04";"13/08/2020";"07:09:27";"1463";"162649671";"7222746";"REGISTERED_H24";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi_H24";"it"
"13/08/2020";"07:14:55";"13/08/2020";"07:14:55";"0";"11548";"9680";"REGISTERED";"Municipio XIII";"Via";"Aurelia";"470";"Roma";"DigitRomaWiFi";"it"
"13/08/2020";"07:14:24";"13/08/2020";"07:35:03";"1239";"55426076";"4068887";"REGISTERED_H24";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi_H24";"it"
"13/08/2020";"07:25:26";"13/08/2020";"07:39:16";"830";"292700829";"5502134";"REGISTERED";"Municipio I";"Via";"del Tritone";"142";"Roma";"DigitRomaWiFi";"it"
"13/08/2020";"07:31:25";"13/08/2020";"07:48:49";"1044";"17656414";"1926266";"REGISTERED";"Municipio I";"Via";"del Tempio di Giove";"3";"Roma";"DigitRomaWiFi";"it"
"13/08/2020";"07:48:38";"13/08/2020";"07:56:28";"470";"15900709";"2788877";"REGISTERED";"Municipio XIII";"Via";"Ettore Stampini";"38";"Roma";"DigitRomaWiFi";"it"
"13/08/2020";"07:47:20";"13/08/2020";"07:56:39";"559";"570955";"216166";"REGISTERED";"Municipio VII";"Piazza";"di Cinecitta";"11";"Roma";"DigitRomaWiFi";"it"
"13/08/2020";"07:55:43";"13/08/2020";"08:00:12";"269";"26829861";"1222618";"REGISTERED";"Municipio IX";"Via";"Ignazio  Silone";"100";"Roma";"DigitRomaWiFi";"it"
"13/08/2020";"07:51:42";"13/08/2020";"08:04:17";"755";"4118600";"571113";"REGISTERED_H24";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi_H24";"it"
"13/08/2020";"08:02:56";"13/08/2020";"08:06:41";"225";"564542";"189793";"REGISTERED";"Municipio XII";"Via";"Fabiola";"14";"Roma";"DigitRomaWiFi";"it"
