"STARTDATE";"STARTTIME";"ENDDATE";"ENDTIME";"DURATION";"DOWNLOAD";"UPLOAD";"DOMAIN";"MUNICIPIO";"DUG";"DUF";"CIVICO";"LOCALITA";"SERVICEPROFILE";"DTLN"
"02/07/2020";"23:32:38";"03/07/2020";"00:16:36";"2638";"435804367";"9997471";"REGISTERED";"Municipio I";"Piazza";"di Campitelli";"7";"Roma";"DigitRomaWiFi";"it"
"03/07/2020";"01:30:16";"03/07/2020";"01:47:53";"1057";"46162261";"5286680";"REGISTERED";"Municipio VI";"Viale";"Duilio Cambellotti";"11";"Roma";"DigitRomaWiFi";"it"
"02/07/2020";"23:55:20";"02/07/2020";"23:57:24";"124";"11236907";"494261";"REGISTERED";"Municipio VI";"Via";"Libero Leonardi";"153";"Roma";"Biblioteche";"it"
"02/07/2020";"22:14:20";"03/07/2020";"02:14:20";"14400";"456589891";"9099257";"REGISTERED";"Municipio I";"Via";"della Consolazione";"4";"Roma";"DigitRomaWiFi";"it"
"03/07/2020";"03:00:16";"03/07/2020";"05:56:52";"10596";"579222136";"7724649";"REGISTERED";"Municipio I";"Piazza";"del Campidoglio";"1";"Roma";"DigitRomaWiFi";"it"
"03/07/2020";"05:56:51";"03/07/2020";"05:56:51";"0";"0";"0";"REGISTERED";"Municipio I";"Piazza";"del Campidoglio";"1";"Roma";"DigitRomaWiFi";"it"
"03/07/2020";"03:34:27";"03/07/2020";"06:03:11";"8924";"56136282";"2696361";"REGISTERED_H24";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi_H24";"it"
"03/07/2020";"02:54:25";"03/07/2020";"06:38:45";"13460";"83255416";"170865659";"REGISTERED";"Municipio I";"Via";"della Consolazione";"4";"Roma";"DigitRomaWiFi";"it"
"03/07/2020";"06:44:29";"03/07/2020";"07:10:27";"1558";"20548313";"950577";"REGISTERED";"Municipio VII";"Via";"Tommaso Fortifiocca";"71";"Roma";"DigitRomaWiFi";"it"
"03/07/2020";"07:43:26";"03/07/2020";"07:47:33";"247";"739601";"118353";"REGISTERED";"Municipio I";"Via";"della Greca";"5";"Roma";"DigitRomaWiFi";"it"
"03/07/2020";"07:47:05";"03/07/2020";"07:51:55";"290";"35085867";"914223";"REGISTERED";"Municipio VI";"Viale";"Duilio Cambellotti";"11";"Roma";"DigitRomaWiFi";"it"
"03/07/2020";"07:42:53";"03/07/2020";"07:57:54";"901";"16614308";"18417831";"REGISTERED";"Municipio VIII";"Largo ";"Giovanni da Verrazzano";"7";"Roma";"DigitRomaWiFi";"it"
"03/07/2020";"07:53:39";"03/07/2020";"07:58:58";"319";"564546";"111826";"REGISTERED";"Municipio I";"Via";"della Consolazione";"4";"Roma";"DigitRomaWiFi";"it"
"03/07/2020";"07:34:07";"03/07/2020";"07:59:18";"1511";"59945594";"4022624";"REGISTERED";"Municipio XII";"Via";"di Donna Olimpia";"43";"Roma";"DigitRomaWiFi";"it"
"03/07/2020";"08:10:52";"03/07/2020";"08:16:41";"349";"10538730";"1250196";"REGISTERED";"Municipio XII";"Via";"di Donna Olimpia";"43";"Roma";"DigitRomaWiFi";"it"
"03/07/2020";"07:09:17";"03/07/2020";"08:29:15";"4798";"1581115";"961339";"REGISTERED";"Municipio VII";"Piazza";"di Cinecittà";"11";"Roma";"DigitRomaWiFi";"it"
"03/07/2020";"07:46:28";"03/07/2020";"08:30:10";"2622";"139223497";"36120412";"REGISTERED";"Municipio VIII";"Via";"Ostiense";"106";"Roma";"DigitRomaWiFi";"it"
"03/07/2020";"08:29:49";"03/07/2020";"08:40:26";"637";"66166241";"3476479";"REGISTERED";"Municipio I";"Piazza";"di Campitelli";"7";"Roma";"DigitRomaWiFi";"it"
"03/07/2020";"08:39:54";"03/07/2020";"08:48:16";"502";"60853029";"3916827";"REGISTERED";"Municipio XV";"Via";"Cassia";"726";"Roma";"DigitRomaWiFi";"it"
"03/07/2020";"08:36:51";"03/07/2020";"08:51:24";"873";"19108683";"1879097";"REGISTERED";"Municipio XIII";"Via";"Aurelia";"470";"Roma";"DigitRomaWiFi";"it"
"03/07/2020";"08:29:39";"03/07/2020";"08:54:43";"1504";"310000991";"3793299";"REGISTERED";"Municipio XII";"Via";"di Donna Olimpia";"43";"Roma";"DigitRomaWiFi";"it"
