"STARTDATE";"STARTTIME";"ENDDATE";"ENDTIME";"DURATION";"DOWNLOAD";"UPLOAD";"DOMAIN";"MUNICIPIO";"DUG";"DUF";"CIVICO";"LOCALITA";"SERVICEPROFILE";"DTLN"
"24/09/2020";"22:29:49";"25/09/2020";"00:06:03";"5774";"53078190";"4958250";"REGISTERED";"Municipio I";"Via";"della Consolazione";"4";"Roma";"DigitRomaWiFi";"it"
"25/09/2020";"00:24:48";"25/09/2020";"04:24:48";"14400";"146683851";"5768873";"REGISTERED";"Municipio VIII";"Largo ";"Giovanni da Verrazzano";"7";"Roma";"DigitRomaWiFi";"it"
"25/09/2020";"00:35:02";"25/09/2020";"04:35:02";"14400";"745941124";"20894490";"REGISTERED";"Municipio III";"Via";"Flavio Ando";"12";"Roma";"DigitRomaWiFi";"it"
"25/09/2020";"04:02:36";"25/09/2020";"04:41:31";"2335";"682488";"224504";"REGISTERED";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi";"it"
"25/09/2020";"01:01:39";"25/09/2020";"05:01:39";"14400";"726296731";"27286296";"REGISTERED";"Municipio I";"Via";"della Consolazione";"4";"Roma";"DigitRomaWiFi";"it"
"25/09/2020";"05:11:07";"25/09/2020";"05:11:08";"1";"431188";"72267";"REGISTERED";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi";"en"
"25/09/2020";"05:01:32";"25/09/2020";"05:21:43";"1211";"101690344";"3632642";"REGISTERED";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi";"it"
"25/09/2020";"06:28:23";"25/09/2020";"06:42:14";"831";"112522425";"5019490";"REGISTERED";"Municipio X";"Piazza";"Capelvenere";"13";"Roma";"DigitRomaWiFi";"pl"
"25/09/2020";"07:16:32";"25/09/2020";"07:23:36";"424";"51484805";"2447352";"REGISTERED";"Municipio XII";"Via";"Fabiola";"14";"Roma";"DigitRomaWiFi";"it"
"25/09/2020";"07:03:45";"25/09/2020";"07:26:19";"1354";"57075139";"1998661";"REGISTERED";"";"";"";"";"";"DigitRomaWiFi";"it"
"25/09/2020";"07:19:23";"25/09/2020";"07:26:25";"422";"3026";"2868";"REGISTERED";"Municipio I";"Piazza";"del Campidoglio";"1";"Roma";"DigitRomaWiFi";"it"
"25/09/2020";"07:35:40";"25/09/2020";"07:39:30";"230";"102692702";"4368178";"REGISTERED";"Municipio XII";"Via";"Fabiola";"14";"Roma";"DigitRomaWiFi";"it"
