"STARTDATE";"STARTTIME";"ENDDATE";"ENDTIME";"DURATION";"DOWNLOAD";"UPLOAD";"DOMAIN";"MUNICIPIO";"DUG";"DUF";"CIVICO";"LOCALITA";"SERVICEPROFILE";"DTLN"
"15/07/2020";"22:37:28";"16/07/2020";"00:01:37";"5049";"64861616";"7506492";"REGISTERED";"Municipio I";"Piazza";"Sant'Egidio";"1/B";"Roma";"DigitRomaWiFi";"it"
"15/07/2020";"22:21:39";"16/07/2020";"00:07:37";"6358";"36208734";"5971635";"REGISTERED";"Municipio III";"Via";"Flavio Andò";"12";"Roma";"DigitRomaWiFi";"it"
"16/07/2020";"00:31:18";"16/07/2020";"00:35:21";"243";"1574099";"972913";"REGISTERED";"Municipio I";"Piazza";"di Campitelli";"7";"Roma";"DigitRomaWiFi";"fr"
"15/07/2020";"22:04:26";"16/07/2020";"00:37:04";"9158";"893956900";"686827056";"REGISTERED";"Municipio I";"Piazza";"Sant'Egidio";"1/B";"Roma";"DigitRomaWiFi";"it"
"16/07/2020";"01:05:34";"16/07/2020";"01:08:37";"183";"1156842";"78124";"REGISTERED";"Municipio I";"Via";"della Consolazione";"4";"Roma";"DigitRomaWiFi";"it"
"16/07/2020";"01:43:52";"16/07/2020";"01:46:39";"167";"104860";"39229";"REGISTERED";"Municipio I";"Via";"della Consolazione";"4";"Roma";"DigitRomaWiFi";"it"
"16/07/2020";"00:12:08";"16/07/2020";"02:43:55";"9107";"397896913";"28217650";"REGISTERED";"Municipio IX";"Viale";"della Previdenza Sociale";"20";"Roma";"Biblioteche";"it"
"15/07/2020";"22:31:21";"16/07/2020";"00:58:03";"8802";"1729625052";"49141340";"REGISTERED";"Municipio V";"Via";"del Pigneto";"22";"Roma";"Biblioteche";"it"
"16/07/2020";"03:23:42";"16/07/2020";"03:29:33";"351";"26936649";"1007063";"REGISTERED_H24";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi_H24";"it"
"16/07/2020";"00:11:30";"16/07/2020";"04:11:30";"14400";"624531213";"11059551";"REGISTERED";"Municipio IX";"Viale";"della Previdenza Sociale";"20";"Roma";"Biblioteche";"it"
"16/07/2020";"02:51:28";"16/07/2020";"04:19:41";"5293";"160950305";"10747672";"REGISTERED";"Municipio IX";"Viale";"della Previdenza Sociale";"20";"Roma";"Biblioteche";"it"
"16/07/2020";"01:09:46";"16/07/2020";"05:09:46";"14400";"2535709680";"30501350";"REGISTERED";"Municipio I";"Piazza";"Sant'Egidio";"1/B";"Roma";"DigitRomaWiFi";"it"
"16/07/2020";"03:31:05";"16/07/2020";"05:31:14";"7209";"32360099";"2339312";"REGISTERED_H24";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi_H24";"it"
