"STARTDATE";"STARTTIME";"ENDDATE";"ENDTIME";"DURATION";"DOWNLOAD";"UPLOAD";"DOMAIN";"MUNICIPIO";"DUG";"DUF";"CIVICO";"LOCALITA";"SERVICEPROFILE";"DTLN"
"01/09/2020";"00:52:40";"01/09/2020";"01:30:08";"2248";"1830765909";"49821141";"REGISTERED";"Municipio II";"Piazza";"Grecia";"23/25";"Roma";"DigitRomaWiFi";"it"
"31/08/2020";"19:39:35";"01/09/2020";"00:22:48";"16993";"4369426659";"52077693";"BIBLIO";"Municipio V";"Via";"del Pigneto";"22";"Roma";"Biblioteche";""
"01/09/2020";"02:54:07";"01/09/2020";"02:54:22";"15";"0";"0";"REGISTERED";"";"";"";"";"";"DigitRomaWiFi";"it"
"01/09/2020";"02:54:27";"01/09/2020";"03:06:01";"694";"59532594";"3396105";"REGISTERED";"";"";"";"";"";"DigitRomaWiFi";"it"
"01/09/2020";"04:36:56";"01/09/2020";"04:59:47";"1371";"419127";"76504";"REGISTERED_H24";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi_H24";"it"
"01/09/2020";"05:21:10";"01/09/2020";"05:43:41";"1351";"9585689";"1025904";"REGISTERED_H24";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi_H24";"it"
"01/09/2020";"04:58:30";"01/09/2020";"06:02:59";"3869";"537461053";"25947930";"REGISTERED";"Municipio IX";"Via";"Cristoforo Colombo";"570";"Roma";"DigitRomaWiFi";"it"
"01/09/2020";"05:59:41";"01/09/2020";"06:06:09";"388";"14694710";"701577";"REGISTERED";"Municipio VII";"Via";"Tommaso Fortifiocca";"71";"Roma";"DigitRomaWiFi";"it"
"01/09/2020";"07:03:42";"01/09/2020";"07:06:46";"184";"549416";"69357";"REGISTERED";"Municipio I";"Via";"Luigi Petroselli";"50";"Roma";"DigitRomaWiFi";"it"
"01/09/2020";"06:50:37";"01/09/2020";"07:16:39";"1562";"45065239";"1718911";"REGISTERED";"Municipio VI";"Viale";"Duilio Cambellotti";"11";"Roma";"DigitRomaWiFi";"it"
"01/09/2020";"07:10:05";"01/09/2020";"07:23:54";"829";"2110427";"700557";"REGISTERED";"Municipio VII";"Via";"Tommaso Fortifiocca";"71";"Roma";"DigitRomaWiFi";"it"
"01/09/2020";"07:22:20";"01/09/2020";"07:25:27";"187";"3284746";"192999";"REGISTERED";"Municipio VII";"Via";"Tommaso Fortifiocca";"71";"Roma";"DigitRomaWiFi";"it"
"01/09/2020";"07:19:30";"01/09/2020";"07:25:34";"364";"14778925";"871502";"SPID";"Municipio XIII";"Via";"Aurelia";"470";"Roma";"DigitRomaWiFi";"it"
"01/09/2020";"07:17:44";"01/09/2020";"07:30:55";"791";"750214";"311776";"REGISTERED";"Municipio I";"Via";"dei Cerchi";"6";"Roma";"DigitRomaWiFi";"it"
"01/09/2020";"07:25:21";"01/09/2020";"07:31:08";"347";"24767986";"1107242";"REGISTERED";"Municipio I";"Via";"della Consolazione";"4";"Roma";"DigitRomaWiFi";"it"
"01/09/2020";"07:21:09";"01/09/2020";"07:36:33";"924";"8683124";"830111";"REGISTERED";"Municipio I";"Via";"della Consolazione";"4";"Roma";"DigitRomaWiFi";"it"
