"STARTDATE";"STARTTIME";"ENDDATE";"ENDTIME";"DURATION";"DOWNLOAD";"UPLOAD";"DOMAIN";"MUNICIPIO";"DUG";"DUF";"CIVICO";"LOCALITA";"SERVICEPROFILE";"DTLN"
"27/08/2020";"02:15:15";"27/08/2020";"02:26:33";"678";"20954670";"2252116";"REGISTERED_H24";"Municipio I";"Piazza";"San Pantaleo";"10";"Roma";"DigitRomaWiFi_H24";"de"
"26/08/2020";"22:44:08";"27/08/2020";"02:44:08";"14400";"1960634973";"40778257";"REGISTERED";"Municipio I";"Via";"della Consolazione";"4";"Roma";"DigitRomaWiFi";"it"
"27/08/2020";"05:27:05";"27/08/2020";"05:38:17";"672";"19229018";"1167196";"REGISTERED_H24";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi_H24";"it"
"27/08/2020";"04:23:20";"27/08/2020";"06:07:53";"6273";"730784";"233674";"REGISTERED_H24";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi_H24";"it"
"27/08/2020";"06:02:27";"27/08/2020";"06:14:52";"745";"30652247";"1054884";"REGISTERED";"Municipio VI";"Viale";"Duilio Cambellotti";"11";"Roma";"DigitRomaWiFi";"it"
"27/08/2020";"02:25:43";"27/08/2020";"06:25:43";"14400";"1581616";"435783";"REGISTERED";"Municipio VIII";"Largo ";"Giovanni da Verrazzano";"7";"Roma";"DigitRomaWiFi";"it"
"27/08/2020";"06:28:18";"27/08/2020";"06:40:27";"729";"19016723";"2761622";"REGISTERED";"Municipio X";"Piazza";"Capelvenere";"13";"Roma";"DigitRomaWiFi";"pl"
"27/08/2020";"06:56:51";"27/08/2020";"07:00:09";"198";"484669";"114785";"REGISTERED_H24";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi_H24";"it"
"27/08/2020";"06:24:00";"27/08/2020";"07:15:30";"3090";"15671733";"2320231";"REGISTERED";"Municipio I";"Via";"dei Cerchi";"6";"Roma";"DigitRomaWiFi";"it"
"27/08/2020";"07:12:46";"27/08/2020";"07:18:18";"332";"863586";"231093";"REGISTERED";"Municipio I";"Via";"Luigi Petroselli";"50";"Roma";"DigitRomaWiFi";"it"
"27/08/2020";"06:52:16";"27/08/2020";"07:21:51";"1775";"17592159";"1507841";"REGISTERED";"Municipio VII";"Via";"Tommaso Fortifiocca";"71";"Roma";"DigitRomaWiFi";"it"
"27/08/2020";"07:23:16";"27/08/2020";"07:23:17";"1";"5407";"1666";"REGISTERED";"Municipio I";"Lungotevere";"in Augusta";"11";"Roma";"DigitRomaWiFi";"it"
"27/08/2020";"07:17:16";"27/08/2020";"07:23:49";"393";"15103601";"455972";"REGISTERED";"Municipio I";"Via";"della Consolazione";"4";"Roma";"DigitRomaWiFi";"it"
"27/08/2020";"03:24:42";"27/08/2020";"07:24:42";"14400";"1217545879";"67608315";"REGISTERED";"Municipio I";"Via";"della Consolazione";"4";"Roma";"DigitRomaWiFi";"it"
"27/08/2020";"07:29:15";"27/08/2020";"07:41:35";"740";"1825833";"563693";"REGISTERED";"Municipio I";"Via";"della Consolazione";"4";"Roma";"DigitRomaWiFi";"it"
"27/08/2020";"07:19:50";"27/08/2020";"07:42:55";"1385";"6481017";"545310";"REGISTERED";"Municipio I";"Via";"dei Cerchi";"6";"Roma";"DigitRomaWiFi";"it"
"27/08/2020";"07:34:34";"27/08/2020";"07:44:28";"594";"9722";"19030";"REGISTERED";"";"";"";"";"";"DigitRomaWiFi";"it"
"27/08/2020";"07:23:21";"27/08/2020";"07:44:29";"1268";"26615103";"1145936";"REGISTERED";"Municipio I";"Lungotevere";"in Augusta";"11";"Roma";"DigitRomaWiFi";"it"
"27/08/2020";"05:32:36";"27/08/2020";"07:46:38";"8042";"638723622";"20561064";"REGISTERED_H24";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi_H24";"it"
"27/08/2020";"07:49:57";"27/08/2020";"07:50:56";"59";"678386";"196913";"REGISTERED";"Municipio I";"Via";"Luigi Petroselli";"50";"Roma";"DigitRomaWiFi";"it"
"27/08/2020";"07:51:24";"27/08/2020";"07:53:44";"140";"446413";"57340";"REGISTERED";"Municipio I";"Via";"Luigi Petroselli";"50";"Roma";"DigitRomaWiFi";"it"
"27/08/2020";"07:57:22";"27/08/2020";"07:57:23";"1";"351439";"28439";"REGISTERED";"Municipio XII";"Via";"Paola Falconieri";"38";"Roma";"DigitRomaWiFi";"it"
"27/08/2020";"07:38:35";"27/08/2020";"07:57:27";"1132";"212119548";"7023532";"REGISTERED";"Municipio XI";"Via";"Marino Mazzacurati";"73/75";"Roma";"DigitRomaWiFi";"it"
"27/08/2020";"07:20:42";"27/08/2020";"08:04:59";"2657";"152736481";"17693413";"REGISTERED";"Municipio VIII";"Via";"Capitan Bavastro";"94";"Roma";"DigitRomaWiFi";"it"
"27/08/2020";"07:57:29";"27/08/2020";"08:05:19";"470";"2206261";"549757";"REGISTERED";"Municipio I";"Via";"Luigi Petroselli";"50";"Roma";"DigitRomaWiFi";"it"
"27/08/2020";"07:56:39";"27/08/2020";"08:06:57";"618";"3555165";"260367";"REGISTERED";"Municipio I";"Via";"Luigi Petroselli";"50";"Roma";"DigitRomaWiFi";"it"
