"STARTDATE";"STARTTIME";"ENDDATE";"ENDTIME";"DURATION";"DOWNLOAD";"UPLOAD";"DOMAIN";"MUNICIPIO";"DUG";"DUF";"CIVICO";"LOCALITA";"SERVICEPROFILE";"DTLN"
"14/08/2020";"00:34:49";"14/08/2020";"00:43:45";"536";"28767680";"2072350";"REGISTERED";"Municipio IX";"Via";"Paolo Renzi";"47";"Roma";"DigitRomaWiFi";"it"
"14/08/2020";"00:45:19";"14/08/2020";"00:50:57";"338";"45263329";"2851016";"REGISTERED";"Municipio IX";"Via";"Paolo Renzi";"47";"Roma";"DigitRomaWiFi";"it"
"14/08/2020";"00:51:46";"14/08/2020";"00:55:03";"197";"10682176";"790730";"REGISTERED";"Municipio IX";"Via";"Paolo Renzi";"47";"Roma";"DigitRomaWiFi";"it"
"14/08/2020";"00:56:45";"14/08/2020";"01:13:55";"1030";"128531085";"3972139";"REGISTERED";"Municipio IX";"Via";"Paolo Renzi";"47";"Roma";"DigitRomaWiFi";"it"
"13/08/2020";"22:16:56";"13/08/2020";"23:25:52";"4136";"845323509";"15203901";"REGISTERED";"Municipio V";"Via";"del Pigneto";"22";"Roma";"Biblioteche";"it"
"14/08/2020";"04:57:50";"14/08/2020";"05:00:16";"146";"460360";"115101";"REGISTERED_H24";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi_H24";"it"
"14/08/2020";"04:27:57";"14/08/2020";"06:37:30";"7773";"19509870";"2919247";"REGISTERED_H24";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi_H24";"it"
"14/08/2020";"06:03:02";"14/08/2020";"06:43:20";"2418";"30477241";"4039652";"REGISTERED_H24";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi_H24";"it"
"14/08/2020";"03:51:59";"14/08/2020";"07:17:00";"12301";"350727144";"26244157";"REGISTERED_H24";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi_H24";"en"
"14/08/2020";"07:07:52";"14/08/2020";"07:34:16";"1584";"9786596";"826827";"REGISTERED";"Municipio V";"Viale";"Partenope";"55";"Roma";"DigitRomaWiFi";"it"
"14/08/2020";"06:47:47";"14/08/2020";"07:40:14";"3147";"17388667";"969281";"REGISTERED";"Municipio VI";"Viale";"Duilio Cambellotti";"11";"Roma";"DigitRomaWiFi";"it"
"14/08/2020";"04:57:06";"14/08/2020";"07:41:48";"9882";"24564290";"1546347";"REGISTERED_H24";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi_H24";"it"
"14/08/2020";"07:29:18";"14/08/2020";"07:47:17";"1079";"99281641";"3505250";"REGISTERED";"Municipio XII";"Via";"Fabiola";"14";"Roma";"DigitRomaWiFi";"it"
"14/08/2020";"07:17:02";"14/08/2020";"07:53:20";"2178";"3447668";"1562200";"REGISTERED";"Municipio I";"Via";"del Tempio di Giove";"3";"Roma";"DigitRomaWiFi";"it"
"14/08/2020";"06:17:10";"14/08/2020";"07:53:46";"5796";"3293291";"961010";"REGISTERED";"Municipio XI";"Via";"Marino Mazzacurati";"73/75";"Roma";"DigitRomaWiFi";"it"
"14/08/2020";"08:09:29";"14/08/2020";"08:16:48";"439";"915928";"1002234";"REGISTERED";"Municipio I";"Via";"Luigi Petroselli";"50";"Roma";"DigitRomaWiFi";"it"
