"STARTDATE";"STARTTIME";"ENDDATE";"ENDTIME";"DURATION";"DOWNLOAD";"UPLOAD";"DOMAIN";"MUNICIPIO";"DUG";"DUF";"CIVICO";"LOCALITA";"SERVICEPROFILE";"DTLN"
"19/07/2020";"22:48:47";"20/07/2020";"00:22:12";"5605";"2047132390";"30242637";"BIBLIO";"Municipio V";"Via";"del Pigneto";"22";"Roma";"Biblioteche";""
"20/07/2020";"05:30:16";"20/07/2020";"06:17:50";"2854";"954098";"178340";"REGISTERED";"Municipio I";"Via";"della Greca";"5";"Roma";"DigitRomaWiFi";"it"
"20/07/2020";"06:55:14";"20/07/2020";"07:03:43";"509";"17352478";"1020024";"REGISTERED";"Municipio X";"Via";"Claudio";"1";"Roma";"DigitRomaWiFi";"it"
"20/07/2020";"07:03:29";"20/07/2020";"07:21:24";"1075";"19142035";"1209382";"REGISTERED";"Municipio VIII";"Largo ";"Giovanni da Verrazzano";"7";"Roma";"DigitRomaWiFi";"it"
"20/07/2020";"07:22:49";"20/07/2020";"07:28:50";"361";"20434201";"1235889";"REGISTERED";"Municipio IX";"Via";"Ignazio  Silone";"100";"Roma";"DigitRomaWiFi";"it"
"20/07/2020";"07:29:53";"20/07/2020";"07:36:25";"392";"2092699";"5034159";"REGISTERED_H24";"Municipio I";"Piazza";"San Pantaleo";"10";"Roma";"DigitRomaWiFi_H24";"en"
"20/07/2020";"07:21:30";"20/07/2020";"07:50:49";"1759";"108122326";"6889063";"REGISTERED";"Municipio VII";"Via";"Tommaso Fortifiocca";"71";"Roma";"DigitRomaWiFi";"it"
"20/07/2020";"07:38:29";"20/07/2020";"07:53:12";"883";"120075667";"1889941";"REGISTERED";"Municipio IX";"Via";"Ignazio  Silone";"100";"Roma";"DigitRomaWiFi";"it"
"20/07/2020";"07:38:00";"20/07/2020";"07:53:25";"925";"326058490";"2023001";"REGISTERED";"Municipio XII";"Via";"Fabiola";"14";"Roma";"DigitRomaWiFi";"it"
"20/07/2020";"07:57:00";"20/07/2020";"07:57:00";"0";"5371";"2868";"REGISTERED";"Municipio V";"Via";"Torre Annunziata";"1";"Roma";"DigitRomaWiFi";"it"
"20/07/2020";"07:56:28";"20/07/2020";"08:00:55";"267";"12055960";"693949";"REGISTERED";"Municipio IX";"Via";"del Turismo";"30/32";"Roma";"DigitRomaWiFi";"it"
"20/07/2020";"07:56:42";"20/07/2020";"08:00:56";"254";"572635";"89311";"REGISTERED";"Municipio I";"Via";"Luigi Petroselli";"50";"Roma";"DigitRomaWiFi";"it"
