"STARTDATE";"STARTTIME";"ENDDATE";"ENDTIME";"DURATION";"DOWNLOAD";"UPLOAD";"DOMAIN";"MUNICIPIO";"DUG";"DUF";"CIVICO";"LOCALITA";"SERVICEPROFILE";"DTLN"
"10/09/2020";"23:24:49";"11/09/2020";"00:20:10";"3321";"12541596";"2303348";"REGISTERED";"Municipio III";"Via";"Flavio Ando";"12";"Roma";"DigitRomaWiFi";"it"
"10/09/2020";"12:57:53";"10/09/2020";"23:21:44";"37431";"1771092641";"8472492627";"BIBLIO";"Municipio V";"Via";"del Pigneto";"22";"Roma";"Biblioteche";""
"11/09/2020";"00:41:38";"11/09/2020";"01:29:59";"2901";"12735874";"7892915";"REGISTERED";"Municipio I";"Piazza";"Orazio Giustiniani";"4";"Roma";"DigitRomaWiFi";"en"
"11/09/2020";"00:33:50";"11/09/2020";"02:04:53";"5463";"385718923";"679654305";"REGISTERED";"Municipio II";"Piazza";"Grecia";"23/25";"Roma";"DigitRomaWiFi";"it"
"11/09/2020";"00:06:12";"11/09/2020";"02:47:03";"9651";"51488382";"10761993";"REGISTERED";"Municipio I";"Piazza";"del Campidoglio";"1";"Roma";"DigitRomaWiFi";"it"
"11/09/2020";"02:50:33";"11/09/2020";"03:09:47";"1154";"45234838";"5152921";"REGISTERED";"Municipio I";"Piazza";"del Campidoglio";"1";"Roma";"DigitRomaWiFi";"it"
"11/09/2020";"03:31:23";"11/09/2020";"03:51:07";"1184";"15271620";"4544929";"REGISTERED_H24";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi_H24";"it"
"11/09/2020";"04:17:29";"11/09/2020";"04:40:41";"1392";"548488";"150473";"REGISTERED_H24";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi_H24";"it"
"11/09/2020";"05:00:55";"11/09/2020";"05:33:10";"1935";"98520195";"3159619";"REGISTERED";"Municipio II";"Via";"Tiburtina Antica";"25";"Roma";"DigitRomaWiFi";"en"
"11/09/2020";"06:29:36";"11/09/2020";"06:41:00";"684";"36690506";"2764985";"REGISTERED";"Municipio X";"Piazza";"Capelvenere";"13";"Roma";"DigitRomaWiFi";"pl"
"11/09/2020";"06:58:41";"11/09/2020";"07:03:59";"318";"20246123";"723232";"REGISTERED";"Municipio I";"Via";"del Tempio di Giove";"3";"Roma";"DigitRomaWiFi";"it"
"11/09/2020";"06:07:36";"11/09/2020";"07:24:38";"4622";"63849759";"2232808";"REGISTERED_H24";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi_H24";"en"
"11/09/2020";"06:52:42";"11/09/2020";"07:28:19";"2137";"173801617";"8190950";"REGISTERED";"Municipio I";"Via";"del Tritone";"142";"Roma";"DigitRomaWiFi";"it"
"11/09/2020";"07:15:32";"11/09/2020";"07:29:30";"838";"2245056";"202071";"REGISTERED";"Municipio I";"Via";"della Greca";"5";"Roma";"DigitRomaWiFi";"it"
"11/09/2020";"07:26:39";"11/09/2020";"07:30:19";"220";"99752772";"4565326";"REGISTERED";"Municipio XII";"Via";"Fabiola";"14";"Roma";"DigitRomaWiFi";"it"
