"STARTDATE";"STARTTIME";"ENDDATE";"ENDTIME";"DURATION";"DOWNLOAD";"UPLOAD";"DOMAIN";"MUNICIPIO";"DUG";"DUF";"CIVICO";"LOCALITA";"SERVICEPROFILE";"DTLN"
"07/08/2020";"22:37:05";"08/08/2020";"00:27:09";"6604";"12125190";"2943269";"REGISTERED";"Municipio I";"Piazza";"del Campidoglio";"1";"Roma";"DigitRomaWiFi";"it"
"07/08/2020";"23:39:32";"08/08/2020";"00:53:16";"4424";"58074126";"2368397";"REGISTERED";"Municipio I";"Via";"delle Tre Pile";"1";"Roma";"Musei_Capitolini";"it"
"07/08/2020";"21:48:52";"08/08/2020";"01:48:52";"14400";"25610472512";"634209624";"REGISTERED";"Municipio IX";"Viale";"della Previdenza Sociale";"20";"Roma";"Biblioteche";"it"
"07/08/2020";"08:55:32";"08/08/2020";"00:56:16";"57644";"2651141926";"365660338";"BIBLIO";"Municipio V";"Via";"del Pigneto";"22";"Roma";"Biblioteche";""
"08/08/2020";"01:49:11";"08/08/2020";"05:47:29";"14298";"6795106323";"127306135";"REGISTERED";"Municipio IX";"Viale";"della Previdenza Sociale";"20";"Roma";"Biblioteche";"it"
"08/08/2020";"05:24:04";"08/08/2020";"06:38:43";"4479";"127446106";"42176861";"REGISTERED_H24";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi_H24";"en"
"08/08/2020";"06:12:49";"08/08/2020";"06:55:29";"2560";"25418593";"2846339";"REGISTERED";"Municipio I";"Via";"della Consolazione";"4";"Roma";"DigitRomaWiFi";"it"
"08/08/2020";"07:31:31";"08/08/2020";"07:31:31";"0";"5250";"1116";"REGISTERED";"Municipio I";"Lungotevere";"in Augusta";"11";"Roma";"DigitRomaWiFi";"it"
"08/08/2020";"08:01:17";"08/08/2020";"08:14:56";"819";"14775082";"616257";"REGISTERED";"Municipio IX";"Viale";"della Previdenza Sociale";"20";"Roma";"Biblioteche";"it"
"08/08/2020";"08:06:51";"08/08/2020";"08:16:24";"573";"1448205";"634271";"REGISTERED";"Municipio X";"Via";"Claudio";"1";"Roma";"DigitRomaWiFi";"it"
"08/08/2020";"07:31:34";"08/08/2020";"08:20:04";"2910";"28233870";"2624333";"REGISTERED";"Municipio I";"Lungotevere";"in Augusta";"11";"Roma";"DigitRomaWiFi";"it"
"08/08/2020";"08:28:34";"08/08/2020";"08:34:00";"326";"893348";"122961";"REGISTERED_MC";"Municipio I";"Via";"delle Tre Pile";"1";"Roma";"Musei_Capitolini";"it"
"08/08/2020";"08:38:59";"08/08/2020";"08:52:04";"785";"16173380";"592375";"REGISTERED";"Municipio X";"Via";"del Martin Pescatore";"66";"Roma";"DigitRomaWiFi";"it"
"08/08/2020";"08:12:07";"08/08/2020";"09:02:03";"2996";"13769720";"5506746";"SPID_H24";"Municipio I";"Piazza";"San Pantaleo";"10";"Roma";"DigitRomaWiFi_H24";"it"
"08/08/2020";"07:01:43";"08/08/2020";"09:04:36";"7373";"34675032";"1557478";"REGISTERED_H24";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi_H24";"it"
"08/08/2020";"09:17:31";"08/08/2020";"09:20:50";"199";"863605";"104946";"REGISTERED";"Municipio II";"Via";"Ulisse Aldrovandi";"18";"Roma";"DigitRomaWiFi";"it"
"08/08/2020";"05:11:30";"08/08/2020";"09:29:40";"15490";"5347983";"1281077";"REGISTERED_H24";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi_H24";"it"
"08/08/2020";"06:43:20";"08/08/2020";"09:39:09";"10549";"682618761";"61725337";"REGISTERED_H24";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi_H24";"en"
"08/08/2020";"09:42:57";"08/08/2020";"09:46:49";"232";"4364809";"481942";"SPID";"Municipio I";"Piazza";"di Ponte Umberto I";"1";"Roma";"DigitRomaWiFi";"it"
"08/08/2020";"09:20:56";"08/08/2020";"09:49:09";"1693";"45974508";"4737462";"REGISTERED";"Municipio I";"Viale";"dell'Uccelliera";"1";"Roma";"DigitRomaWiFi";"it"
"08/08/2020";"05:49:14";"08/08/2020";"09:59:30";"15016";"57318210";"3314731";"REGISTERED_H24";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi_H24";"it"
"08/08/2020";"05:44:01";"08/08/2020";"10:00:38";"15397";"8699737";"2337637";"REGISTERED_H24";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi_H24";"en"
"08/08/2020";"10:04:25";"08/08/2020";"10:04:26";"1";"5250";"1116";"REGISTERED";"Municipio I";"Lungotevere";"in Augusta";"11";"Roma";"DigitRomaWiFi";"it"
"08/08/2020";"10:11:54";"08/08/2020";"10:13:11";"77";"3950628";"657635";"REGISTERED";"Municipio V";"Via";"del Pigneto";"22";"Roma";"Biblioteche";"it"
"08/08/2020";"09:20:13";"08/08/2020";"10:16:43";"3390";"74783311";"5375028";"REGISTERED_H24";"Municipio I";"Piazza";"San Pantaleo";"10";"Roma";"DigitRomaWiFi_H24";"it"
"08/08/2020";"09:59:38";"08/08/2020";"10:20:25";"1247";"7475830";"967024";"REGISTERED";"Municipio IX";"Via";"Ignazio  Silone";"100";"Roma";"DigitRomaWiFi";"it"
"08/08/2020";"10:58:27";"08/08/2020";"11:09:35";"668";"4638193";"1097519";"REGISTERED";"Municipio I";"Piazza";"del Campidoglio";"1";"Roma";"DigitRomaWiFi";"it"
"08/08/2020";"10:28:42";"08/08/2020";"11:13:04";"2662";"8773929";"16263916";"REGISTERED_H24";"Municipio I";"Piazza";"San Pantaleo";"10";"Roma";"DigitRomaWiFi_H24";"it"
"08/08/2020";"10:30:01";"08/08/2020";"11:18:54";"2933";"72619079";"5857771";"REGISTERED";"Municipio II";"Via";"Ulisse Aldrovandi";"18";"Roma";"DigitRomaWiFi";"it"
"08/08/2020";"11:26:59";"08/08/2020";"11:35:55";"536";"55253672";"1962112";"REGISTERED";"Municipio I";"Via";"dei Cerchi";"6";"Roma";"DigitRomaWiFi";"it"
"08/08/2020";"10:04:32";"08/08/2020";"11:45:19";"6047";"18266627";"1266527";"REGISTERED";"Municipio I";"Lungotevere";"in Augusta";"11";"Roma";"DigitRomaWiFi";"it"
"08/08/2020";"11:11:56";"08/08/2020";"11:46:13";"2057";"29324428";"4171499";"REGISTERED";"Municipio I";"Piazza";"Sant'Egidio";"1/B";"Roma";"DigitRomaWiFi";"it"
"08/08/2020";"11:47:42";"08/08/2020";"11:47:43";"1";"5250";"1116";"REGISTERED";"Municipio I";"Lungotevere";"in Augusta";"11";"Roma";"DigitRomaWiFi";"it"
"08/08/2020";"11:38:01";"08/08/2020";"12:05:04";"1623";"35156546";"3184998";"REGISTERED";"Municipio X";"Via";"del Martin Pescatore";"66";"Roma";"DigitRomaWiFi";"it"
"08/08/2020";"09:54:44";"08/08/2020";"12:29:50";"9306";"1607980969";"30493149";"REGISTERED";"Municipio VIII";"Circonvallazione";"Ostiense";"191";"Roma";"DigitRomaWiFi";"it"
"08/08/2020";"12:25:05";"08/08/2020";"12:31:58";"413";"4324088";"603959";"REGISTERED";"Municipio III";"Viale";"Adriatico";"140";"Roma";"DigitRomaWiFi";"it"
"08/08/2020";"12:28:53";"08/08/2020";"12:39:12";"619";"3179450";"2943985";"REGISTERED_H24";"Municipio I";"Piazza";"San Pantaleo";"10";"Roma";"DigitRomaWiFi_H24";"fr"
"08/08/2020";"11:57:53";"08/08/2020";"12:40:54";"2581";"112480412";"7481392";"REGISTERED";"Municipio II";"Via";"Ulisse Aldrovandi";"18";"Roma";"DigitRomaWiFi";"it"
"08/08/2020";"12:44:26";"08/08/2020";"13:07:58";"1412";"7812601";"1522479";"REGISTERED";"Municipio VIII";"Via";"Ostiense";"106";"Roma";"DigitRomaWiFi";"it"
"08/08/2020";"11:47:46";"08/08/2020";"13:18:27";"5441";"84555465";"2593526";"REGISTERED";"Municipio I";"Lungotevere";"in Augusta";"11";"Roma";"DigitRomaWiFi";"it"
"08/08/2020";"09:47:11";"08/08/2020";"13:33:32";"13581";"1842982913";"32120304";"REGISTERED";"Municipio IX";"Viale";"della Previdenza Sociale";"20";"Roma";"Biblioteche";"it"
"08/08/2020";"10:18:40";"08/08/2020";"13:34:49";"11769";"67166929";"3738865";"REGISTERED_H24";"Municipio I";"Piazza";"San Pantaleo";"10";"Roma";"DigitRomaWiFi_H24";"it"
"08/08/2020";"13:44:39";"08/08/2020";"13:44:40";"1";"14143";"5381";"REGISTERED";"Municipio I";"Lungotevere";"in Augusta";"11";"Roma";"DigitRomaWiFi";"it"
