"STARTDATE";"STARTTIME";"ENDDATE";"ENDTIME";"DURATION";"DOWNLOAD";"UPLOAD";"DOMAIN";"MUNICIPIO";"DUG";"DUF";"CIVICO";"LOCALITA";"SERVICEPROFILE";"DTLN"
"05/09/2020";"22:06:22";"06/09/2020";"00:12:39";"7577";"110416672";"10529638";"REGISTERED";"Municipio I";"Piazza";"di Ponte Umberto I";"1";"Roma";"DigitRomaWiFi";"en"
"06/09/2020";"00:58:26";"06/09/2020";"01:01:02";"156";"484768";"100723";"REGISTERED";"Municipio I";"Via";"della Consolazione";"4";"Roma";"DigitRomaWiFi";"it"
"05/09/2020";"23:15:36";"05/09/2020";"23:19:01";"205";"8569644";"1304903";"REGISTERED";"Municipio V";"Via";"del Pigneto";"22";"Roma";"Biblioteche";"it"
"06/09/2020";"00:12:20";"06/09/2020";"01:22:07";"4187";"1804359679";"56444196";"SPID";"Municipio IV";"Via";"Fabriano";"59";"Roma";"DigitRomaWiFi";"it"
"06/09/2020";"02:19:23";"06/09/2020";"04:00:34";"6071";"2077371278";"62482232";"SPID";"Municipio IV";"Via";"Fabriano";"59";"Roma";"DigitRomaWiFi";"it"
"06/09/2020";"07:12:47";"06/09/2020";"07:19:52";"425";"13102845";"2612142";"REGISTERED";"Municipio X";"Via";"del Martin Pescatore";"66";"Roma";"DigitRomaWiFi";"it"
"06/09/2020";"07:08:25";"06/09/2020";"07:39:05";"1840";"940551677";"15788152";"REGISTERED_MC";"Municipio I";"Via";"delle Tre Pile";"1";"Roma";"Musei_Capitolini";"it"
"06/09/2020";"07:58:08";"06/09/2020";"08:05:27";"439";"62770861";"1475263";"SPID";"Municipio XIII";"Via";"Aurelia";"470";"Roma";"DigitRomaWiFi";"it"
"06/09/2020";"07:21:08";"06/09/2020";"08:10:03";"2935";"21213518";"1908326";"REGISTERED";"Municipio X";"Via";"del Martin Pescatore";"66";"Roma";"DigitRomaWiFi";"it"
"06/09/2020";"07:39:24";"06/09/2020";"08:10:03";"1839";"730487732";"11393114";"REGISTERED_MC";"Municipio I";"Via";"delle Tre Pile";"1";"Roma";"Musei_Capitolini";"it"
"06/09/2020";"08:17:59";"06/09/2020";"08:20:43";"164";"870743";"93735";"REGISTERED";"Municipio VII";"Piazza";"di Cinecitta";"11";"Roma";"DigitRomaWiFi";"it"
"06/09/2020";"08:10:17";"06/09/2020";"08:40:57";"1840";"1302637671";"21397319";"REGISTERED_MC";"Municipio I";"Via";"delle Tre Pile";"1";"Roma";"Musei_Capitolini";"it"
"06/09/2020";"08:41:15";"06/09/2020";"08:45:22";"247";"260027085";"4289060";"REGISTERED_MC";"Municipio I";"Via";"delle Tre Pile";"1";"Roma";"Musei_Capitolini";"it"
"06/09/2020";"07:50:55";"06/09/2020";"09:02:01";"4266";"48497305";"2762628";"REGISTERED";"Municipio VI";"Viale";"Duilio Cambellotti";"11";"Roma";"DigitRomaWiFi";"it"
