"STARTDATE";"STARTTIME";"ENDDATE";"ENDTIME";"DURATION";"DOWNLOAD";"UPLOAD";"DOMAIN";"MUNICIPIO";"DUG";"DUF";"CIVICO";"LOCALITA";"SERVICEPROFILE";"DTLN"
"02/10/2020";"23:53:40";"03/10/2020";"00:02:40";"540";"12142078";"15729587";"SPID";"Municipio I";"Piazza";"Sant'Egidio";"1/B";"Roma";"DigitRomaWiFi";"it"
"02/10/2020";"22:44:19";"03/10/2020";"00:13:11";"5332";"31056443";"4484110";"REGISTERED";"Municipio I";"Via";"Gabriele Camozzi";"4";"Roma";"DigitRomaWiFi";"it"
"02/10/2020";"22:14:34";"02/10/2020";"22:24:42";"608";"44613801";"2608833";"REGISTERED";"Municipio VI";"Via";"Libero Leonardi";"153";"Roma";"Biblioteche";"it"
"02/10/2020";"23:06:56";"03/10/2020";"00:49:55";"6179";"76009362";"5416341";"REGISTERED";"Municipio I";"Via";"della Consolazione";"4";"Roma";"DigitRomaWiFi";"it"
"03/10/2020";"05:01:14";"03/10/2020";"05:01:15";"1";"391113";"43549";"REGISTERED";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi";"en"
"03/10/2020";"06:44:43";"03/10/2020";"07:43:38";"3535";"91865777";"6567625";"REGISTERED";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi";"it"
"03/10/2020";"06:55:03";"03/10/2020";"07:45:00";"2997";"183095657";"16724270";"REGISTERED";"Municipio I";"Via";"della Consolazione";"4";"Roma";"DigitRomaWiFi";"it"
"03/10/2020";"07:55:17";"03/10/2020";"08:01:13";"356";"2110373";"622518";"REGISTERED";"Municipio I";"Via";"della Consolazione";"4";"Roma";"DigitRomaWiFi";"it"
"03/10/2020";"08:17:13";"03/10/2020";"08:19:18";"125";"401205";"45416";"REGISTERED";"Municipio I";"Piazza";"Sant'Egidio";"1/B";"Roma";"DigitRomaWiFi";"it"
"03/10/2020";"08:09:46";"03/10/2020";"08:20:19";"633";"24656907";"1329606";"REGISTERED";"Municipio I";"Piazza";"San Pantaleo";"10";"Roma";"DigitRomaWiFi";"it"
"03/10/2020";"08:03:45";"03/10/2020";"08:39:23";"2138";"2646678";"683546";"REGISTERED";"Municipio I";"Via";"della Consolazione";"4";"Roma";"DigitRomaWiFi";"it"
"03/10/2020";"08:12:26";"03/10/2020";"08:43:07";"1841";"10387125";"2346976";"REGISTERED";"Municipio I";"Piazza";"del Campidoglio";"1";"Roma";"DigitRomaWiFi";"it"
"03/10/2020";"08:22:04";"03/10/2020";"08:43:56";"1312";"68577090";"2162241";"REGISTERED";"Municipio I";"Piazza";"San Pantaleo";"10";"Roma";"DigitRomaWiFi";"it"
"03/10/2020";"08:43:44";"03/10/2020";"08:47:02";"198";"13765838";"525431";"REGISTERED";"Municipio I";"Via";"della Consolazione";"4";"Roma";"DigitRomaWiFi";"it"
"03/10/2020";"04:50:25";"03/10/2020";"08:52:41";"14536";"20071805";"6142769";"REGISTERED";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi";"it"
"03/10/2020";"08:36:41";"03/10/2020";"09:02:11";"1530";"13660832";"1465006";"REGISTERED";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi";"it"
"03/10/2020";"09:02:05";"03/10/2020";"09:07:26";"321";"8073539";"2580172";"REGISTERED";"Municipio I";"Piazza";"del Collegio Romano";"4";"Roma";"DigitRomaWiFi";"it"
"03/10/2020";"08:57:34";"03/10/2020";"09:21:43";"1449";"26622714";"3705370";"REGISTERED";"Municipio IX";"Via";"Ignazio  Silone";"100";"Roma";"DigitRomaWiFi";"it"
