"STARTDATE";"STARTTIME";"ENDDATE";"ENDTIME";"DURATION";"DOWNLOAD";"UPLOAD";"DOMAIN";"MUNICIPIO";"DUG";"DUF";"CIVICO";"LOCALITA";"SERVICEPROFILE";"DTLN"
"28/09/2020";"22:47:28";"29/09/2020";"00:45:21";"7073";"236403242";"6610008";"REGISTERED";"Municipio XI";"Via";"Camillo Montalcini";"1";"Roma";"DigitRomaWiFi";"it"
"28/09/2020";"23:23:23";"29/09/2020";"00:46:26";"4983";"192745445";"10460676";"REGISTERED";"Municipio XI";"Via";"Camillo Montalcini";"1";"Roma";"DigitRomaWiFi";"it"
"28/09/2020";"22:17:59";"28/09/2020";"23:16:31";"3512";"35126576";"2776612";"REGISTERED";"Municipio VI";"Via";"Libero Leonardi";"153";"Roma";"Biblioteche";"it"
"29/09/2020";"00:56:57";"29/09/2020";"04:39:10";"13333";"655529329";"18715289";"REGISTERED";"Municipio I";"Via";"della Consolazione";"4";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"05:13:48";"29/09/2020";"05:56:36";"2568";"144773702";"11462303";"REGISTERED";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"06:28:56";"29/09/2020";"06:39:49";"653";"54838518";"4796710";"REGISTERED";"Municipio X";"Piazza";"Capelvenere";"13";"Roma";"DigitRomaWiFi";"pl"
"29/09/2020";"06:57:55";"29/09/2020";"07:17:25";"1170";"5871239";"1039163";"REGISTERED";"Municipio I";"Via";"della Greca";"5";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"07:15:38";"29/09/2020";"07:18:30";"172";"280541";"111826";"REGISTERED";"Municipio IX";"Via";"di Decima";"96/102";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"07:18:08";"29/09/2020";"07:22:32";"264";"1228787";"318695";"REGISTERED";"Municipio I";"Via";"Luigi Petroselli";"45";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"07:16:45";"29/09/2020";"07:26:13";"568";"46382795";"768569";"REGISTERED";"Municipio XII";"Via";"Fabiola";"14";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"07:24:29";"29/09/2020";"07:27:01";"152";"227871";"52912";"REGISTERED";"Municipio I";"Via";"Luigi Petroselli";"45";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"07:24:36";"29/09/2020";"07:27:17";"161";"446514";"57682";"REGISTERED";"Municipio IX";"Via";"di Decima";"96/102";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"07:23:55";"29/09/2020";"07:29:39";"344";"21210996";"1986462";"REGISTERED";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"07:32:39";"29/09/2020";"07:35:52";"193";"287921";"66292";"REGISTERED";"Municipio I";"Via";"Luigi Petroselli";"45";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"07:01:09";"29/09/2020";"07:36:32";"2123";"302233514";"19544009";"REGISTERED";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi";"en"
"29/09/2020";"07:27:14";"29/09/2020";"07:48:14";"1260";"12324215";"3695111";"REGISTERED";"Municipio XV";"Via";"Cassia";"472";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"07:39:57";"29/09/2020";"07:48:24";"507";"56832683";"2027336";"REGISTERED";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi";"en"
"29/09/2020";"07:44:57";"29/09/2020";"07:48:41";"224";"86004770";"325222";"REGISTERED";"Municipio I";"Via";"Luigi Petroselli";"50";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"07:42:59";"29/09/2020";"07:49:48";"409";"14080430";"1322992";"SPID";"Municipio VII";"Piazza";"di Cinecitta";"11";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"07:52:52";"29/09/2020";"08:01:59";"547";"11012458";"693371";"REGISTERED";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi";"en"
"29/09/2020";"07:56:49";"29/09/2020";"08:04:09";"440";"4134660";"357747";"REGISTERED";"Municipio I";"Via";"dei Cerchi";"6";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"08:02:08";"29/09/2020";"08:06:25";"257";"1384281";"613602";"REGISTERED";"Municipio I";"Via";"Luigi Petroselli";"50";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"08:07:02";"29/09/2020";"08:07:03";"1";"81596";"19679";"REGISTERED";"Municipio V";"Via";"Torre Annunziata";"1";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"07:53:25";"29/09/2020";"08:07:17";"832";"19132758";"1376879";"SPID";"Municipio VIII";"Via";"Alessandro Severo";"212";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"07:52:52";"29/09/2020";"08:09:14";"982";"890070";"733598";"REGISTERED";"Municipio VII";"Piazza";"di Cinecitta";"11";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"07:54:20";"29/09/2020";"08:09:55";"935";"25350196";"4309666";"REGISTERED";"Municipio I";"Via";"Gabriele Camozzi";"8";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"07:48:46";"29/09/2020";"08:12:52";"1446";"4233963";"624431";"SPID";"Municipio VIII";"Largo ";"Giovanni da Verrazzano";"7";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"08:11:54";"29/09/2020";"08:14:11";"137";"11550470";"1125904";"REGISTERED";"Municipio I";"Via";"della Greca";"5";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"07:24:48";"29/09/2020";"08:15:19";"3031";"10189422";"551525";"REGISTERED";"Municipio VII";"Piazza";"di Cinecitta";"11";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"08:15:19";"29/09/2020";"08:15:19";"0";"8968";"2146";"REGISTERED";"Municipio I";"Lungotevere";"in Augusta";"11";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"08:14:35";"29/09/2020";"08:16:42";"127";"496784";"89307";"REGISTERED";"Municipio I";"Via";"Luigi Petroselli";"50";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"04:28:30";"29/09/2020";"08:17:01";"13711";"10025597";"1875678";"REGISTERED";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi";"en"
"29/09/2020";"08:06:37";"29/09/2020";"08:17:18";"641";"1751886";"855976";"REGISTERED";"Municipio XV";"Via";"Cassia";"472";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"08:18:24";"29/09/2020";"08:27:49";"565";"5157959";"412718";"REGISTERED";"Municipio X";"Via";"Claudio";"1";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"08:02:02";"29/09/2020";"08:29:27";"1645";"65683054";"4369531";"REGISTERED";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"08:04:31";"29/09/2020";"08:31:07";"1596";"32396710";"2910524";"SPID";"Municipio VIII";"Largo ";"Giovanni da Verrazzano";"7";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"08:25:22";"29/09/2020";"08:32:29";"427";"1440664";"430500";"REGISTERED";"Municipio I";"Via";"della Consolazione";"4";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"08:00:05";"29/09/2020";"08:32:46";"1961";"392876468";"27731412";"REGISTERED";"Municipio XII";"Via";"di Donna Olimpia";"43";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"07:42:58";"29/09/2020";"08:33:04";"3006";"124499045";"20263550";"REGISTERED";"Municipio VIII";"Circonvallazione";"Ostiense";"191";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"08:03:33";"29/09/2020";"08:34:12";"1839";"5734454";"6254181";"REGISTERED";"Municipio I";"Via";"delle Tre Pile";"1";"Roma";"Musei_Capitolini";"it"
"29/09/2020";"08:03:35";"29/09/2020";"08:34:14";"1839";"12520768";"3192731";"REGISTERED";"Municipio I";"Via";"delle Tre Pile";"1";"Roma";"Musei_Capitolini";"it"
"29/09/2020";"07:35:05";"29/09/2020";"08:37:23";"3738";"5776361";"9360561";"REGISTERED";"Municipio VIII";"Via";"Capitan Bavastro";"94";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"08:07:08";"29/09/2020";"08:45:07";"2279";"33337401";"2637464";"REGISTERED";"Municipio V";"Via";"Torre Annunziata";"1";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"06:42:32";"29/09/2020";"08:51:41";"7749";"92955502";"20423349";"REGISTERED";"Municipio I";"Via";"della Greca";"5";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"08:41:49";"29/09/2020";"08:54:15";"746";"3444933";"1009210";"REGISTERED";"Municipio I";"Via";"delle Tre Pile";"1";"Roma";"Musei_Capitolini";"it"
"29/09/2020";"08:37:09";"29/09/2020";"08:56:24";"1155";"6019676";"1765038";"REGISTERED";"Municipio IX";"Via";"Ignazio  Silone";"100";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"08:49:37";"29/09/2020";"08:57:48";"491";"19238528";"1029546";"REGISTERED";"Municipio XII";"Via";"Fabiola";"14";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"06:38:30";"29/09/2020";"07:50:15";"4305";"158295455";"42104046";"BIBLIO";"Municipio V";"Via";"del Pigneto";"22";"Roma";"Biblioteche";""
"29/09/2020";"08:33:39";"29/09/2020";"09:00:26";"1607";"3370659";"950162";"REGISTERED";"Municipio I";"Via";"Luigi Petroselli";"45";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"08:33:08";"29/09/2020";"09:01:42";"1714";"52591086";"7766715";"SPID";"Municipio VIII";"Largo ";"Giovanni da Verrazzano";"7";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"08:45:22";"29/09/2020";"09:05:12";"1190";"68207954";"3380581";"REGISTERED";"Municipio VII";"Piazza";"di Cinecitta";"11";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"08:36:30";"29/09/2020";"09:07:09";"1839";"18920169";"3294229";"REGISTERED";"Municipio I";"Via";"delle Tre Pile";"1";"Roma";"Musei_Capitolini";"it"
"29/09/2020";"08:38:42";"29/09/2020";"09:09:08";"1826";"205269817";"10300773";"REGISTERED";"Municipio I";"Piazza";"del Campidoglio";"1";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"08:42:19";"29/09/2020";"09:10:41";"1702";"156251236";"32063169";"REGISTERED";"Municipio XI";"Via";"Portuense";"579";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"09:12:36";"29/09/2020";"09:15:19";"163";"540918";"84906";"SPID";"Municipio XI";"Via";"Portuense";"579";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"09:11:56";"29/09/2020";"09:17:43";"347";"4317240";"1122482";"SPID";"Municipio I";"Via";"Luigi Petroselli";"50";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"09:15:04";"29/09/2020";"09:18:09";"185";"249540";"58728";"REGISTERED";"Municipio I";"Via";"Luigi Petroselli";"45";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"07:54:03";"29/09/2020";"09:18:30";"5067";"74821191";"5794599";"REGISTERED";"Municipio XII";"Via";"Paola Falconieri";"38";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"08:39:32";"29/09/2020";"09:18:54";"2362";"108908011";"4577394";"SPID";"Municipio VIII";"Largo ";"Giovanni da Verrazzano";"7";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"09:14:19";"29/09/2020";"09:19:52";"333";"10832156";"431947";"REGISTERED";"Municipio I";"Via";"dei Cerchi";"6";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"08:15:32";"29/09/2020";"09:22:39";"4027";"3708330";"1802737";"REGISTERED";"Municipio I";"Lungotevere";"in Augusta";"11";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"09:14:55";"29/09/2020";"09:24:10";"555";"50228365";"1533348";"REGISTERED";"Municipio IX";"Via";"Ignazio  Silone";"100";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"09:22:22";"29/09/2020";"09:25:22";"180";"1189673";"121438";"REGISTERED";"Municipio I";"Via";"Luigi Petroselli";"45";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"09:00:18";"29/09/2020";"09:26:54";"1596";"630848732";"20538460";"REGISTERED";"Municipio I";"Piazza";"del Campidoglio";"1";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"09:28:04";"29/09/2020";"09:28:04";"0";"16193";"5028";"REGISTERED";"Municipio VI";"Viale";"Duilio Cambellotti";"11";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"09:28:06";"29/09/2020";"09:28:07";"1";"409051";"42314";"REGISTERED";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi";"en"
"29/09/2020";"09:28:08";"29/09/2020";"09:28:41";"33";"2444674";"220104";"REGISTERED";"Municipio VI";"Viale";"Duilio Cambellotti";"11";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"09:23:07";"29/09/2020";"09:35:04";"717";"1861028";"446714";"REGISTERED";"Municipio X";"Via";"di Dragone";"443";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"09:22:18";"29/09/2020";"09:36:49";"871";"3796105";"552066";"REGISTERED";"Municipio I";"Via";"Luigi Petroselli";"45";"Roma";"DigitRomaWiFi";"en"
"29/09/2020";"09:37:04";"29/09/2020";"09:37:05";"1";"390910";"44505";"REGISTERED";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi";"en"
"29/09/2020";"09:36:23";"29/09/2020";"09:39:25";"182";"7604914";"2153243";"REGISTERED";"Municipio VII";"Piazza";"di Cinecitta";"11";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"09:10:29";"29/09/2020";"09:39:42";"1753";"2742175";"347580";"REGISTERED";"Municipio I";"Via";"della Greca";"5";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"09:39:39";"29/09/2020";"09:39:47";"8";"0";"0";"REGISTERED";"Municipio IX";"Viale";"dell'Oceano Pacifico";"83";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"09:09:34";"29/09/2020";"09:40:00";"1826";"112913397";"5391683";"REGISTERED";"Municipio I";"Piazza";"del Campidoglio";"1";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"09:33:41";"29/09/2020";"09:44:45";"664";"15461527";"912108";"REGISTERED";"Municipio I";"Via";"della Greca";"5";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"09:41:44";"29/09/2020";"09:45:11";"207";"6385830";"2199822";"REGISTERED";"Municipio I";"Via";"Luigi Petroselli";"50";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"09:39:51";"29/09/2020";"09:47:34";"463";"3857971";"446295";"REGISTERED";"Municipio IX";"Viale";"dell'Oceano Pacifico";"83";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"08:32:32";"29/09/2020";"09:47:41";"4509";"1194113";"218299";"REGISTERED";"Municipio I";"Via";"della Greca";"5";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"08:29:39";"29/09/2020";"09:49:19";"4780";"2036255";"468979";"REGISTERED";"Municipio XI";"Via";"Camillo Montalcini";"1";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"09:43:22";"29/09/2020";"09:49:21";"359";"4103069";"4707620";"REGISTERED";"Municipio I";"Via";"Luigi Petroselli";"45";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"09:45:24";"29/09/2020";"09:49:53";"269";"1583837";"190639";"REGISTERED";"Municipio I";"Piazza";"Sant'Egidio";"1/B";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"09:36:14";"29/09/2020";"09:52:35";"981";"122682997";"4469427";"SPID";"Municipio VI";"Viale";"Duilio Cambellotti";"11";"Roma";"DigitRomaWiFi";"en"
"29/09/2020";"07:36:31";"29/09/2020";"09:53:19";"8208";"81250036";"3750919";"REGISTERED";"Municipio III";"Via";"Flavio Ando";"12";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"08:26:23";"29/09/2020";"09:54:05";"5262";"22297283";"1347296";"REGISTERED";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"08:35:09";"29/09/2020";"09:59:03";"5034";"9211892";"821735";"REGISTERED";"Municipio I";"Via";"Luigi Petroselli";"50";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"10:00:36";"29/09/2020";"10:00:37";"1";"349236";"24124";"SPID";"Municipio I";"Via";"di Monte Tarpeo";"41";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"05:51:37";"29/09/2020";"10:01:04";"14967";"3375150";"4910712";"REGISTERED";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"09:02:19";"29/09/2020";"10:01:34";"3555";"94030829";"10171322";"REGISTERED";"Municipio I";"Via";"della Consolazione";"4";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"08:30:19";"29/09/2020";"10:02:52";"5553";"116007726";"32194240";"REGISTERED";"Municipio IX";"Via";"Ignazio  Silone";"100";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"09:38:46";"29/09/2020";"10:04:44";"1558";"72558601";"5471857";"REGISTERED";"Municipio I";"Via";"Antonio Mordini";"19";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"09:57:11";"29/09/2020";"10:05:02";"471";"9300784";"1299856";"REGISTERED";"Municipio I";"Via";"Luigi Petroselli";"45";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"10:08:12";"29/09/2020";"10:08:18";"6";"1938061";"95205";"REGISTERED";"Municipio I";"Via";"Luigi Petroselli";"50";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"08:47:12";"29/09/2020";"10:08:52";"4900";"6526717";"763955";"REGISTERED";"Municipio XI";"Via";"Marino Mazzacurati";"73/75";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"08:21:24";"29/09/2020";"10:10:19";"6535";"94772237";"5451873";"REGISTERED";"Municipio VII";"Piazza";"di Cinecitta";"11";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"10:04:33";"29/09/2020";"10:11:01";"388";"16995343";"1445699";"REGISTERED";"Municipio I";"Via";"Luigi Petroselli";"50";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"10:05:09";"29/09/2020";"10:11:15";"366";"3030189";"590756";"REGISTERED";"Municipio I";"Piazza";"del Collegio Romano";"4";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"09:24:58";"29/09/2020";"10:11:19";"2781";"193891235";"3611807";"REGISTERED";"Municipio IX";"Via";"del Turismo";"30/32";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"09:42:43";"29/09/2020";"10:13:09";"1826";"111565772";"3644770";"REGISTERED";"Municipio I";"Piazza";"del Campidoglio";"1";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"09:52:48";"29/09/2020";"10:17:35";"1487";"7340513";"1422286";"REGISTERED";"Municipio XII";"Via";"Fabiola";"14";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"10:10:52";"29/09/2020";"10:18:25";"453";"38633211";"1941756";"REGISTERED";"Municipio I";"Via";"Luigi Petroselli";"45";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"08:36:46";"29/09/2020";"10:19:11";"6145";"46422357";"59602181";"REGISTERED";"Municipio VIII";"Circonvallazione";"Ostiense";"191";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"10:08:43";"29/09/2020";"10:21:25";"762";"66602359";"16876106";"REGISTERED";"Municipio I";"Via";"Luigi Petroselli";"50";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"08:57:20";"29/09/2020";"10:21:59";"5079";"476840472";"12027318";"REGISTERED";"Municipio I";"Via";"Luigi Petroselli";"50";"Roma";"DigitRomaWiFi";"en"
"29/09/2020";"09:46:35";"29/09/2020";"10:23:07";"2192";"12308221";"478836";"REGISTERED";"Municipio I";"Via";"del Tempio di Giove";"3";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"10:21:17";"29/09/2020";"10:23:19";"122";"403782";"44240";"REGISTERED";"Municipio I";"Piazza";"Sant'Egidio";"1/B";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"10:21:15";"29/09/2020";"10:24:41";"206";"2143441";"159094";"REGISTERED";"Municipio I";"Viale";"dell'Uccelliera";"1";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"10:16:31";"29/09/2020";"10:26:13";"582";"3691993";"881226";"REGISTERED";"Municipio VI";"Viale";"Duilio Cambellotti";"11";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"10:23:33";"29/09/2020";"10:26:12";"159";"1256549";"173061";"REGISTERED";"Municipio VI";"Viale";"Duilio Cambellotti";"11";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"09:55:40";"29/09/2020";"10:26:18";"1838";"262062651";"6791248";"REGISTERED";"Municipio I";"Piazza";"del Campidoglio";"1";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"10:25:35";"29/09/2020";"10:28:05";"150";"233630";"91686";"REGISTERED";"Municipio IX";"Via";"del Turismo";"30/32";"Roma";"DigitRomaWiFi";"it"
"29/09/2020";"08:15:19";"29/09/2020";"10:29:53";"8074";"227477154";"23921963";"SPID";"Municipio X";"Via";"Claudio";"1";"Roma";"DigitRomaWiFi";"it"
