"STARTDATE";"STARTTIME";"ENDDATE";"ENDTIME";"DURATION";"DOWNLOAD";"UPLOAD";"DOMAIN";"MUNICIPIO";"DUG";"DUF";"CIVICO";"LOCALITA";"SERVICEPROFILE";"DTLN"
"15/08/2020";"22:29:24";"16/08/2020";"00:06:16";"5812";"360920023";"9252770";"REGISTERED";"Municipio I";"Piazza";"Sant'Egidio";"1/B";"Roma";"DigitRomaWiFi";"it"
"16/08/2020";"00:34:22";"16/08/2020";"01:03:01";"1719";"147913791";"6260890";"REGISTERED";"Municipio I";"Piazza";"Sant'Egidio";"1/B";"Roma";"DigitRomaWiFi";"it"
"16/08/2020";"06:18:05";"16/08/2020";"06:27:27";"562";"2196951";"367848";"REGISTERED";"Municipio VI";"Viale";"Duilio Cambellotti";"11";"Roma";"DigitRomaWiFi";"it"
"16/08/2020";"06:56:34";"16/08/2020";"07:13:41";"1027";"16342599";"2725765";"REGISTERED";"Municipio X";"Via";"del Martin Pescatore";"66";"Roma";"DigitRomaWiFi";"it"
"16/08/2020";"07:08:36";"16/08/2020";"07:31:26";"1370";"38166956";"1441121";"REGISTERED";"Municipio IX";"Via";"Ignazio  Silone";"100";"Roma";"DigitRomaWiFi";"it"
"16/08/2020";"08:36:26";"16/08/2020";"08:54:47";"1101";"637496";"173209";"REGISTERED";"Municipio I";"Via";"della Greca";"5";"Roma";"DigitRomaWiFi";"it"
"16/08/2020";"08:56:29";"16/08/2020";"09:03:11";"402";"10986757";"840102";"REGISTERED";"Municipio IV";"Via";"Eufrasia Martinetti";"21";"Roma";"DigitRomaWiFi";"it"
"16/08/2020";"09:35:26";"16/08/2020";"09:39:38";"252";"7973125";"152816";"REGISTERED";"Municipio I";"Via";"della Greca";"5";"Roma";"DigitRomaWiFi";"it"
"16/08/2020";"07:12:22";"16/08/2020";"09:43:47";"9085";"187738494";"11125385";"REGISTERED";"Municipio I";"Lungotevere";"in Augusta";"11";"Roma";"DigitRomaWiFi";"it"
"16/08/2020";"09:01:58";"16/08/2020";"10:11:11";"4153";"806686943";"11967678";"REGISTERED";"Municipio VIII";"Via";"Ostiense";"106";"Roma";"DigitRomaWiFi";"it"
"16/08/2020";"09:52:54";"16/08/2020";"10:17:40";"1486";"3765520";"598647";"REGISTERED";"Municipio IX";"Via";"Ignazio  Silone";"100";"Roma";"DigitRomaWiFi";"it"
"16/08/2020";"10:27:34";"16/08/2020";"10:30:44";"190";"619915";"103652";"REGISTERED";"Municipio I";"Via";"della Greca";"5";"Roma";"DigitRomaWiFi";"it"
"16/08/2020";"10:22:13";"16/08/2020";"10:42:19";"1206";"4398447";"2679497";"REGISTERED";"Municipio X";"Via";"del Martin Pescatore";"66";"Roma";"DigitRomaWiFi";"it"
"16/08/2020";"10:50:16";"16/08/2020";"10:59:52";"576";"865320";"99972";"REGISTERED";"Municipio I";"Via";"della Greca";"5";"Roma";"DigitRomaWiFi";"it"
"16/08/2020";"10:14:03";"16/08/2020";"11:03:00";"2937";"135742877";"5651334";"REGISTERED";"Municipio VIII";"Via";"Ostiense";"106";"Roma";"DigitRomaWiFi";"it"
"16/08/2020";"09:57:06";"16/08/2020";"11:03:23";"3977";"1191288574";"521655017";"REGISTERED";"Municipio I";"Via";"Luigi Petroselli";"45";"Roma";"DigitRomaWiFi";"it"
"16/08/2020";"09:45:05";"16/08/2020";"11:13:40";"5315";"140105012";"5974216";"REGISTERED";"Municipio I";"Lungotevere";"in Augusta";"11";"Roma";"DigitRomaWiFi";"it"
"16/08/2020";"11:03:40";"16/08/2020";"11:16:20";"760";"49048034";"2464990";"REGISTERED";"Municipio VIII";"Via";"Ostiense";"106";"Roma";"DigitRomaWiFi";"it"
"16/08/2020";"11:03:27";"16/08/2020";"11:24:54";"1287";"127290080";"29672190";"REGISTERED";"Municipio I";"Via";"Luigi Petroselli";"45";"Roma";"DigitRomaWiFi";"it"
"16/08/2020";"11:46:37";"16/08/2020";"11:57:23";"646";"3362487";"923722";"REGISTERED_MC";"Municipio I";"Via";"delle Tre Pile";"1";"Roma";"Musei_Capitolini";"it"
"16/08/2020";"12:27:59";"16/08/2020";"12:28:29";"30";"1697981";"96139";"REGISTERED";"Municipio I";"Via";"della Greca";"5";"Roma";"DigitRomaWiFi";"it"
"16/08/2020";"12:21:43";"16/08/2020";"12:52:23";"1840";"17364903";"6038147";"REGISTERED_MC";"Municipio I";"Via";"delle Tre Pile";"1";"Roma";"Musei_Capitolini";"it"
"16/08/2020";"12:27:58";"16/08/2020";"13:00:48";"1970";"49283370";"2510015";"REGISTERED";"Municipio I";"Via";"della Greca";"5";"Roma";"DigitRomaWiFi";"it"
"16/08/2020";"09:57:31";"16/08/2020";"13:04:45";"11234";"211595341";"8035787";"REGISTERED";"Municipio I";"Lungotevere";"in Augusta";"11";"Roma";"DigitRomaWiFi";"it"
"16/08/2020";"11:20:38";"16/08/2020";"13:09:48";"6550";"128563599";"5797309";"REGISTERED";"Municipio VIII";"Via";"Ostiense";"106";"Roma";"DigitRomaWiFi";"it"
"16/08/2020";"09:11:35";"16/08/2020";"13:11:02";"14367";"216713325";"12643492";"REGISTERED";"Municipio I";"Piazza";"di Ponte Umberto I";"1";"Roma";"DigitRomaWiFi";"it"
"16/08/2020";"12:59:36";"16/08/2020";"13:20:21";"1245";"30204519";"2219423";"REGISTERED";"Municipio VIII";"Circonvallazione";"Ostiense";"191";"Roma";"DigitRomaWiFi";"it"
"16/08/2020";"13:02:11";"16/08/2020";"13:23:41";"1290";"1959560298";"216114026";"REGISTERED_MC";"Municipio I";"Via";"delle Tre Pile";"1";"Roma";"Musei_Capitolini";"pl"
"16/08/2020";"13:14:16";"16/08/2020";"13:32:13";"1077";"649279027";"14667891";"REGISTERED_MC";"Municipio I";"Via";"delle Tre Pile";"1";"Roma";"Musei_Capitolini";"pl"
