"STARTDATE";"STARTTIME";"ENDDATE";"ENDTIME";"DURATION";"DOWNLOAD";"UPLOAD";"DOMAIN";"MUNICIPIO";"DUG";"DUF";"CIVICO";"LOCALITA";"SERVICEPROFILE";"DTLN"
"17/08/2020";"00:25:50";"17/08/2020";"01:39:10";"4400";"62586313";"3425112";"REGISTERED";"Municipio III";"Via";"Flavio Ando";"12";"Roma";"DigitRomaWiFi";"it"
"16/08/2020";"20:52:18";"16/08/2020";"23:39:53";"10055";"1183213817";"43144047";"BIBLIO";"Municipio V";"Via";"del Pigneto";"22";"Roma";"Biblioteche";""
"17/08/2020";"00:17:36";"17/08/2020";"01:42:11";"5075";"448758721";"5571519";"REGISTERED";"Municipio I";"Via";"della Greca";"5";"Roma";"DigitRomaWiFi";"it"
"17/08/2020";"00:18:50";"17/08/2020";"02:31:53";"7983";"698414217";"27818985";"REGISTERED";"Municipio I";"Via";"della Greca";"5";"Roma";"DigitRomaWiFi";"it"
"17/08/2020";"03:38:23";"17/08/2020";"03:52:32";"849";"16851267";"2004286";"REGISTERED_H24";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi_H24";"it"
"17/08/2020";"02:25:34";"17/08/2020";"05:12:14";"10000";"2164293";"1405246";"REGISTERED";"Municipio III";"Via";"Flavio Ando";"12";"Roma";"DigitRomaWiFi";"it"
"17/08/2020";"03:51:35";"17/08/2020";"05:38:32";"6417";"295816487";"10150198";"REGISTERED";"Municipio I";"Via";"della Greca";"5";"Roma";"DigitRomaWiFi";"it"
"17/08/2020";"05:13:10";"17/08/2020";"06:33:56";"4846";"482028502";"24462324";"REGISTERED_H24";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi_H24";"it"
"17/08/2020";"06:36:05";"17/08/2020";"07:03:32";"1647";"26488586";"3261978";"REGISTERED";"Municipio I";"Via";"della Consolazione";"4";"Roma";"DigitRomaWiFi";"it"
"17/08/2020";"07:02:20";"17/08/2020";"07:06:20";"240";"480538";"82363";"REGISTERED";"Municipio X";"Via";"del Martin Pescatore";"66";"Roma";"DigitRomaWiFi";"it"
"17/08/2020";"07:22:54";"17/08/2020";"07:22:57";"3";"390325";"42125";"REGISTERED";"Municipio X";"Via";"Claudio";"1";"Roma";"DigitRomaWiFi";"it"
"17/08/2020";"07:25:51";"17/08/2020";"07:25:54";"3";"420961";"57123";"REGISTERED";"Municipio X";"Via";"Claudio";"1";"Roma";"DigitRomaWiFi";"it"
"17/08/2020";"07:20:19";"17/08/2020";"07:28:02";"463";"478488";"173797";"REGISTERED";"Municipio VII";"Piazza";"di Cinecitta";"11";"Roma";"DigitRomaWiFi";"it"
"17/08/2020";"07:32:55";"17/08/2020";"07:49:29";"994";"54552700";"1515965";"REGISTERED";"Municipio IX";"Via";"Ignazio  Silone";"100";"Roma";"DigitRomaWiFi";"it"
"17/08/2020";"05:28:17";"17/08/2020";"07:56:05";"8868";"303942416";"11852705";"REGISTERED_H24";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi_H24";"it"
"17/08/2020";"07:28:37";"17/08/2020";"07:56:53";"1696";"848435053";"15941894";"REGISTERED";"Municipio I";"Via";"del Tritone";"142";"Roma";"DigitRomaWiFi";"it"
"17/08/2020";"07:51:39";"17/08/2020";"08:08:51";"1032";"96803835";"1686448";"REGISTERED";"Municipio IX";"Via";"Ignazio  Silone";"100";"Roma";"DigitRomaWiFi";"it"
"17/08/2020";"07:38:01";"17/08/2020";"08:15:35";"2254";"199669333";"7988489";"REGISTERED";"Municipio I";"Lungotevere";"in Augusta";"11";"Roma";"DigitRomaWiFi";"it"
"17/08/2020";"08:03:15";"17/08/2020";"08:15:43";"748";"478269";"169293";"REGISTERED";"Municipio XIII";"Via";"Aurelia";"470";"Roma";"DigitRomaWiFi";"it"
"17/08/2020";"07:48:13";"17/08/2020";"08:18:43";"1830";"47577780";"1873007";"REGISTERED";"Municipio X";"Via";"Claudio";"1";"Roma";"DigitRomaWiFi";"it"
"17/08/2020";"08:01:47";"17/08/2020";"08:20:09";"1102";"50999244";"3401039";"REGISTERED";"Municipio I";"Lungotevere";"in Augusta";"11";"Roma";"DigitRomaWiFi";"it"
"17/08/2020";"08:16:14";"17/08/2020";"08:28:01";"707";"1890830";"446950";"REGISTERED";"Municipio I";"Via";"del Tempio di Giove";"3";"Roma";"DigitRomaWiFi";"it"
"17/08/2020";"08:14:47";"17/08/2020";"08:32:26";"1059";"34717504";"2196709";"REGISTERED";"Municipio XI";"Via";"Portuense";"579";"Roma";"DigitRomaWiFi";"it"
