"STARTDATE";"STARTTIME";"ENDDATE";"ENDTIME";"DURATION";"DOWNLOAD";"UPLOAD";"DOMAIN";"MUNICIPIO";"DUG";"DUF";"CIVICO";"LOCALITA";"SERVICEPROFILE";"DTLN"
"21/08/2020";"01:51:24";"21/08/2020";"02:30:54";"2370";"15395104";"1458363";"REGISTERED";"Municipio XI";"Via";"Camillo Montalcini";"1";"Roma";"DigitRomaWiFi";"it"
"20/08/2020";"20:48:21";"21/08/2020";"00:47:28";"14347";"2870352158";"60773527";"BIBLIO";"Municipio V";"Via";"del Pigneto";"22";"Roma";"Biblioteche";""
"21/08/2020";"05:50:45";"21/08/2020";"05:53:32";"167";"443815";"144436";"REGISTERED";"Municipio VII";"Via";"Tommaso Fortifiocca";"71";"Roma";"DigitRomaWiFi";"it"
"21/08/2020";"05:03:18";"21/08/2020";"06:03:52";"3634";"439385200";"13883693";"REGISTERED_H24";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi_H24";"it"
"21/08/2020";"05:51:48";"21/08/2020";"06:04:39";"771";"23531409";"1052169";"REGISTERED";"Municipio VII";"Via";"Tommaso Fortifiocca";"71";"Roma";"DigitRomaWiFi";"it"
"21/08/2020";"04:21:50";"21/08/2020";"06:25:26";"7416";"10658482";"1959578";"REGISTERED_H24";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi_H24";"it"
"21/08/2020";"06:44:32";"21/08/2020";"07:16:20";"1908";"46574674";"1481277";"REGISTERED";"Municipio X";"Via";"Claudio";"1";"Roma";"DigitRomaWiFi";"it"
"21/08/2020";"07:09:56";"21/08/2020";"07:22:00";"724";"5097949";"533355";"REGISTERED";"Municipio I";"Piazza";"del Campidoglio";"1";"Roma";"DigitRomaWiFi";"it"
"21/08/2020";"04:17:35";"21/08/2020";"07:25:54";"11299";"202350935";"23484233";"REGISTERED_H24";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi_H24";"en"
"21/08/2020";"07:33:25";"21/08/2020";"07:40:19";"414";"1516106";"201621";"REGISTERED";"Municipio I";"Via";"della Consolazione";"4";"Roma";"DigitRomaWiFi";"it"
"21/08/2020";"06:58:48";"21/08/2020";"07:43:09";"2661";"152855406";"13727944";"REGISTERED";"Municipio I";"Piazza";"del Campidoglio";"1";"Roma";"DigitRomaWiFi";"it"
"21/08/2020";"06:55:45";"21/08/2020";"07:43:19";"2854";"119103184";"4097631";"REGISTERED";"Municipio VII";"Via";"Tommaso Fortifiocca";"71";"Roma";"DigitRomaWiFi";"it"
"21/08/2020";"07:51:45";"21/08/2020";"07:59:11";"446";"648542";"272417";"REGISTERED";"Municipio VII";"Via";"Tommaso Fortifiocca";"71";"Roma";"DigitRomaWiFi";"it"
