"STARTDATE";"STARTTIME";"ENDDATE";"ENDTIME";"DURATION";"DOWNLOAD";"UPLOAD";"DOMAIN";"MUNICIPIO";"DUG";"DUF";"CIVICO";"LOCALITA";"SERVICEPROFILE";"DTLN"
"20/09/2020";"21:04:15";"20/09/2020";"22:03:39";"3564";"3073555342";"82076580";"REGISTERED";"Municipio V";"Via";"Ostuni";"8";"Roma";"Biblioteche";"it"
"20/09/2020";"23:27:26";"21/09/2020";"00:17:18";"2992";"70967056";"5878061";"REGISTERED";"";"";"";"";"";"DigitRomaWiFi";"it"
"21/09/2020";"00:02:43";"21/09/2020";"00:39:09";"2186";"3857186";"1249674";"REGISTERED";"Municipio XII";"Via";"di Donna Olimpia";"43";"Roma";"DigitRomaWiFi";"it"
"21/09/2020";"00:02:20";"21/09/2020";"00:42:41";"2421";"40895178";"2637415";"REGISTERED";"Municipio XIII";"Via";"Giannozzo Manetti";"6";"Roma";"DigitRomaWiFi";"it"
"20/09/2020";"23:53:52";"21/09/2020";"01:56:33";"7361";"1224619229";"37218048";"REGISTERED";"Municipio XIII";"Via";"Giannozzo Manetti";"6";"Roma";"DigitRomaWiFi";"it"
"21/09/2020";"00:39:51";"21/09/2020";"02:12:34";"5563";"165023051";"15727994";"REGISTERED";"";"";"";"";"";"DigitRomaWiFi";"it"
"21/09/2020";"02:07:03";"21/09/2020";"02:17:09";"606";"20746503";"1163434";"REGISTERED";"";"";"";"";"";"DigitRomaWiFi";"it"
"21/09/2020";"00:37:31";"21/09/2020";"04:37:31";"14400";"784119021";"21582293";"REGISTERED";"Municipio III";"Via";"Flavio Ando";"12";"Roma";"DigitRomaWiFi";"it"
"21/09/2020";"02:18:29";"21/09/2020";"05:35:48";"11839";"3668986697";"91400645";"REGISTERED";"Municipio III";"Via";"Val Maggia";"21";"Roma";"DigitRomaWiFi";"it"
"21/09/2020";"03:23:52";"21/09/2020";"05:48:49";"8697";"21874192";"2561568";"REGISTERED";"Municipio II";"Via";"Tiburtina Antica";"25";"Roma";"DigitRomaWiFi";"en"
