"STARTDATE";"STARTTIME";"ENDDATE";"ENDTIME";"DURATION";"DOWNLOAD";"UPLOAD";"DOMAIN";"MUNICIPIO";"DUG";"DUF";"CIVICO";"LOCALITA";"SERVICEPROFILE";"DTLN"
"10/08/2020";"22:23:28";"11/08/2020";"00:00:13";"5805";"424914097";"9607440";"REGISTERED";"Municipio XI";"Via";"Camillo Montalcini";"1";"Roma";"DigitRomaWiFi";"it"
"10/08/2020";"23:51:04";"11/08/2020";"00:11:53";"1249";"14577490";"2066115";"REGISTERED";"Municipio V";"Viale";"Partenope";"55";"Roma";"DigitRomaWiFi";"it"
"10/08/2020";"21:53:42";"11/08/2020";"00:33:07";"9565";"2983307631";"32572693";"BIBLIO";"Municipio V";"Via";"del Pigneto";"22";"Roma";"Biblioteche";""
"11/08/2020";"01:26:18";"11/08/2020";"03:00:13";"5635";"496406421";"23785883";"REGISTERED";"Municipio I";"Piazza";"Sant'Egidio";"1/B";"Roma";"DigitRomaWiFi";"it"
"11/08/2020";"04:04:07";"11/08/2020";"04:13:28";"561";"53450159";"17102237";"REGISTERED_H24";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi_H24";"en"
"11/08/2020";"03:31:30";"11/08/2020";"06:11:29";"9599";"13061127";"1889128";"REGISTERED_H24";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi_H24";"it"
"11/08/2020";"06:19:16";"11/08/2020";"06:35:10";"954";"1442906";"228705";"REGISTERED";"Municipio I";"Via";"dei Cerchi";"6";"Roma";"DigitRomaWiFi";"it"
"11/08/2020";"06:06:59";"11/08/2020";"06:36:27";"1768";"664305";"236179";"REGISTERED_H24";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi_H24";"it"
"11/08/2020";"06:48:06";"11/08/2020";"06:55:26";"440";"3129302";"541138";"REGISTERED";"Municipio V";"Viale";"Partenope";"55";"Roma";"DigitRomaWiFi";"it"
"11/08/2020";"06:48:52";"11/08/2020";"07:01:54";"782";"15348586";"1306823";"REGISTERED";"Municipio I";"Piazza";"del Campidoglio";"1";"Roma";"DigitRomaWiFi";"it"
"11/08/2020";"05:59:20";"11/08/2020";"07:06:02";"4002";"28975271";"2117333";"REGISTERED_H24";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi_H24";"it"
"11/08/2020";"07:24:17";"11/08/2020";"07:30:28";"371";"1291764";"281670";"REGISTERED";"Municipio V";"Viale";"Partenope";"55";"Roma";"DigitRomaWiFi";"it"
"11/08/2020";"07:11:30";"11/08/2020";"07:44:18";"1968";"9708757";"2414423";"REGISTERED";"Municipio I";"Piazza";"del Campidoglio";"1";"Roma";"DigitRomaWiFi";"it"
"11/08/2020";"07:48:06";"11/08/2020";"07:48:23";"17";"296063";"87915";"REGISTERED";"Municipio I";"Via";"Luigi Petroselli";"50";"Roma";"DigitRomaWiFi";"it"
"11/08/2020";"03:51:34";"11/08/2020";"07:50:39";"14345";"220110505";"139850300";"REGISTERED_H24";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi_H24";"en"
"11/08/2020";"07:24:09";"11/08/2020";"07:52:40";"1711";"487245484";"11426886";"REGISTERED";"Municipio XII";"Via";"Fabiola";"14";"Roma";"DigitRomaWiFi";"it"
"11/08/2020";"07:47:04";"11/08/2020";"07:53:32";"388";"2443740";"373797";"REGISTERED";"Municipio XIII";"Via";"Aurelia";"470";"Roma";"DigitRomaWiFi";"it"
"11/08/2020";"07:35:24";"11/08/2020";"07:54:42";"1158";"26324885";"9314171";"REGISTERED";"Municipio VIII";"Circonvallazione";"Ostiense";"191";"Roma";"DigitRomaWiFi";"it"
"11/08/2020";"07:37:38";"11/08/2020";"07:59:40";"1322";"960068667";"25175981";"REGISTERED";"Municipio I";"Via";"Luigi Petroselli";"45";"Roma";"DigitRomaWiFi";"it"
"11/08/2020";"07:56:40";"11/08/2020";"08:01:30";"290";"1608755";"202454";"REGISTERED";"Municipio IX";"Via";"del Turismo";"30/32";"Roma";"DigitRomaWiFi";"it"
"11/08/2020";"08:05:07";"11/08/2020";"08:05:08";"1";"6355";"1380";"REGISTERED";"Municipio V";"Via";"Torre Annunziata";"1";"Roma";"DigitRomaWiFi";"it"
"11/08/2020";"07:43:41";"11/08/2020";"08:07:04";"1403";"36197641";"1931817";"REGISTERED";"Municipio I";"Piazza";"del Campidoglio";"1";"Roma";"DigitRomaWiFi";"it"
"11/08/2020";"08:07:04";"11/08/2020";"08:12:25";"321";"6651";"6623";"REGISTERED";"Municipio I";"Piazza";"del Campidoglio";"1";"Roma";"DigitRomaWiFi";"it"
"11/08/2020";"08:09:56";"11/08/2020";"08:18:32";"516";"22206934";"849889";"REGISTERED";"Municipio VIII";"Circonvallazione";"Ostiense";"191";"Roma";"DigitRomaWiFi";"it"
"11/08/2020";"07:56:36";"11/08/2020";"08:28:53";"1937";"100030185";"6768804";"REGISTERED_H24";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi_H24";"it"
"11/08/2020";"08:26:08";"11/08/2020";"08:29:44";"216";"517937";"93860";"REGISTERED";"Municipio VIII";"Largo ";"Giovanni da Verrazzano";"7";"Roma";"DigitRomaWiFi";"it"
"11/08/2020";"08:20:35";"11/08/2020";"08:32:03";"688";"1558278047";"20549416";"REGISTERED";"Municipio I";"Via";"della Consolazione";"4";"Roma";"DigitRomaWiFi";"it"
"11/08/2020";"08:31:11";"11/08/2020";"08:33:56";"165";"11641835";"283301";"SPID";"Municipio XIII";"Via";"Aurelia";"470";"Roma";"DigitRomaWiFi";"it"
"11/08/2020";"07:56:40";"11/08/2020";"08:34:33";"2273";"176516122";"4307012";"REGISTERED";"Municipio VII";"Piazza";"di Cinecitta";"11";"Roma";"DigitRomaWiFi";"it"
"11/08/2020";"08:07:52";"11/08/2020";"08:35:35";"1663";"21847586";"8084858";"REGISTERED";"Municipio I";"Via";"Luigi Petroselli";"50";"Roma";"DigitRomaWiFi";"it"
"11/08/2020";"08:34:24";"11/08/2020";"08:39:20";"296";"5963261";"984450";"REGISTERED";"Municipio I";"Via";"della Consolazione";"4";"Roma";"DigitRomaWiFi";"it"
"11/08/2020";"08:35:19";"11/08/2020";"08:40:56";"337";"1199319";"383411";"REGISTERED";"Municipio XV";"Via";"Cassia";"726";"Roma";"DigitRomaWiFi";"it"
"11/08/2020";"08:13:22";"11/08/2020";"08:43:41";"1819";"179836590";"23513943";"REGISTERED";"Municipio VIII";"Circonvallazione";"Ostiense";"191";"Roma";"DigitRomaWiFi";"it"
"11/08/2020";"07:43:47";"11/08/2020";"08:44:18";"3631";"129794111";"4149048";"REGISTERED";"Municipio VIII";"Via";"Capitan Bavastro";"94";"Roma";"DigitRomaWiFi";"it"
"11/08/2020";"08:32:13";"11/08/2020";"08:45:03";"770";"3692139";"345010";"REGISTERED";"Municipio VI";"Viale";"Duilio Cambellotti";"11";"Roma";"DigitRomaWiFi";"it"
"11/08/2020";"08:43:52";"11/08/2020";"08:47:06";"194";"322789";"194526";"REGISTERED";"Municipio I";"Via";"Luigi Petroselli";"45";"Roma";"DigitRomaWiFi";"it"
"11/08/2020";"08:45:14";"11/08/2020";"08:49:28";"254";"724298";"209203";"REGISTERED";"Municipio XIII";"Via";"Aurelia";"470";"Roma";"DigitRomaWiFi";"it"
"11/08/2020";"08:36:09";"11/08/2020";"08:50:17";"848";"253818741";"3872277";"REGISTERED";"Municipio XII";"Via";"Fabiola";"14";"Roma";"DigitRomaWiFi";"it"
