"STARTDATE";"STARTTIME";"ENDDATE";"ENDTIME";"DURATION";"DOWNLOAD";"UPLOAD";"DOMAIN";"MUNICIPIO";"DUG";"DUF";"CIVICO";"LOCALITA";"SERVICEPROFILE";"DTLN"
"11/09/2020";"23:48:38";"12/09/2020";"00:06:34";"1076";"36975187";"3762565";"REGISTERED_MC";"Municipio I";"Via";"delle Tre Pile";"1";"Roma";"Musei_Capitolini";"it"
"12/09/2020";"01:15:14";"12/09/2020";"01:23:37";"503";"25803235";"163615934";"REGISTERED";"Municipio I";"Piazza";"Sant'Egidio";"1/B";"Roma";"DigitRomaWiFi";"en"
"12/09/2020";"01:11:13";"12/09/2020";"01:41:53";"1840";"39951645";"4104365";"REGISTERED_MC";"Municipio I";"Via";"delle Tre Pile";"1";"Roma";"Musei_Capitolini";"it"
"12/09/2020";"01:13:00";"12/09/2020";"01:43:39";"1839";"29733167";"6151636";"REGISTERED_MC";"Municipio I";"Via";"delle Tre Pile";"1";"Roma";"Musei_Capitolini";"it"
"12/09/2020";"01:46:52";"12/09/2020";"02:32:48";"2756";"50138973";"3020687";"REGISTERED";"Municipio XII";"Via";"di Donna Olimpia";"43";"Roma";"DigitRomaWiFi";"it"
"11/09/2020";"08:40:15";"12/09/2020";"01:06:32";"59177";"2769139610";"1948598310";"BIBLIO";"Municipio V";"Via";"del Pigneto";"22";"Roma";"Biblioteche";""
"12/09/2020";"02:39:16";"12/09/2020";"03:15:53";"2197";"38602667";"2200689";"REGISTERED";"Municipio I";"Via";"della Greca";"5";"Roma";"DigitRomaWiFi";"it"
"12/09/2020";"02:38:29";"12/09/2020";"03:48:56";"4227";"3100076";"564244";"REGISTERED";"Municipio I";"Via";"della Greca";"5";"Roma";"DigitRomaWiFi";"it"
"12/09/2020";"02:49:17";"12/09/2020";"04:02:38";"4401";"234923340";"322029547";"REGISTERED";"Municipio XII";"Via";"di Donna Olimpia";"43";"Roma";"DigitRomaWiFi";"it"
"12/09/2020";"03:08:40";"12/09/2020";"04:06:33";"3473";"8415627";"3506995";"REGISTERED";"Municipio I";"Via";"della Consolazione";"4";"Roma";"DigitRomaWiFi";"it"
"12/09/2020";"04:21:47";"12/09/2020";"04:24:01";"134";"403646";"48018";"REGISTERED";"Municipio XII";"Via";"di Donna Olimpia";"43";"Roma";"DigitRomaWiFi";"it"
"12/09/2020";"02:37:27";"12/09/2020";"04:32:26";"6899";"375274166";"5666046";"REGISTERED";"Municipio I";"Via";"della Greca";"5";"Roma";"DigitRomaWiFi";"it"
"12/09/2020";"05:40:36";"12/09/2020";"05:56:00";"924";"1026317";"242406";"REGISTERED_H24";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi_H24";"it"
"12/09/2020";"06:01:07";"12/09/2020";"06:01:28";"21";"0";"0";"REGISTERED";"Municipio I";"Piazza";"del Campidoglio";"1";"Roma";"DigitRomaWiFi";"it"
"12/09/2020";"04:26:47";"12/09/2020";"06:45:35";"8328";"2929108198";"42335147";"REGISTERED";"Municipio I";"Via";"della Consolazione";"4";"Roma";"DigitRomaWiFi";"it"
"12/09/2020";"07:02:51";"12/09/2020";"07:09:09";"378";"1576208";"407036";"REGISTERED";"Municipio VI";"Viale";"Duilio Cambellotti";"11";"Roma";"DigitRomaWiFi";"it"
