"STARTDATE";"STARTTIME";"ENDDATE";"ENDTIME";"DURATION";"DOWNLOAD";"UPLOAD";"DOMAIN";"MUNICIPIO";"DUG";"DUF";"CIVICO";"LOCALITA";"SERVICEPROFILE";"DTLN"
"03/10/2020";"23:54:18";"04/10/2020";"00:00:28";"370";"4357166";"577890";"REGISTERED";"Municipio XIII";"Via";"Ettore Stampini";"38";"Roma";"DigitRomaWiFi";"it"
"03/10/2020";"20:55:23";"03/10/2020";"23:19:52";"8669";"192249441";"7666783";"REGISTERED";"Municipio VI";"Via";"Libero Leonardi";"153";"Roma";"Biblioteche";"it"
"03/10/2020";"23:33:52";"04/10/2020";"02:17:40";"9828";"26454110";"2137096";"REGISTERED";"Municipio II";"Via";"Tiburtina Antica";"25";"Roma";"DigitRomaWiFi";"en"
"04/10/2020";"03:10:45";"04/10/2020";"03:13:15";"150";"430916";"63408";"REGISTERED";"Municipio I";"Via";"della Consolazione";"4";"Roma";"DigitRomaWiFi";"it"
"04/10/2020";"00:48:19";"04/10/2020";"01:47:03";"3524";"413963364";"16493034";"BIBLIO";"Municipio V";"Via";"del Pigneto";"22";"Roma";"Biblioteche";""
"04/10/2020";"01:29:30";"04/10/2020";"05:29:30";"14400";"16242291";"5991705";"REGISTERED";"Municipio I";"Via";"della Consolazione";"4";"Roma";"DigitRomaWiFi";"it"
"04/10/2020";"07:07:22";"04/10/2020";"07:38:01";"1839";"4012879";"4714406";"REGISTERED";"Municipio I";"Piazza";"del Campidoglio";"1";"Roma";"DigitRomaWiFi";"it"
"04/10/2020";"07:52:03";"04/10/2020";"08:02:44";"641";"5794162";"891134";"REGISTERED";"Municipio III";"Via";"Flavio Ando";"12";"Roma";"DigitRomaWiFi";"it"
"04/10/2020";"08:15:08";"04/10/2020";"08:22:24";"436";"5954172";"745050";"REGISTERED";"Municipio I";"Piazza";"San Pantaleo";"10";"Roma";"DigitRomaWiFi";"it"
"04/10/2020";"08:22:52";"04/10/2020";"08:46:26";"1414";"19856167";"2024210";"REGISTERED";"Municipio II";"Via";"Ulisse Aldrovandi";"18";"Roma";"DigitRomaWiFi";"it"
"04/10/2020";"08:31:27";"04/10/2020";"08:52:42";"1275";"74140052";"3010532";"REGISTERED";"Municipio I";"Piazza";"San Pantaleo";"10";"Roma";"DigitRomaWiFi";"it"
"04/10/2020";"08:53:52";"04/10/2020";"09:01:11";"439";"5317045";"619824";"REGISTERED";"Municipio II";"Via";"Ulisse Aldrovandi";"18";"Roma";"DigitRomaWiFi";"it"
"04/10/2020";"08:48:27";"04/10/2020";"09:19:06";"1839";"14587458";"1067489";"REGISTERED";"Municipio I";"Piazza";"del Campidoglio";"1";"Roma";"DigitRomaWiFi";"it"
"04/10/2020";"08:42:48";"04/10/2020";"09:21:19";"2311";"42427794";"2131126";"REGISTERED";"Municipio I";"Lungotevere";"in Augusta";"11";"Roma";"DigitRomaWiFi";"it"
"04/10/2020";"09:24:22";"04/10/2020";"09:24:23";"1";"6373";"2408";"REGISTERED";"Municipio I";"Lungotevere";"in Augusta";"11";"Roma";"DigitRomaWiFi";"it"
"04/10/2020";"07:52:00";"04/10/2020";"09:25:50";"5630";"140457109";"78976716";"REGISTERED";"Municipio I";"Piazza";"Sant'Egidio";"1/B";"Roma";"DigitRomaWiFi";"it"
"04/10/2020";"07:10:04";"04/10/2020";"07:31:31";"1287";"173016190";"9989261";"BIBLIO";"Municipio V";"Via";"del Pigneto";"22";"Roma";"Biblioteche";""
"04/10/2020";"09:36:20";"04/10/2020";"09:58:25";"1325";"8861147";"1497016";"REGISTERED";"Municipio IX";"Via";"Ignazio  Silone";"100";"Roma";"DigitRomaWiFi";"it"
"04/10/2020";"09:30:20";"04/10/2020";"10:00:58";"1838";"20760500";"1637211";"REGISTERED";"Municipio I";"Piazza";"del Campidoglio";"1";"Roma";"DigitRomaWiFi";"it"
"04/10/2020";"09:52:42";"04/10/2020";"10:01:11";"509";"830869";"117893";"REGISTERED";"Municipio I";"Piazza";"Sant'Egidio";"1/B";"Roma";"DigitRomaWiFi";"it"
"04/10/2020";"09:47:27";"04/10/2020";"10:05:28";"1081";"44372599";"933439";"REGISTERED";"Municipio I";"Piazza";"di Ponte Umberto I";"1";"Roma";"DigitRomaWiFi";"it"
"04/10/2020";"09:24:26";"04/10/2020";"10:09:45";"2719";"50483173";"4201205";"REGISTERED";"Municipio I";"Lungotevere";"in Augusta";"11";"Roma";"DigitRomaWiFi";"it"
"04/10/2020";"09:48:42";"04/10/2020";"10:12:22";"1420";"180760811";"12456237";"REGISTERED";"Municipio I";"Via";"delle Tre Pile";"1";"Roma";"Musei_Capitolini";"it"
"04/10/2020";"10:28:36";"04/10/2020";"10:31:42";"186";"2993061";"176361";"REGISTERED";"Municipio I";"Via";"della Greca";"5";"Roma";"DigitRomaWiFi";"it"
"04/10/2020";"09:27:52";"04/10/2020";"10:36:22";"4110";"34092841";"3940922";"REGISTERED";"Municipio I";"Lungotevere";"in Augusta";"11";"Roma";"DigitRomaWiFi";"it"
"04/10/2020";"10:32:31";"04/10/2020";"10:38:07";"336";"25240041";"1041788";"REGISTERED";"Municipio XII";"Via";"di Donna Olimpia";"43";"Roma";"DigitRomaWiFi";"ro"
"04/10/2020";"10:38:27";"04/10/2020";"10:44:35";"368";"50785705";"696890";"REGISTERED";"Municipio XII";"Via";"di Donna Olimpia";"43";"Roma";"DigitRomaWiFi";"ro"
"04/10/2020";"10:39:05";"04/10/2020";"10:47:00";"475";"34744";"22799";"REGISTERED";"";"";"";"";"";"DigitRomaWiFi";"it"
"04/10/2020";"10:39:02";"04/10/2020";"10:47:00";"478";"14752779";"490453";"REGISTERED";"Municipio I";"Piazza";"San Pantaleo";"10";"Roma";"DigitRomaWiFi";"it"
"04/10/2020";"10:29:27";"04/10/2020";"10:50:16";"1249";"7782717";"522774";"REGISTERED";"Municipio I";"Piazza";"San Pantaleo";"10";"Roma";"DigitRomaWiFi";"it"
"04/10/2020";"10:19:49";"04/10/2020";"10:50:29";"1840";"28246147";"2156475";"REGISTERED";"Municipio I";"Via";"delle Tre Pile";"1";"Roma";"Musei_Capitolini";"it"
"04/10/2020";"10:23:35";"04/10/2020";"10:54:16";"1841";"27867811";"5714526";"REGISTERED";"Municipio I";"Piazza";"del Campidoglio";"1";"Roma";"DigitRomaWiFi";"it"
"04/10/2020";"10:53:15";"04/10/2020";"10:57:02";"227";"171973";"30005";"REGISTERED";"Municipio I";"Piazza";"San Pantaleo";"10";"Roma";"DigitRomaWiFi";"it"
"04/10/2020";"10:14:05";"04/10/2020";"11:08:37";"3272";"424811265";"11203732";"REGISTERED";"Municipio I";"Piazza";"di Ponte Umberto I";"1";"Roma";"DigitRomaWiFi";"it"
"04/10/2020";"11:12:07";"04/10/2020";"11:16:16";"249";"4319664";"169003";"REGISTERED";"Municipio I";"Lungotevere";"in Augusta";"11";"Roma";"DigitRomaWiFi";"it"
"04/10/2020";"10:41:44";"04/10/2020";"11:30:05";"2901";"76090322";"2815247";"REGISTERED";"Municipio I";"Via";"della Greca";"5";"Roma";"DigitRomaWiFi";"it"
"04/10/2020";"10:16:38";"04/10/2020";"11:30:11";"4413";"200160870";"7683036";"REGISTERED";"Municipio I";"Piazza";"Sant'Egidio";"1/B";"Roma";"DigitRomaWiFi";"it"
"04/10/2020";"11:03:52";"04/10/2020";"11:34:31";"1839";"102901767";"6310731";"REGISTERED";"Municipio I";"Via";"delle Tre Pile";"1";"Roma";"Musei_Capitolini";"it"
"04/10/2020";"11:28:06";"04/10/2020";"11:35:20";"434";"32290452";"855104";"REGISTERED";"Municipio I";"Piazza";"San Pantaleo";"10";"Roma";"DigitRomaWiFi";"it"
"04/10/2020";"11:32:31";"04/10/2020";"12:03:57";"1886";"2046724";"826247";"REGISTERED";"Municipio IX";"Via";"Ignazio  Silone";"100";"Roma";"DigitRomaWiFi";"it"
"04/10/2020";"11:36:31";"04/10/2020";"12:07:13";"1842";"4646301";"615593";"REGISTERED";"Municipio I";"Via";"delle Tre Pile";"1";"Roma";"Musei_Capitolini";"it"
"04/10/2020";"12:01:12";"04/10/2020";"12:19:08";"1076";"8584580";"1411202";"REGISTERED";"Municipio I";"Piazza";"di Ponte Umberto I";"1";"Roma";"DigitRomaWiFi";"it"
"04/10/2020";"12:09:22";"04/10/2020";"12:23:22";"840";"11122849";"1079888";"REGISTERED";"Municipio I";"Piazza";"del Campidoglio";"1";"Roma";"DigitRomaWiFi";"it"
"04/10/2020";"12:07:42";"04/10/2020";"12:25:28";"1066";"50814762";"1348698";"REGISTERED";"Municipio I";"Lungotevere";"in Augusta";"11";"Roma";"DigitRomaWiFi";"it"
"04/10/2020";"12:25:53";"04/10/2020";"12:25:53";"0";"33182";"4758";"REGISTERED";"Municipio I";"Lungotevere";"in Augusta";"11";"Roma";"DigitRomaWiFi";"it"
"04/10/2020";"12:08:16";"04/10/2020";"12:38:57";"1841";"10931331";"1157461";"REGISTERED";"Municipio I";"Via";"delle Tre Pile";"1";"Roma";"Musei_Capitolini";"it"
"04/10/2020";"11:43:13";"04/10/2020";"12:57:39";"4466";"148481675";"25158040";"REGISTERED";"Municipio I";"Lungotevere";"in Augusta";"11";"Roma";"DigitRomaWiFi";"it"
"04/10/2020";"12:39:23";"04/10/2020";"13:10:02";"1839";"4252728";"908550";"REGISTERED";"Municipio I";"Via";"delle Tre Pile";"1";"Roma";"Musei_Capitolini";"it"
"04/10/2020";"13:07:43";"04/10/2020";"13:12:08";"265";"13806706";"803915";"REGISTERED";"Municipio I";"Piazza";"Orazio Giustiniani";"4";"Roma";"DigitRomaWiFi";"it"
"04/10/2020";"11:37:18";"04/10/2020";"13:14:08";"5810";"150109987";"6742309";"REGISTERED";"Municipio I";"Piazza";"Sant'Egidio";"1/B";"Roma";"DigitRomaWiFi";"it"
"04/10/2020";"12:48:00";"04/10/2020";"13:14:21";"1581";"19537079";"3414919";"REGISTERED";"Municipio I";"Piazza";"del Campidoglio";"1";"Roma";"DigitRomaWiFi";"it"
"04/10/2020";"12:55:34";"04/10/2020";"13:14:41";"1147";"10320526";"1331515";"REGISTERED";"Municipio I";"Piazza";"di Ponte Umberto I";"1";"Roma";"DigitRomaWiFi";"it"
"04/10/2020";"12:25:56";"04/10/2020";"13:19:38";"3222";"140147972";"1677636";"REGISTERED";"Municipio I";"Lungotevere";"in Augusta";"11";"Roma";"DigitRomaWiFi";"it"
"04/10/2020";"13:27:28";"04/10/2020";"13:27:30";"2";"641932";"51055";"REGISTERED";"Municipio I";"Piazza";"di Ponte Umberto I";"1";"Roma";"DigitRomaWiFi";"it"
"04/10/2020";"13:31:31";"04/10/2020";"13:36:37";"306";"10008342";"903335";"REGISTERED";"Municipio I";"Piazza";"di Ponte Umberto I";"1";"Roma";"DigitRomaWiFi";"it"
