Latitude,Longitude,Year,Month,accidents,Index
41.945,12.445,2019,12,0,0.0
41.945,12.445,2020,1,0,0.0
41.945,12.445,2020,2,0,0.0
41.885,12.545,2019,1,4,4.0
41.885,12.545,2019,2,0,0.0
41.885,12.545,2019,3,0,0.0
41.885,12.545,2019,4,0,0.0
41.885,12.545,2019,5,0,0.0
41.885,12.545,2019,6,0,0.0
41.885,12.545,2019,7,0,0.0
41.885,12.545,2019,8,0,0.0
41.885,12.545,2019,9,0,0.0
41.885,12.545,2019,10,3,3.0
41.885,12.545,2019,11,0,0.0
41.885,12.545,2019,12,0,0.0
41.885,12.545,2020,1,0,0.0
41.885,12.545,2020,2,0,0.0
41.865,12.465,2019,1,0,0.0
41.865,12.465,2019,2,0,0.0
41.865,12.465,2019,3,0,0.0
41.865,12.465,2019,4,0,0.0
41.865,12.465,2019,5,0,0.0
41.865,12.465,2019,6,0,0.0
41.865,12.465,2019,7,0,0.0
41.865,12.465,2019,8,0,0.0
41.865,12.465,2019,9,0,0.0
41.865,12.465,2019,10,1,1.0
41.865,12.465,2019,11,0,0.0
41.865,12.465,2019,12,0,0.0
41.865,12.465,2020,1,1,1.0
41.865,12.465,2020,2,0,0.0
41.825,12.615,2019,1,0,0.0
41.825,12.615,2019,2,0,0.0
41.825,12.615,2019,3,1,1.0
41.825,12.615,2019,4,0,0.0
41.825,12.615,2019,5,0,0.0
41.825,12.615,2019,6,0,0.0
41.825,12.615,2019,7,0,0.0
41.825,12.615,2019,8,0,0.0
41.825,12.615,2019,10,0,0.0
41.825,12.615,2019,11,0,0.0
41.825,12.615,2019,12,0,0.0
41.825,12.615,2020,1,0,0.0
41.825,12.615,2020,2,0,0.0
41.965,12.535,2019,1,0,0.0
41.965,12.535,2019,2,0,0.0
41.965,12.535,2019,3,0,0.0
41.965,12.535,2019,4,0,0.0
41.965,12.535,2019,5,0,0.0
41.965,12.535,2019,6,0,0.0
41.965,12.535,2019,7,0,0.0
41.965,12.535,2019,9,0,0.0
41.965,12.535,2019,10,0,0.0
41.965,12.535,2019,11,0,0.0
41.965,12.535,2019,12,0,0.0
41.965,12.535,2020,1,0,0.0
41.965,12.535,2020,2,0,0.0
41.885,12.575,2019,1,0,0.0
41.885,12.575,2019,2,0,0.0
41.885,12.575,2019,3,0,0.0
41.885,12.575,2019,4,0,0.0
41.885,12.575,2019,5,2,2.0
41.885,12.575,2019,6,0,0.0
41.885,12.575,2019,7,0,0.0
41.885,12.575,2019,8,0,0.0
41.885,12.575,2019,9,0,0.0
41.885,12.575,2019,10,1,1.0
41.885,12.575,2019,11,0,0.0
41.885,12.575,2019,12,0,0.0
41.885,12.575,2020,1,1,1.0
41.885,12.575,2020,2,0,0.0
41.915,12.415,2019,1,0,0.0
41.915,12.415,2019,2,2,2.0
41.915,12.415,2019,3,0,0.0
41.915,12.415,2019,4,0,0.0
41.915,12.415,2019,5,0,0.0
41.915,12.415,2019,6,0,0.0
41.915,12.415,2019,7,0,0.0
41.915,12.415,-1,-1,0,0.0
41.915,12.415,2019,8,0,0.0
41.915,12.415,2019,9,0,0.0
41.915,12.415,2019,10,0,0.0
41.915,12.415,2019,11,0,0.0
41.915,12.415,2019,12,0,0.0
41.915,12.415,2020,1,0,0.0
41.915,12.415,2020,2,0,0.0
41.875,12.625,2019,1,5,5.0
41.875,12.625,2019,2,0,0.0
41.875,12.625,2019,3,0,0.0
41.875,12.625,2019,4,0,0.0
41.875,12.625,2019,5,0,0.0
41.875,12.625,2019,6,0,0.0
41.875,12.625,2019,7,0,0.0
41.875,12.625,2019,8,0,0.0
41.875,12.625,2019,9,0,0.0
41.875,12.625,2019,10,0,0.0
41.875,12.625,2019,11,0,0.0
41.875,12.625,2019,12,0,0.0
41.875,12.625,2020,1,0,0.0
41.875,12.625,2020,2,0,0.0
41.935,12.375,2019,1,0,0.0
41.935,12.375,2019,2,0,0.0
41.935,12.375,2019,3,0,0.0
41.935,12.375,2019,4,0,0.0
41.935,12.375,2019,5,0,0.0
41.935,12.375,2019,6,0,0.0
41.935,12.375,2019,7,0,0.0
41.935,12.375,2019,9,0,0.0
41.935,12.375,2019,10,3,3.0
41.935,12.375,2019,12,0,0.0
41.935,12.375,2020,1,0,0.0
41.935,12.425,2019,1,0,0.0
41.935,12.425,2019,2,0,0.0
41.935,12.425,2019,3,0,0.0
41.935,12.425,2019,4,0,0.0
41.935,12.425,2019,5,0,0.0
41.935,12.425,2019,6,0,0.0
41.935,12.425,2019,7,0,0.0
41.935,12.425,2019,8,0,0.0
41.935,12.425,2019,9,0,0.0
41.935,12.425,2019,10,0,0.0
41.935,12.425,2019,11,0,0.0
41.935,12.425,-1,-1,0,0.0
41.935,12.425,2019,12,0,0.0
41.935,12.425,2020,1,0,0.0
41.935,12.425,2020,2,0,0.0
41.905,12.465,2019,1,1,1.0
41.905,12.465,-1,-1,0,0.0
41.905,12.465,2019,2,0,0.0
41.905,12.465,2019,3,0,0.0
41.905,12.465,2019,4,0,0.0
41.905,12.465,2019,5,0,0.0
41.905,12.465,2019,6,0,0.0
41.905,12.465,2019,7,0,0.0
41.905,12.465,2019,8,0,0.0
41.905,12.465,2019,9,5,5.0
41.905,12.465,2019,10,0,0.0
41.905,12.465,2019,11,2,2.0
41.905,12.465,2019,12,0,0.0
41.905,12.465,2020,1,0,0.0
41.905,12.465,2020,2,0,0.0
41.875,12.485,2019,1,0,0.0
41.875,12.485,2019,2,0,0.0
41.875,12.485,2019,3,0,0.0
41.875,12.485,2019,4,0,0.0
41.875,12.485,-1,-1,0,0.0
41.875,12.485,2019,5,0,0.0
41.875,12.485,2019,6,0,0.0
41.875,12.485,2019,7,0,0.0
41.875,12.485,2019,8,0,0.0
41.875,12.485,2019,9,0,0.0
41.875,12.485,2019,10,0,0.0
41.875,12.485,2019,11,0,0.0
41.875,12.485,2019,12,0,0.0
41.875,12.485,2020,1,0,0.0
41.875,12.485,2020,2,0,0.0
41.915,12.395,2019,1,0,0.0
41.915,12.395,2019,2,0,0.0
41.915,12.395,2019,4,0,0.0
41.915,12.395,2019,5,0,0.0
41.915,12.395,2019,6,0,0.0
41.915,12.395,2019,7,0,0.0
41.915,12.395,2019,8,0,0.0
41.915,12.395,2019,9,0,0.0
41.915,12.395,2019,10,0,0.0
41.915,12.395,2019,11,0,0.0
41.915,12.395,2019,12,0,0.0
41.915,12.395,2020,1,0,0.0
41.915,12.395,2020,2,0,0.0
41.905,12.475,2019,1,0,0.0
41.905,12.475,2019,2,0,0.0
41.905,12.475,2019,3,0,0.0
41.905,12.475,2019,4,0,0.0
41.905,12.475,2019,5,0,0.0
41.905,12.475,2019,6,0,0.0
41.905,12.475,2019,7,0,0.0
41.905,12.475,2019,8,3,3.0
41.905,12.475,2019,9,0,0.0
41.905,12.475,-1,-1,0,0.0
41.905,12.475,2019,10,0,0.0
41.905,12.475,2019,11,0,0.0
41.905,12.475,2019,12,0,0.0
41.905,12.475,2020,1,0,0.0
41.905,12.475,2020,2,0,0.0
41.885,12.495,2019,1,0,0.0
41.885,12.495,2019,2,0,0.0
41.885,12.495,2019,3,0,0.0
41.885,12.495,2019,4,0,0.0
41.885,12.495,2019,5,0,0.0
41.885,12.495,2019,6,2,2.0
41.885,12.495,2019,7,0,0.0
41.885,12.495,2019,8,0,0.0
41.885,12.495,2019,9,0,0.0
41.885,12.495,2019,10,0,0.0
41.885,12.495,2019,11,3,3.0
41.885,12.495,2019,12,2,2.0
41.885,12.495,2020,1,0,0.0
41.885,12.495,2020,2,0,0.0
41.895,12.505,2019,1,0,0.0
41.895,12.505,2019,2,0,0.0
41.895,12.505,2019,3,0,0.0
41.895,12.505,2019,4,0,0.0
41.895,12.505,2019,5,0,0.0
41.895,12.505,2019,6,0,0.0
41.895,12.505,2019,7,0,0.0
41.895,12.505,2019,8,0,0.0
41.895,12.505,2019,9,0,0.0
41.895,12.505,2019,10,4,4.0
41.895,12.505,2019,11,0,0.0
41.895,12.505,2019,12,2,2.0
41.895,12.505,2020,1,0,0.0
41.895,12.505,2020,2,0,0.0
41.905,12.485,2019,1,0,0.0
41.905,12.485,2019,2,0,0.0
41.905,12.485,2019,3,0,0.0
41.905,12.485,2019,4,0,0.0
41.905,12.485,2019,5,0,0.0
41.905,12.485,2019,6,0,0.0
41.905,12.485,2019,7,0,0.0
41.905,12.485,-1,-1,0,0.0
41.905,12.485,2019,8,1,1.0
41.905,12.485,2019,9,0,0.0
41.905,12.485,2019,10,0,0.0
41.905,12.485,2019,11,0,0.0
41.905,12.485,2019,12,0,0.0
41.905,12.485,2020,1,0,0.0
41.905,12.485,2020,2,0,0.0
41.935,12.445,2019,1,0,0.0
41.935,12.445,2019,2,0,0.0
41.935,12.445,2019,3,0,0.0
41.935,12.445,2019,4,0,0.0
41.935,12.445,2019,5,0,0.0
41.935,12.445,2019,6,0,0.0
41.935,12.445,2019,7,0,0.0
41.935,12.445,2019,8,0,0.0
41.935,12.445,2019,9,0,0.0
41.935,12.445,2019,10,0,0.0
41.935,12.445,2019,11,0,0.0
41.935,12.445,2019,12,0,0.0
41.935,12.445,2020,1,0,0.0
41.935,12.445,2020,2,0,0.0
41.955,12.535,2019,1,0,0.0
41.955,12.535,2019,2,0,0.0
41.955,12.535,2019,3,0,0.0
41.955,12.535,2019,4,0,0.0
41.955,12.535,2019,5,0,0.0
41.955,12.535,2019,6,0,0.0
41.955,12.535,2019,7,0,0.0
41.955,12.535,2019,8,0,0.0
41.955,12.535,2019,9,0,0.0
41.955,12.535,2019,10,0,0.0
41.955,12.535,2019,11,0,0.0
41.955,12.535,2019,12,0,0.0
41.955,12.535,2020,1,0,0.0
41.955,12.535,2020,2,0,0.0
41.825,12.445,2019,1,0,0.0
41.825,12.445,2019,2,0,0.0
41.825,12.445,2019,3,0,0.0
41.825,12.445,2019,4,0,0.0
41.825,12.445,2019,5,0,0.0
41.825,12.445,2019,6,0,0.0
41.825,12.445,2019,7,0,0.0
41.825,12.445,2019,8,0,0.0
41.825,12.445,2019,9,0,0.0
41.825,12.445,2019,10,0,0.0
41.825,12.445,2019,11,0,0.0
41.825,12.445,2019,12,0,0.0
41.825,12.445,2020,1,0,0.0
41.825,12.445,2020,2,0,0.0
41.905,12.455,2019,1,0,0.0
41.905,12.455,2019,2,0,0.0
41.905,12.455,2019,3,1,1.0
41.905,12.455,2019,4,0,0.0
41.905,12.455,2019,5,1,1.0
41.905,12.455,2019,6,0,0.0
41.905,12.455,2019,7,0,0.0
41.905,12.455,2019,8,0,0.0
41.905,12.455,2019,9,0,0.0
41.905,12.455,2019,10,1,1.0
41.905,12.455,2019,11,0,0.0
41.905,12.455,2019,12,0,0.0
41.905,12.455,2020,1,0,0.0
41.905,12.455,2020,2,0,0.0
41.985,12.515,2019,1,0,0.0
41.985,12.515,-1,-1,1,1.0
41.985,12.515,2019,2,0,0.0
41.985,12.515,2019,3,0,0.0
41.985,12.515,2019,4,0,0.0
41.985,12.515,2019,6,0,0.0
41.985,12.515,2019,7,0,0.0
41.985,12.515,2019,8,0,0.0
41.985,12.515,2019,10,0,0.0
41.985,12.515,2019,11,0,0.0
41.985,12.515,2019,12,0,0.0
41.985,12.515,2020,1,0,0.0
41.985,12.515,2020,2,0,0.0
41.775,12.365,2019,1,0,0.0
41.775,12.365,2019,2,0,0.0
41.775,12.365,2019,3,0,0.0
41.775,12.365,2019,4,0,0.0
41.775,12.365,2019,5,0,0.0
41.775,12.365,2019,6,0,0.0
41.775,12.365,2019,7,0,0.0
41.775,12.365,2019,8,0,0.0
41.775,12.365,2019,10,0,0.0
41.775,12.365,2019,11,0,0.0
41.775,12.365,2019,12,0,0.0
41.775,12.365,2020,1,0,0.0
41.775,12.365,2020,2,0,0.0
41.865,12.675,2019,1,0,0.0
41.865,12.675,2019,2,0,0.0
41.865,12.675,2019,3,0,0.0
41.865,12.675,2019,4,0,0.0
41.865,12.675,2019,5,0,0.0
41.865,12.675,2019,6,0,0.0
41.865,12.675,2019,7,0,0.0
41.865,12.675,2019,8,0,0.0
41.865,12.675,2019,9,0,0.0
41.865,12.675,2019,10,0,0.0
41.865,12.675,2019,11,0,0.0
41.865,12.675,2019,12,0,0.0
41.865,12.675,2020,1,0,0.0
41.865,12.675,2020,2,0,0.0
41.865,12.625,2019,1,0,0.0
41.865,12.625,2019,2,0,0.0
41.865,12.625,2019,3,2,2.0
41.865,12.625,2019,4,0,0.0
41.865,12.625,2019,5,0,0.0
41.865,12.625,2019,6,0,0.0
41.865,12.625,2019,7,0,0.0
41.865,12.625,2019,8,0,0.0
41.865,12.625,2019,9,0,0.0
41.865,12.625,2019,10,0,0.0
41.865,12.625,2019,11,0,0.0
41.865,12.625,2019,12,0,0.0
41.865,12.625,2020,1,0,0.0
41.865,12.625,2020,2,0,0.0
41.895,12.535,2019,1,0,0.0
41.895,12.535,2019,2,0,0.0
41.895,12.535,2019,3,0,0.0
41.895,12.535,2019,4,0,0.0
41.895,12.535,2019,5,1,1.0
41.895,12.535,2019,6,0,0.0
41.895,12.535,2019,7,5,5.0
41.895,12.535,2019,8,0,0.0
41.895,12.535,2019,9,1,1.0
41.895,12.535,2019,10,0,0.0
41.895,12.535,2019,11,0,0.0
41.895,12.535,2019,12,0,0.0
41.895,12.535,2020,1,0,0.0
41.895,12.535,2020,2,0,0.0
41.915,12.725,2019,1,0,0.0
41.915,12.725,2019,2,0,0.0
41.915,12.725,2019,3,0,0.0
41.915,12.725,2019,5,1,1.0
41.915,12.725,2019,7,0,0.0
41.915,12.725,2019,9,0,0.0
41.915,12.725,2019,10,0,0.0
41.915,12.725,2019,11,0,0.0
41.915,12.725,2020,1,0,0.0
41.915,12.725,2020,2,0,0.0
41.925,12.525,2019,1,1,1.0
41.925,12.525,2019,2,0,0.0
41.925,12.525,2019,3,0,0.0
41.925,12.525,2019,4,0,0.0
41.925,12.525,2019,5,0,0.0
41.925,12.525,2019,6,0,0.0
41.925,12.525,2019,7,0,0.0
41.925,12.525,2019,8,0,0.0
41.925,12.525,2019,9,0,0.0
41.925,12.525,2019,10,0,0.0
41.925,12.525,2019,11,0,0.0
41.925,12.525,2019,12,0,0.0
41.925,12.525,2020,1,0,0.0
