 CAPPELLARI29;Categoria 2;VIA DEI CAPPELLARI, 29;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;0;0;0;0;0;1;1
;41.90831;12.4772859 STEPS TREVI SUITE CASA E APPARTAMENTO PER VACANZE;Categoria 2;VIA DEI CROCIFERI, 26/E;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);0;0;0;0;0;0;1;1
;41.90071;12.4818859 steps trevi;Categoria 3;VIA DEI CROCIFERI, 26;Municipio I (ex Mun I);Guest House o Affittacamere;2;0;0;1;0;0;0;0
;41.90086;12.4818264 SUITE APART 1-2-3-5-7;Categoria 3;VIA DELLA VITE, 64;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);0;0;0;0;0;0;5;0
;41.90402;12.4820666 IMPERIAL INN;Categoria 1;VIA DEL VIMINALE, 66;Municipio I (ex Mun I);Guest House o Affittacamere;0;3;2;0;0;0;0;0
;41.89985;12.4952669 MANIN STREET guest house o affittacamere;Categoria 2;VIA DANIELE MANIN, 69;Municipio I (ex Mun I);Guest House o Affittacamere;0;5;0;0;0;0;0;0
;41.89893;12.499069 HOTEL CESARI;3 Stelle;VIA DI PIETRA, 89/A;Municipio I (ex Mun I);Albergo;6;37;5;0;0;0;0;0
;41.89996;12.47998900 LIBERTY guest house o affittacamere;Categoria 2;CORSO VITTORIO EMANUELE II, 294;Municipio I (ex Mun I);Guest House o Affittacamere;1;2;1;1;0;0;0;0
;41.89901;12.46701939 HOTEL;3 Stelle;VIA DEL CLEMENTINO, 94;Municipio I (ex Mun I);Albergo;10;4;2;0;0;0;0;0
;41.90319;12.47537A 2 PASSI DA ST.PETER CHURCH;Categoria 2;VIA PAOLA, 46;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);1;1;0;0;0;0;0;0
;41.90061;12.4659A BEAUTIFUL PLACE IN ROME;Categoria 3;VIA VICENZA, 20;Municipio I (ex Mun I);Guest House o Affittacamere;0;3;0;0;0;0;0;0
;41.90294;12.50252A CASA CARRA;Categoria 3;VIA DELLO STATUTO, 44;Municipio I (ex Mun I);Guest House o Affittacamere;2;1;0;0;0;0;0;0
;41.89484;12.50132A CASA DEL MAGO DI OZ;Categoria 3;VIA VOLTURNO, 31;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;0;1;0;0;0;0;0
;41.90456;12.49948A CASA DEL PALMER;Categoria 2;PIAZZA VITTORIO EMANUELE II, 70;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;2;0;0;0;0;0;0
;41.89401;12.5061A CASA DI ARIANNA;Categoria 2;PIAZZA DI S. CROCE IN GERUSALEMME, 4;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;3;0;0;0;0;0;0
;41.88926;12.5149A CASA DI ELLE;Categoria 4;VIA EMANUELE FILIBERTO, 166;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;1;1;0;0;0;0;0
;41.88772;12.50828A CASA DI JASMINE;Unica;VIA CALATAFIMI, 41;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;0;0;0;0;0;0;0;0
;41.90516;12.50046A CASA DI MARCO;Categoria 2;PIAZZA MANFREDO FANTI, 10;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);2;2;0;0;0;0;0;0
;41.89808;12.50318A CASA DI MEI;Categoria 3;PIAZZA VITTORIO EMANUELE II, 55;Municipio I (ex Mun I);Guest House o Affittacamere;1;3;1;0;0;0;0;0
;41.89462;12.50599A CASA DI PENELOPE GUEST HOUSE O AFFITTACAMERE;Categoria 3;VIA VARESE, 5;Municipio I (ex Mun I);Guest House o Affittacamere;0;2;2;1;0;0;0;0
;41.90347;12.50458A CASA DI SONIA;Categoria 2;VIA DEL VIMINALE, 58;Municipio I (ex Mun I);Guest House o Affittacamere;2;2;0;0;0;0;0;0
;41.90004;12.49559A CASA DI STEFANO;Categoria 3;VIA FIRENZE, 43;Municipio I (ex Mun I);Guest House o Affittacamere;2;3;0;0;0;0;0;0
;41.90297;12.49348A CASA DI STEFANO E LAVINIA;Categoria 2;VIA MARIO DE FIORI, 116;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;3;0;0;0;0;0;0
;41.90426;12.48209A CASA DI ZIA LOLA;Categoria 2;VIA DELLA PURIFICAZIONE, 22;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;0;0
;41.90447;12.4875A CASA NOSTRA HOLIDAYS;Unica;VIA EMANUELE FILIBERTO, 217;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;0;0;0;0;0;0;0;0
;41.88924;12.5071A CASA TOTTI;Unica;VIA GAETA, 79;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;0;3;0;0;0;0;0;0
;41.90387;12.49941A FEW STEPS FROM COLOSSEUM;Unica;VIA MERULANA, 187;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;0;0;0;0;0;0;0;0
;41.89112;12.50229A MONTI DA LUDO;Categoria 3;VIA DI S. AGATA DEI GOTI, 21;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);1;1;0;1;0;0;0;0
;41.89539;12.48933A PIU';Unica;VIA DI S. CROCE IN GERUSALEMME, 43;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;0;3;0;0;0;0;0;0
;41.88965;12.51283A ROMAN TALE Bed & Breakfast;Unica;VIA PRINCIPE AMEDEO, 85/A;Municipio I (ex Mun I);Bed & Breakfast imprenditoriale;0;3;0;0;0;0;0;0
;41.89817;12.50125A SECRET CORNER;Categoria 1;VICOLO DEI FALEGNAMI, 40;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;0;0;0;0;0;2;4
;41.89453;12.47679A STAR INN;Categoria 3;VIA DELLE QUATTRO FONTANE, 15;Municipio I (ex Mun I);Guest House o Affittacamere;1;4;1;0;0;0;0;0
;41.90247;12.49001A STONE THROW FROM THE COLOSSEUM;Categoria 1;VIA DEL BOSCHETTO, 101;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;0;0
;41.89569;12.49107A TESTACCIO DA MAX;Unica;VIA ORAZIO ANTINORI, 7;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;0;0;0;0;0;0;0;0
;41.88031;12.473A TRASTEVERE;Unica;VIALE DI TRASTEVERE, 152;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;1;1;0;0;0;0;0;0
;41.88179;12.46762A TRASTEVERE DA ME;Categoria 3;PIAZZA SIDNEY SONNINO, 25;Municipio I (ex Mun I);Guest House o Affittacamere;0;4;0;0;0;0;0;0
;41.88896;12.47427A TRIBUTE TO MUSIC ROMA;Categoria 3;VIA NAPOLI, 51;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);0;0;0;0;0;0;7;0
;41.90135;12.4936A VIA DEI GIUBBONARI;Unica;VIA DEI GIUBBONARI, 23;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;0;0;0;0;0;0;0;0
;41.89429;12.47419A VIA DEL PANTHEON 57;Unica;VIA DEL PANTHEON, 57;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;0;0;0;0;0;0;0;0
;41.89975;12.47687A WORLD APARTS   68 BARBERINI Guest House o Affittacamere;Categoria 2;VIA BARBERINI, 68;Municipio I (ex Mun I);Guest House o Affittacamere;0;4;1;0;0;0;0;0
;41.9047;12.49246A casa di Antonia Bed & Breakfast;Unica;VIA PRINCIPE AMEDEO, 148;Municipio I (ex Mun I);Bed & Breakfast imprenditoriale;0;1;0;0;0;0;0;0
;41.89674;12.50394A&A B&B;Unica;VIA VOLTURNO, 40;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;0;1;0;0;0;0;0;0
;41.90412;12.50026A&C MUCH MORE guest house o affittacamere;Categoria 3;VIA PALESTRO, 49;Municipio I (ex Mun I);Guest House o Affittacamere;0;6;0;0;0;0;0;0
;41.90476;12.50437A&F COLOSSEO;Unica;VIA DEI QUATTRO CANTONI, 55;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;0;0;0;0;0;0;0;0
;41.89657;12.49629A&S FORAGGI APARTMENT DI SPEZZAFERRI ANDREA MARIA;Categoria 1;VIA DEI FORAGGI, 82;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);0;1;0;0;0;0;0;0
;41.89119;12.48411A-FLAT;Categoria 2;PIAZZA SFORZA CESARINI, 28;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);1;0;1;0;0;0;0;0
;41.89814;12.46779A-ROME SUITE;Categoria 2;VIA MERULANA, 259;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);1;1;0;0;0;0;0;0
;41.8955;12.49981A.WILLIAM FLAT;Unica;VIA CALATAFIMI, 41;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;0;1;0;0;0;0;0;0
;41.90516;12.50046AB HOUSE;Categoria 2;VIA SOLFERINO, 9;Municipio I (ex Mun I);Guest House o Affittacamere;0;0;0;2;1;0;0;0
;41.9036;12.50143ABBITUE';Categoria 2;VIA DELL'OCA, 45;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);2;0;0;0;0;0;0;0
