 CAPPELLARI29;Categoria 2;VIA DEI CAPPELLARI, 29;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;0;0;0;0;0;1;1
;41.89288;12.50557Alloggio per uso turistico 1509;Unica;VIA DEL GAROFANO, 1;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89453;12.48928Alloggio per uso turistico 1511;Unica;VICOLO DEL QUARTIERE, 2;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89212;12.46949Alloggio per uso turistico 1512;Unica;VIA CARLO EMANUELE I, 45;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.8908;12.50969Alloggio per uso turistico 1515;Unica;VIA BELISARIO, 6/A;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.90896;12.49775Alloggio per uso turistico 1516;Unica;VIA DEI BANCHI NUOVI, 3;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89983;12.46698Alloggio per uso turistico 152;Unica;VIA BENEDETTA, 26;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.8917;12.46921Alloggio per uso turistico 1520;Unica;VIA DEI TRE ARCHI, 16;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.90064;12.4717Alloggio per uso turistico 1521;Unica;VIA PRINCIPE AMEDEO, 168;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89639;12.50451Alloggio per uso turistico 1523;Unica;VIA GIOVANNI BATTISTA BODONI, 82;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.8787;12.47411Alloggio per uso turistico 153;Unica;PIAZZA DI S. GIOVANNI IN LATERANO, 48;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.88739;12.50523Alloggio per uso turistico 1530;Unica;VIA DEGLI SPAGNOLI, 53;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.90106;12.47575Alloggio per uso turistico 1536;Unica;VIA DEL SEMINARIO, 95;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89901;12.47733Alloggio per uso turistico 1537;Unica;VIA GARIBALDI, 88;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89193;12.46739Alloggio per uso turistico 1538;Unica;VIA DELLA VETRINA, 19;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89999;12.46982Alloggio per uso turistico 1542;Unica;VIA DEL GOVERNO VECCHIO, 101;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89813;12.47101Alloggio per uso turistico 1543;Unica;VIA PRINCIPE AMEDEO, 243;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89561;12.50551Alloggio per uso turistico 1545;Unica;VICOLO DE'CINQUE, 43;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89092;12.46959Alloggio per uso turistico 1547;Unica;VIA ANNIA FAUSTINA, 20;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.87768;12.48309Alloggio per uso turistico 1551;Unica;LARGO DEI CHIAVARI, 82;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89623;12.47391Alloggio per uso turistico 156;Unica;VIA DELLA PANETTERIA, 50;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.90102;12.48502Alloggio per uso turistico 1560;Unica;PIAZZA DI S. EGIDIO, 11;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.88996;12.46917Alloggio per uso turistico 1563;Unica;VIA LUIGI MASI, 7;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.88872;12.46795Alloggio per uso turistico 1572;Unica;VIA AGOSTINO BERTANI, 4;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.88766;12.46879Alloggio per uso turistico 1577;Unica;VIA PRINCIPESSA CLOTILDE, 5;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.90999;12.47507Alloggio per uso turistico 1579;Unica;VIA LEOPARDI, 54;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89468;12.50203Alloggio per uso turistico 1581;Unica;VIA SARDEGNA, 43;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.90905;12.48999Alloggio per uso turistico 1590;Unica;PIAZZA FARNESE, 44;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89522;12.47152Alloggio per uso turistico 1593;Unica;VIA DI S. CALISTO, 12;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.88923;12.47114Alloggio per uso turistico 1594;Unica;VIA DI S. MARIA DELL'ANIMA, 50;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89877;12.47229Alloggio per uso turistico 1596;Unica;VIA DELL'ARCO DI S. CALISTO, 37;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.88912;12.4713Alloggio per uso turistico 1598;Unica;VIA DEI BAULLARI, 129;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89596;12.47212Alloggio per uso turistico 1601;Unica;VIA DOMENICHINO, 8;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89545;12.49895Alloggio per uso turistico 1603;Unica;VICOLO DEI VENTI, 11;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89456;12.47159Alloggio per uso turistico 1604;Unica;VIA GIOVANNI GIOLITTI, 213;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.8977;12.50488Alloggio per uso turistico 1607;Unica;VIA DELLA LUNGARETTA, 55;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.88952;12.47332Alloggio per uso turistico 1612;Unica;VICOLO DELLA TORRETTA, 55;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.90307;12.47716Alloggio per uso turistico 1616;Unica;VIA LABICANA, 72;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.88952;12.50037Alloggio per uso turistico 1618;Unica;LARGO GIOVANNI CHIARINI, 5;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.87579;12.48955Alloggio per uso turistico 162;Unica;VIA DEI CARTARI, 2;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89758;12.46808Alloggio per uso turistico 1622;Unica;VIA FRANCESCO BERNI, 7;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.88815;12.50598Alloggio per uso turistico 1630;Unica;VIA DELLA LUNGARA, 40;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89642;12.46453Alloggio per uso turistico 1632;Unica;VIA DI S. AGATA DEI GOTI, 28;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89505;12.48943Alloggio per uso turistico 1636;Unica;VIA DEL GOVERNO VECCHIO, 48;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89839;12.47035Alloggio per uso turistico 164;Unica;VIA DEGLI AVIGNONESI, 10;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.9031;12.4878Alloggio per uso turistico 1644;Unica;VIA DEL PELLEGRINO, 13;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89618;12.47159Alloggio per uso turistico 1645;Unica;PIAZZA MATTEI, 10;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89377;12.4774Alloggio per uso turistico 1650;Unica;VIA BACCINA, 23;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89451;12.48843Alloggio per uso turistico 1652;Unica;VIA DI S. GIOVANNI IN LATERANO, 210;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.88798;12.501Alloggio per uso turistico 1653;Unica;PIAZZA FARNESE, 44;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89522;12.47152Alloggio per uso turistico 1655;Unica;VIA NAPOLEONE III, 86;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89618;12.50322Alloggio per uso turistico 1656;Unica;PIAZZA FARNESE, 44;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89522;12.47152Alloggio per uso turistico 1657;Unica;VIA DELLA PANETTERIA, 6;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.90163;12.48456Alloggio per uso turistico 1660;Unica;VIA PALESTRO, 88;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.90327;12.5064Alloggio per uso turistico 1666;Unica;VICOLO DEL LEOPARDO, 29;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89056;12.46781Alloggio per uso turistico 1667;Unica;VIA CAMPANIA, 31;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.90937;12.4896Alloggio per uso turistico 1668;Unica;VIA IN ARCIONE, 98;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.90164;12.4852Alloggio per uso turistico 1669;Unica;VIALE DELLA PIRAMIDE CESTIA, 63;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.87752;12.48226Alloggio per uso turistico 167;Unica;VIA DELLA FREZZA, 48;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.907;12.47637Alloggio per uso turistico 1671;Unica;VICOLO DELLA PALOMBA, 9;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.90171;12.4735Alloggio per uso turistico 1674;Unica;VIA CALATAFIMI, 35;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.90509;12.50034Alloggio per uso turistico 1675;Unica;VICOLO DEI PANIERI, 48;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89012;12.4668Alloggio per uso turistico 1676;Unica;PIAZZA DI S. PANTALEO, 3;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89713;12.47257Alloggio per uso turistico 1682;Unica;CAMPO DE' FIORI, 50;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89552;12.47265Alloggio per uso turistico 1683;Unica;LARGO ARENULA, 16;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89458;12.47659Alloggio per uso turistico 1689;Unica;VIA PALERMO, 13;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.45792;12.66273Alloggio per uso turistico 1691;Unica;VICOLO DI S. MARGHERITA, 10;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.88954;12.47152Alloggio per uso turistico 1692;Unica;VIA DEI CAPPELLARI, 10;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89596;12.47118Alloggio per uso turistico 1693;Unica;VIA DEGLI ASTALLI, 19;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89657;12.48011Alloggio per uso turistico 1695;Unica;VICOLO DI S. MARGHERITA, 10;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.88954;12.47152Alloggio per uso turistico 1697;Unica;VIA DEGLI ORTI D'ALIBERT, 4;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89638;12.46381Alloggio per uso turistico 17;Unica;PIAZZA DI SPAGNA, 60;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.90534;12.48249Alloggio per uso turistico 1701;Unica;VIA DELLA SCROFA, 39;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.90145;12.475Alloggio per uso turistico 1706;Unica;VIA VENEZIA, 18;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89983;12.4929Alloggio per uso turistico 1707;Unica;VIA DELLA SCROFA, 39;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.90145;12.475Alloggio per uso turistico 1709;Unica;VIA CARLO EMANUELE I, 48;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89124;12.50889Alloggio per uso turistico 171;Unica;VIA ACHILLE GRANDI, 14;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89268;12.5132Alloggio per uso turistico 1716;Unica;VIA DI S.GIOVANNI DECOLLATO, 10;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89028;12.48208Alloggio per uso turistico 1724;Unica;VIA DELLA LUPA, 25;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.90308;12.47669Alloggio per uso turistico 1725;Unica;VIA DI S. BASILIO, 69;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.90458;12.48931Alloggio per uso turistico 1727;Unica;VIA DELLA PAGLIA, 4;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.88983;12.46948Alloggio per uso turistico 173;Unica;VIA MARMORATA, 169;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.88205;12.47659Alloggio per uso turistico 1730;Unica;VIA DELLA SCALA, 63;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89089;12.46842Alloggio per uso turistico 1731;Unica;VIA OSTILIA, 1/A;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.88964;12.49532Alloggio per uso turistico 1732;Unica;VIA ANGELO TITTONI, 11;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.88718;12.46743Alloggio per uso turistico 1733;Unica;VIA DEL TRITONE, 53;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.90249;12.48388Alloggio per uso turistico 1736;Unica;VIA MECENATE, 77;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.8913;12.4989Alloggio per uso turistico 1742;Unica;VIA DI PARIONE, 44;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89922;12.47112Alloggio per uso turistico 1743;Unica;VIA ALEARDO ALEARDI, 12/A;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.88811;12.50474Alloggio per uso turistico 1746;Unica;VIA DI RIPETTA, 66;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.90727;12.4759Alloggio per uso turistico 1748;Unica;VIALE VATICANO, 84;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.90644;12.45025Alloggio per uso turistico 1754;Unica;VIA DEL BABUINO, 51;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.9085;12.47898Alloggio per uso turistico 1756;Unica;VIA DEI CAPPELLARI, 35;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89622;12.47069Alloggio per uso turistico 1757;Unica;VIA MARMORATA, 45;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.879;12.47871Alloggio per uso turistico 1758;Unica;VIA ALEARDO ALEARDI, 12/A;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.88811;12.50474Alloggio per uso turistico 1759;Unica;VIA AUGUSTO VALENZIANI, 16;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.91006;12.49896Alloggio per uso turistico 1762;Unica;VIA GIOVANNI BATTISTA BODONI, 6;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.88013;12.47776Alloggio per uso turistico 1765;Unica;VIA CAVOUR, 44;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89957;12.49865Alloggio per uso turistico 1766;Unica;VICOLO DELLE GROTTE, 32;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89439;12.47236Alloggio per uso turistico 1771;Unica;VIA DELLE MURATTE, 9;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.90066;12.48303Alloggio per uso turistico 1774;Unica;VIA BACCINA, 45;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89483;12.49002Alloggio per uso turistico 1775;Unica;VIA DEL COLOSSEO, 26;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89185;12.49076Alloggio per uso turistico 1776;Unica;PIAZZA DI S. MARIA IN TRASTEVERE, 5/A;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.88951;12.47069Alloggio per uso turistico 1778;Unica;LARGO DEL PALLARO, 4;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89541;12.47377Alloggio per uso turistico 1779;Unica;VIA BIXIO, 80;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89279;12.50791Alloggio per uso turistico 178;Unica;VIA LABICANA, 31;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.88926;12.50037Alloggio per uso turistico 1782;Unica;VIA DEI MILLE, 64;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.90207;12.50542Alloggio per uso turistico 1785;Unica;VIA DEGLI IBERNESI, 2;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89447;12.48756Alloggio per uso turistico 1790;Unica;VIA FOSCOLO, 24;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89304;12.50478Alloggio per uso turistico 1792;Unica;VIA DEGLI AVIGNONESI, 10;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.9031;12.4878Alloggio per uso turistico 1794;Unica;VIA CIMARRA, 54;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89623;12.49159Alloggio per uso turistico 1795;Unica;VIA DEI BANCHI NUOVI, 12;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.8997;12.46723Alloggio per uso turistico 1803;Unica;VIA DI S. GIOVANNI IN LATERANO, 190;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.88813;12.50052Alloggio per uso turistico 1805;Unica;VIA URBANA, 18;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89679;12.49461Alloggio per uso turistico 1808;Unica;VIA LOMBARDIA, 30;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.90779;12.48819Alloggio per uso turistico 181;Unica;VIA CAPO D'AFRICA, 4;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.88904;12.49417Alloggio per uso turistico 1811;Unica;VIA DEL BOSCHETTO, 99;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89575;12.49104Alloggio per uso turistico 1812;Unica;PIAZZA POLLAROLA, 33;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89593;12.47296Alloggio per uso turistico 1815;Unica;VIA DEI PASTINI, 118;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89947;12.47805Alloggio per uso turistico 1818;Unica;VICOLO DEL GIGLIO, 17;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.895;12.47205Alloggio per uso turistico 1820;Unica;VIA BALILLA, 20;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89293;12.51219Alloggio per uso turistico 1821;Unica;VIA GAETANO SACCHI, 16;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.88609;12.46765Alloggio per uso turistico 1827;Unica;VIA MASTRO GIORGIO, 81;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.88001;12.47638Alloggio per uso turistico 1832;Unica;VIA DANDOLO, 40;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.88465;12.46827Alloggio per uso turistico 1834;Unica;VIA MECENATE, 77;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.8913;12.4989Alloggio per uso turistico 1835;Unica;VIA FOSCOLO, 10;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89284;12.5046Alloggio per uso turistico 1841;Unica;VIA DELLA CROCE, 78/A;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.90633;12.48017Alloggio per uso turistico 1843;Unica;VIA MATTEO BOIARDO, 17;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.78454;12.35902Alloggio per uso turistico 1844;Unica;VICOLO DE' CINQUE, 31;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89132;12.47004Alloggio per uso turistico 1845;Unica;VIA DEI BERGAMASCHI, 58;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.9003;12.4797Alloggio per uso turistico 1847;Unica;VIA DELLE MURATTE, 97;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.90066;12.48291Alloggio per uso turistico 1852;Unica;VIA DI TORRE ARGENTINA, 47;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.8969;12.47642Alloggio per uso turistico 1853;Unica;VIA DEL BOSCHETTO, 60;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89718;12.49049Alloggio per uso turistico 1856;Unica;VIA CAPRARECCIA, 4;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89751;12.49456Alloggio per uso turistico 1858;Unica;VIA DELLA LUPA, 11;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.90305;12.47676Alloggio per uso turistico 1861;Unica;VIA DELLA POLVERIERA, 40;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89243;12.4926Alloggio per uso turistico 1863;Unica;VIA DI S. GIOVANNI IN LATERANO, 262;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.88762;12.50216Alloggio per uso turistico 1868;Unica;VIALE MARCO POLO, 88;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.87253;12.48945Alloggio per uso turistico 1873;Unica;VIA PIETRO QUERINI, 8;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.88091;12.47642Alloggio per uso turistico 1878;Unica;CORSO VITTORIO EMANUELE II, 337;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.90017;12.46579Alloggio per uso turistico 1879;Unica;VIA ALDO MANUZIO, 36;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.87902;12.47676Alloggio per uso turistico 1882;Unica;VIA LEONINA, 43;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89483;12.49264Alloggio per uso turistico 1884;Unica;VIA DEL CARDELLO, 23;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89291;12.49004Alloggio per uso turistico 1885;Unica;VIA GIOVANNI GIOLITTI, 119;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89931;12.50222Alloggio per uso turistico 1888;Unica;VIA LUCIANO MANARA, 15;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.88789;12.47066Alloggio per uso turistico 189;Unica;VIA DI S. GIOVANNI IN LATERANO, 130;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.88886;12.49818Alloggio per uso turistico 19;Unica;VIA DI MONTE GIORDANO, 62;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89971;12.46989Alloggio per uso turistico 190;Unica;VIA DEL SEMINARIO, 108;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89907;12.47789Alloggio per uso turistico 1903;Unica;VIA GARIBALDI, 14;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89071;12.4666Alloggio per uso turistico 1906;Unica;VIALE VATICANO, 44;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.90249;12.44654Alloggio per uso turistico 1907;Unica;VICOLO DELLA CANCELLERIA, 14;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89746;12.47127Alloggio per uso turistico 1912;Unica;VIA DEL CIPRESSO, 3;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89081;12.47Alloggio per uso turistico 1914;Unica;VIA DI S. MARIA DELL'ANIMA, 50;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89877;12.47229Alloggio per uso turistico 1915;Unica;VICOLO DEL CEDRO, 25;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89019;12.46826Alloggio per uso turistico 1916;Unica;VIA GARIBALDI, 14;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89071;12.4666Alloggio per uso turistico 1917;Unica;VIA NICOLA FABRIZI, 1;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.88736;12.466Alloggio per uso turistico 1919;Unica;VIA DEI CAPPELLARI, 35;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
;41.89622;12.47069Alloggio per uso turistico 1922;Unica;VICOLO DEL PIEDE, 31;Municipio I (ex Mun I);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
