block_ID,administrative_subdivision,Year,Month,accidents
9269,2.0,2019,1,0.0
9269,2.0,2019,2,0.0
9269,2.0,2019,3,0.0
9269,2.0,2019,4,0.0
9269,2.0,2019,6,0.0
9269,2.0,2019,7,0.0
9269,2.0,2019,8,0.0
9269,2.0,2019,9,0.0
9269,2.0,2019,11,0.0
9269,2.0,2020,1,0.0
9269,2.0,2020,2,0.0
10140,5.0,2019,1,0.0
10140,5.0,2019,2,0.0
10140,5.0,2019,3,0.0
10140,5.0,2019,4,0.0
10140,5.0,2019,5,0.0
10140,5.0,2019,7,0.0
10140,5.0,2019,8,0.0
10140,5.0,2019,9,0.0
10140,5.0,2019,10,0.0
10140,5.0,2019,11,0.0
10140,5.0,2020,1,0.0
-1,0,2019,1,0.0
-1,0,2019,2,2.0
-1,0,2019,3,0.0
-1,0,2019,4,0.0
-1,0,2019,5,0.0
-1,0,2019,6,1.0
-1,0,-1,-1,0.0
-1,0,2019,7,0.0
-1,0,2019,8,0.0
-1,0,2019,9,0.0
-1,0,2019,10,3.0
-1,0,2019,11,4.0
-1,0,2019,12,0.0
-1,0,2020,1,2.0
-1,0,2020,2,0.0
8974,7.0,2019,1,0.0
8974,7.0,2019,2,3.0
8974,7.0,2019,3,0.0
8974,7.0,2019,4,0.0
8974,7.0,2019,5,0.0
8974,7.0,2019,6,0.0
8974,7.0,2019,7,0.0
8974,7.0,2019,8,0.0
8974,7.0,2019,9,0.0
8974,7.0,2019,10,0.0
8974,7.0,2019,11,0.0
8974,7.0,2019,12,0.0
8974,7.0,2020,1,0.0
8974,7.0,2020,2,0.0
9262,7.0,2019,1,0.0
9262,7.0,2019,2,0.0
9262,7.0,2019,3,0.0
9262,7.0,2019,4,0.0
9262,7.0,2019,5,0.0
9262,7.0,2019,6,0.0
9262,7.0,2019,7,0.0
9262,7.0,2019,9,0.0
9262,7.0,2019,10,0.0
9262,7.0,2019,11,0.0
9262,7.0,2019,12,0.0
9262,7.0,2020,1,0.0
9262,7.0,2020,2,0.0
9699,7.0,2019,1,0.0
9699,7.0,2019,2,5.0
9699,7.0,2019,3,0.0
9699,7.0,2019,4,0.0
9699,7.0,2019,5,0.0
9699,7.0,2019,6,0.0
9699,7.0,2019,7,0.0
9699,7.0,2019,8,0.0
9699,7.0,2019,9,0.0
9699,7.0,2019,10,0.0
9699,7.0,2019,11,0.0
9699,7.0,2019,12,0.0
9699,7.0,2020,1,0.0
9699,7.0,2020,2,0.0
6656,15.0,2019,1,0.0
6656,15.0,2019,2,0.0
6656,15.0,2019,4,0.0
6656,15.0,2019,5,0.0
6656,15.0,2019,11,0.0
6656,15.0,2019,12,0.0
5732,9.0,2019,1,3.0
5732,9.0,2019,2,3.0
5732,9.0,2019,3,6.0
5732,9.0,2019,4,0.0
5732,9.0,2019,9,0.0
5732,9.0,2019,11,2.0
7946,8.0,2019,1,0.0
7946,8.0,2019,2,0.0
7946,8.0,2019,3,0.0
7946,8.0,2019,4,6.0
7946,8.0,2019,5,0.0
7946,8.0,2019,6,0.0
7946,8.0,2019,9,0.0
7946,8.0,2019,10,0.0
7946,8.0,2019,11,0.0
7946,8.0,2019,12,0.0
7946,8.0,2020,1,0.0
7949,8.0,2019,1,0.0
7949,8.0,2019,2,0.0
7949,8.0,2019,3,0.0
7949,8.0,2019,4,0.0
7949,8.0,2019,5,0.0
7949,8.0,2019,6,0.0
7949,8.0,2019,7,0.0
7949,8.0,2019,8,0.0
7949,8.0,2019,9,0.0
7949,8.0,2019,10,0.0
7949,8.0,2019,11,0.0
7949,8.0,2019,12,0.0
7949,8.0,2020,1,0.0
7949,8.0,2020,2,0.0
7212,11.0,2019,1,0.0
7212,11.0,2019,2,0.0
7212,11.0,2019,3,0.0
7212,11.0,2019,4,0.0
7212,11.0,2019,12,0.0
7212,11.0,2020,1,0.0
7212,11.0,2020,2,0.0
6803,15.0,2019,1,0.0
6803,15.0,2019,5,0.0
6803,15.0,2019,7,0.0
6803,15.0,2019,8,0.0
6803,15.0,2019,9,0.0
6803,15.0,2019,12,0.0
6803,15.0,2020,1,0.0
6803,15.0,2020,2,0.0
9995,5.0,2019,1,0.0
9995,5.0,2019,2,0.0
9995,5.0,2019,3,0.0
9995,5.0,2019,4,0.0
