block_ID,administrative_subdivision,Year,Month,hotels
6942,14.0,2019,10,0.01701013081242191
6068,14.0,2019,10,0.01806385573000557
5784,14.0,2019,10,0.014300552452921075
6212,14.0,2019,10,0.1448119101022113
6938,1.0,2019,10,0.46589694570306034
6214,14.0,2019,10,0.26132377956074726
6063,14.0,2019,10,0.048471346208848284
5478,13.0,2019,10,0.08490012193102617
5768,13.0,2019,10,0.014752148846171216
6792,14.0,2019,10,0.10672728093811625
6648,14.0,2019,10,0.0839969291445259
6654,14.0,2019,10,0.007827670816335747
6793,14.0,2019,10,0.10717887733136638
6645,14.0,2019,10,0.0921256642230284
6213,14.0,2019,10,0.09980280290828078
5783,14.0,2019,10,0.015805873763754873
4192,14.0,2019,10,0.005419156719001671
5063,14.0,2019,10,0.004967560325751532
5915,14.0,2019,10,0.09348045340277882
5494,14.0,2019,10,0.20863753368156435
5638,14.0,2019,10,0.01881651638542247
6508,14.0,2019,10,0.16257470157005013
4759,14.0,2019,10,0.07616925832819016
5346,14.0,2019,10,0.006623413767668708
6069,14.0,2019,10,0.04335325375201337
6504,14.0,2019,10,0.22579819662506964
7530,15.0,2019,10,0.1121464376571179
7706,15.0,2019,10,0.013246827535337416
8422,15.0,2019,10,0.008429799340669265
7385,15.0,2019,10,0.02498833375984104
4637,15.0,2020,08,0.027246315726091735
2450,15.0,2019,10,0.009634056389336303
7384,15.0,2019,10,0.006021285243335189
8272,15.0,2020,08,0.004214899670334633
7676,15.0,2019,10,0.2178199936776505
6808,15.0,2019,10,0.014752148846171216
6811,15.0,2020,08,0.0045159639325013925
6082,15.0,2020,08,0.0021074498351673163
7823,15.0,2019,10,0.016257470157005013
5364,15.0,2020,08,0.0027095783595008356
6803,15.0,2019,10,0.00572022098116843
6518,15.0,2020,08,0.006021285243335189
6517,15.0,2020,08,0.0048170281946681515
6799,1.0,2019,10,0.3420090018214388
7101,15.0,2020,08,0.0045159639325013925
7386,15.0,2020,08,0.0048170281946681515
7099,15.0,2019,10,0.05358943866568319
6663,15.0,2019,10,0.037783564901928315
7680,15.0,2019,10,0.00572022098116843
7678,15.0,2019,10,0.10567355602053258
5792,15.0,2020,08,0.0021074498351673163
6669,15.0,2020,08,0.0024085140973340757
8719,15.0,2020,08,0.0024085140973340757
3483,15.0,2020,08,0.004214899670334633
6801,15.0,2020,08,0.0024085140973340757
6662,15.0,2020,08,0.0021074498351673163
7264,15.0,2020,08,0.0021074498351673163
7679,15.0,2020,08,0.007225542292002228
4776,15.0,2020,08,0.0021074498351673163
7246,15.0,2019,10,0.01234363474883714
6228,15.0,2019,10,0.23392693170357215
7245,15.0,2019,10,0.009031927865002785
6952,15.0,2020,08,0.0024085140973340757
2309,15.0,2020,08,0.0024085140973340757
6657,15.0,2019,10,0.003612771146001114
7989,15.0,2019,10,0.006322349505501949
7972,15.0,2020,08,0.004214899670334633
7106,15.0,2020,08,0.0021074498351673163
6373,15.0,2020,08,0.0021074498351673163
7677,15.0,2020,08,0.01144044196233686
7240,15.0,2020,05,0.0015053213108337973
7814,2.0,2019,10,0.7794553747497402
6812,15.0,2020,08,0.0024085140973340757
5218,15.0,2019,10,0.05825593472926796
5502,15.0,2019,10,0.066986798332104
7850,15.0,2020,08,0.0021074498351673163
7100,15.0,2020,08,0.0027095783595008356
7097,15.0,2020,08,0.0024085140973340757
6954,15.0,2020,08,0.0021074498351673163
7822,15.0,2020,08,0.0021074498351673163
5789,15.0,2020,08,0.0024085140973340757
6526,15.0,2020,08,0.0021074498351673163
8130,15.0,2019,10,0.012042570486670378
7825,15.0,2019,10,0.19508964188406017
7824,15.0,2019,10,1.1368186539416838
5500,14.0,2020,08,0.0024085140973340757
6955,15.0,2020,08,0.0027095783595008356
7244,15.0,2019,10,0.19719709171922745
7829,15.0,2020,08,0.0021074498351673163
5648,15.0,2020,08,0.0021074498351673163
7120,15.0,2020,08,0.0024085140973340757
7971,15.0,2020,08,0.0024085140973340757
4778,15.0,2020,08,0.0024085140973340757
7985,15.0,2020,08,0.0027095783595008356
7839,15.0,2019,10,0.003311706883834354
8129,15.0,2019,10,0.003612771146001114
6802,15.0,2019,10,0.009935120651503064
2012,15.0,2019,10,0.03477292228026072
4633,15.0,2019,10,0.09137300356761151
7531,15.0,2019,10,0.010236184913669823
6949,15.0,2019,10,0.008429799340669265
7851,15.0,2019,10,0.003913835408167874
6248,15.0,2019,10,0.01821438786108895
3774,15.0,2019,10,0.003612771146001114
2449,14.0,2019,10,0.0045159639325013925
3632,15.0,2019,10,0.003311706883834354
4777,15.0,2019,10,0.06954584456052144
8570,15.0,2019,10,0.08204001144044196
7387,15.0,2019,10,0.14601616715087837
8276,15.0,2019,10,0.009031927865002785
8421,15.0,2019,10,0.11922144781803676
5937,15.0,2019,10,0.4139633604792943
7243,15.0,2019,10,0.01159097409342024
7973,15.0,2019,10,0.010236184913669823
4921,15.0,2019,10,0.014451084584004455
8425,15.0,2019,10,0.019870241303006127
3045,15.0,2019,10,0.013246827535337416
8869,15.0,2019,10,0.026493655070674832
4486,15.0,2019,10,0.011892038355587
4780,15.0,2019,10,0.008881395733919405
7241,15.0,2019,10,0.4296187021119658
3484,15.0,2019,10,0.014902680977254595
6809,15.0,2019,10,0.001956917704083937
3335,15.0,2019,10,0.07180382652677214
3041,15.0,2019,10,0.04139633604792943
8117,15.0,2019,10,0.061868705875269076
6656,15.0,2019,10,0.01851545212325571
6534,15.0,2019,10,0.003311706883834354
7533,15.0,2019,10,0.004214899670334633
7389,15.0,2019,10,0.01821438786108895
7846,15.0,2019,10,0.003311706883834354
6227,15.0,2019,10,0.01821438786108895
8955,9.0,2019,10,0.6054402312173534
8686,1.0,2019,10,8.983305986662852
8104,1.0,2019,10,3.912029022594873
9130,2.0,2019,10,0.33749303788893736
6359,14.0,2019,10,0.17220875795938642
7951,1.0,2019,10,0.5678071984465084
5354,14.0,2019,10,0.08459905766885942
9127,2.0,2019,10,0.13276933961554094
7812,1.0,2019,10,0.647739760051783
8693,2.0,2019,10,0.2288088392467372
8833,1.0,2019,10,3.409251704776384
8688,1.0,2019,10,6.043413466604447
7811,1.0,2019,10,2.554680796616038
7374,1.0,2019,10,2.223359576101519
7666,1.0,2019,10,0.675437672171125
8249,1.0,2019,10,2.298023513118875
7521,1.0,2019,10,1.9207899926239256
4412,10.0,2019,10,0.32514940314010027
9273,2.0,2019,10,0.28209721365025364
8541,1.0,2019,10,10.0
8250,1.0,2019,10,5.210519185320106
7810,1.0,2019,10,2.19400581054026
9297,3.0,2019,10,0.03763303277084494
5911,13.0,2019,10,1.7819993677650494
8977,1.0,2019,10,1.1419367463985188
8248,1.0,2019,10,0.5872258433562644
8689,1.0,2019,10,1.8181270792250606
7373,1.0,2019,10,0.5997200102361849
8834,1.0,2019,10,6.001866598425433
8540,1.0,2019,10,4.1143442067709355
12033,6.0,2019,10,0.6087519381011877
8685,1.0,2019,10,2.210413812828348
7661,1.0,2019,10,1.2509220093028859
8100,1.0,2019,10,0.3958995047492887
7668,1.0,2019,10,0.5399587541960831
9122,1.0,2019,10,1.650735349460342
8829,1.0,2019,10,0.7707245111469042
11153,7.0,2019,10,0.39017928376812033
8395,1.0,2019,10,3.1345305655492166
5443,9.0,2019,10,0.034923454411344104
7520,1.0,2019,10,0.5310773584621638
11475,4.0,2019,10,0.16287576583221688
8103,1.0,2019,10,2.5870452047989643
7790,9.0,2019,10,0.30512862970601073
7813,1.0,2019,10,1.4703978564224536
7809,1.0,2019,10,2.7146964519576704
8404,2.0,2019,10,0.1872619710677244
7230,1.0,2019,10,0.8735379566768526
8684,1.0,2019,10,1.1557857024581897
11742,6.0,2019,10,0.02995589408559257
8542,1.0,2019,10,1.1094218060845087
8544,2.0,2019,10,0.5774412548358447
7522,1.0,2019,10,0.569613584019509
5910,13.0,2019,10,1.1470548388553536
7375,1.0,2019,10,2.3133777904893797
8251,1.0,2019,10,3.44914271951348
6646,14.0,2019,10,0.316719603799431
