block_ID,administrative_subdivision,Year,Month,wifi
29987,7.0,2020,6,0.1893600509743383
29987,7.0,2020,7,0.6562431205388641
29987,7.0,2020,8,0.5684940537952714
29987,7.0,2020,9,0.7170059941680849
29987,7.0,2020,10,0.03673479118396974
26108,7.0,2020,6,0.7700035408000074
26108,7.0,2020,7,1.0923265335947134
26108,7.0,2020,8,0.9586016914148171
26108,7.0,2020,9,0.8203206195391364
23695,1.0,2020,6,1.1049672888516255
23695,1.0,2020,7,1.400968075818757
19567,1.0,2020,6,0.410891579888121
19567,1.0,2020,7,3.965653772013084
19567,1.0,2020,8,3.4888025027962115
19567,1.0,2020,9,3.206077167291585
19567,1.0,2020,10,0.31770190869815645
19549,12.0,2020,6,0.15706415039411364
19549,12.0,2020,7,0.2898680939032226
19549,12.0,2020,8,0.40776154251459445
19549,12.0,2020,9,0.9041967078405031
19549,12.0,2020,10,0.039649788637275175
36070,6.0,2020,6,1.0136270901413955
36070,6.0,2020,7,3.394519542359806
36070,6.0,2020,8,3.7918596353436875
36070,6.0,2020,9,3.418216700122736
36070,6.0,2020,10,0.20846724149173068
22947,8.0,2020,6,2.0903124500473247
22947,8.0,2020,7,3.3647364956229247
22947,8.0,2020,8,1.7077661763178873
22947,8.0,2020,9,5.238505670542294
22947,8.0,2020,10,0.053834084070655784
9512,10.0,2020,6,0.252921689188941
9512,10.0,2020,7,1.480535761579701
9512,10.0,2020,8,0.8050703338799412
9512,10.0,2020,9,1.028112891933927
9512,10.0,2020,10,0.010805042624180158
22192,9.0,2020,6,1.1801154281685005
22192,9.0,2020,7,1.7711159533756005
22192,9.0,2020,8,0.8084148243939404
22192,9.0,2020,9,1.6327070607558045
22192,9.0,2020,10,0.12362013947179051
22229,1.0,2020,6,7.153157635689208
22229,1.0,2020,7,5.16558341819937
22229,1.0,2020,8,6.79624467917188
22229,1.0,2020,9,10.0
22229,1.0,2020,10,0.9859929089886608
20987,9.0,2020,6,0.7888048837309959
20987,9.0,2020,7,1.1087986836007384
20987,9.0,2020,8,0.19127305133830835
21975,8.0,2020,6,0.527772809146922
21975,8.0,2020,7,0.8268524810749147
21975,8.0,2020,8,1.3186866415815426
21975,8.0,2020,9,1.404695840035559
21975,8.0,2020,10,0.20519165202536274
22230,1.0,2020,6,1.1426499607649905
22230,1.0,2020,7,2.85772371668409
22230,1.0,2020,8,3.552822523378591
22230,1.0,2020,9,3.1522635663200016
22230,1.0,2020,10,0.35525494076446906
22458,8.0,2020,6,0.2641011693900782
22458,8.0,2020,7,0.14680750077965538
22458,8.0,2020,8,0.2523997847466295
22458,8.0,2020,9,0.2367757415311564
22458,8.0,2020,10,0.018096153343628216
19053,11.0,2020,6,0.1431402834040562
19053,11.0,2020,7,0.2892520156923666
19053,11.0,2020,8,0.625422709256187
19053,11.0,2020,9,0.4844433778990589
19053,11.0,2020,10,0.052433822155977736
23683,1.0,2020,6,0.1015454835722329
23683,1.0,2020,7,0.2539262764522805
23683,1.0,2020,8,0.02150855358939896
23683,1.0,2020,9,0.0627861379653169
23683,1.0,2020,10,0.005045478811728619
22948,8.0,2020,6,1.5919053254216737
22948,8.0,2020,7,2.345308480077957
22948,8.0,2020,8,1.9150195020854546
22948,8.0,2020,9,7.155704896483614
22948,8.0,2020,10,0.15550385989875162
17131,13.0,2020,6,1.2770280848108988
17131,13.0,2020,7,0.9970434203155307
17131,13.0,2020,8,1.2602169790211883
17131,13.0,2020,9,1.6739971451785098
25651,2.0,2020,6,0.16358498016584969
25651,2.0,2020,7,0.0024443066636164953
25651,2.0,2020,10,0.0005447473750502395
22471,1.0,2020,6,1.3599594538599622
22471,1.0,2020,7,6.14668065469375
22471,1.0,2020,8,5.9215148017855945
22471,1.0,2020,9,8.613860942410835
22471,1.0,2020,10,0.5904133834476171
21230,9.0,2020,6,3.527459614341854
21230,9.0,2020,7,4.289603245744545
21230,9.0,2020,8,8.118005216229223
21230,9.0,2020,9,4.297919576211901
21230,9.0,2020,10,0.2702361480473004
22473,1.0,2020,6,1.446391981377704
22473,1.0,2020,7,3.378998824476886
22473,1.0,2020,8,2.016649031261096
22473,1.0,2020,9,3.1132360430817325
22473,1.0,2020,10,0.42169197022797006
30252,5.0,2020,6,0.18458694430246866
30252,5.0,2020,7,0.32055779063949963
30252,5.0,2020,8,0.5794657353916308
30252,5.0,2020,9,0.34590660077130414
30252,5.0,2020,10,0.021109185444790547
20076,15.0,2020,6,0.3101815963421215
20076,15.0,2020,7,0.9036336940528366
20076,15.0,2020,8,0.6940036788683395
20076,15.0,2020,9,0.7727808510186861
20076,15.0,2020,10,0.06552429337426742
21497,12.0,2020,6,0.18057242274645555
21497,12.0,2020,7,0.23611202701455858
21497,12.0,2020,8,0.00041085411293924383
21497,12.0,2020,9,0.034952762517076685
21497,12.0,2020,10,0.001707494638441493
22448,8.0,2020,6,0.36681313472021915
22448,8.0,2020,7,0.6546704329046059
22448,8.0,2020,8,0.3943777378523551
22448,8.0,2020,9,0.465325452626656
